Date, OPEN, HIGH, LOW, CLOSE, VOLUME, Middle Band, Standard Deviations, Upper Band, Lower Band, Band Width
1397556000,1494.0,1495.35,1434.3,1445.0,938060.0,0,0,0,0,0
1397642400,1447.0,1464.7,1427.0,1431.1,834976.0,0,0,0,0,0
1397728800,1437.0,1472.65,1437.0,1468.75,1263648.0,0,0,0,0,0
1398074400,1470.0,1510.0,1469.0,1505.55,1132035.0,0,0,0,0,0
1398160800,1506.0,1511.8,1488.1,1502.0,994573.0,0,0,0,0,0
1398247200,1492.0,1533.85,1492.0,1518.3,1633806.0,0,0,0,0,0
1398420000,1522.0,1548.0,1501.15,1543.6,2457432.0,0,0,0,0,0
1398679200,1550.0,1554.8,1525.0,1535.0,1773777.0,0,0,0,0,0
1398765600,1536.0,1544.95,1507.7,1525.95,1196919.0,0,0,0,0,0
1398852000,1537.9,1548.5,1497.15,1520.1,1334637.0,0,0,0,0,0
1399037400,1525.35,1538.7,1518.5,1534.5,905612.0,0,0,0,0,0
1399284000,1535.95,1564.9,1521.5,1553.0,1445455.0,0,0,0,0,0
1399370400,1555.0,1563.25,1528.5,1531.8,1067582.0,0,0,0,0,0
1399456800,1533.7,1556.0,1516.7,1539.0,1206946.0,0,0,0,0,0
1399543200,1542.0,1559.4,1533.0,1555.0,1297102.0,0,0,0,0,0
1399629600,1555.9,1650.0,1547.75,1650.0,2265473.0,0,0,0,0,0
1399888800,1653.0,1691.75,1639.1,1644.0,1955495.0,0,0,0,0,0
1399975200,1675.0,1682.0,1640.0,1642.05,1868632.0,0,0,0,0,0
1400061600,1652.0,1670.0,1630.35,1632.0,1342412.0,0,0,0,0,0
1400148000,1640.0,1674.9,1639.05,1660.0,1577798.0,1546.835,65.362904426,1677.56080885,1416.10919115,261.451617704
1400234400,1750.0,1849.05,1684.0,1759.75,3855077.0,1562.5725,75.9786935183,1714.52988704,1410.61511296,303.914774073
1400493600,1777.0,1899.4,1777.0,1861.0,2309376.0,1584.0675,94.3367614917,1772.74102298,1395.39397702,377.347045967
1400580000,1870.0,1892.8,1841.05,1850.0,1241464.0,1603.13,106.804232594,1816.73846519,1389.52153481,427.216930376
1400666400,1858.0,1867.2,1810.05,1814.0,1068753.0,1618.5525,113.650805623,1845.85411125,1391.25088875,454.603222492
1400752800,1829.0,1858.0,1805.1,1840.0,889382.0,1635.4525,120.015087046,1875.48267409,1395.42232591,480.060348186
1400839200,1846.25,1873.45,1840.0,1869.0,1170628.0,1652.9875,127.032008639,1907.05151728,1398.92348272,508.128034554
1401098400,1877.0,1928.8,1848.0,1870.0,1743052.0,1669.3075,132.767574425,1934.84264885,1403.77235115,531.070297701
1401184800,1859.1,1872.3,1830.05,1849.0,933085.0,1685.0075,134.511275805,1954.03005161,1415.98494839,538.045103221
1401271200,1849.05,1875.0,1825.25,1870.3,1190020.0,1702.225,135.087164916,1972.39932983,1432.05067017,540.348659663
1401357600,1859.0,1893.4,1850.5,1861.0,2111082.0,1719.27,132.514185467,1984.29837093,1454.24162907,530.056741868
1401444000,1869.0,1869.0,1824.0,1828.0,778118.0,1733.945,127.392176859,1988.72935372,1479.16064628,509.568707438
1401703200,1832.25,1907.0,1822.55,1901.35,1190952.0,1751.3625,125.257991636,2001.87848327,1500.84651673,501.031966545
1401789600,1909.9,1924.9,1888.0,1898.0,1200037.0,1769.6725,118.402076074,2006.47665215,1532.86834785,473.608304298
1401876000,1892.0,1933.0,1881.1,1932.8,821940.0,1789.3625,110.911651637,2011.18580327,1567.53919673,443.646606546
1401962400,1925.0,1950.0,1917.0,1947.6,1084577.0,1808.9925,102.086844494,2013.16618899,1604.81881101,408.347377976
1402048800,1955.4,1983.5,1945.1,1974.0,809562.0,1825.1925,101.275499598,2027.7434992,1622.6415008,405.101998391
1402308000,1985.0,1989.6,1960.9,1966.0,788492.0,1841.2925,96.681530391,2034.65556078,1647.92943922,386.726121564
1402394400,1968.0,1969.35,1925.3,1939.0,843749.0,1856.14,87.2887687506,2030.7175375,1681.5624625,349.155075002
1402480800,1936.05,1968.5,1928.0,1933.1,974072.0,1871.195,71.9505470792,2015.09609416,1727.29390584,287.802188317
1402567200,1924.0,1928.0,1892.45,1904.75,838530.0,1883.4325,53.4158714124,1990.26424282,1776.60075718,213.66348565
1402653600,1899.0,1907.9,1810.7,1814.9,1255370.0,1886.19,48.1208754077,1982.43175082,1789.94824918,192.483501631
1402912800,1812.0,1822.0,1750.0,1771.9,1370397.0,1881.735,54.0106936171,1989.75638723,1773.71361277,216.042774468
1402999200,1770.0,1848.0,1760.55,1843.8,1598198.0,1881.425,54.2093776482,1989.8437553,1773.0062447,216.837510593
1403085600,1845.0,1875.9,1823.05,1846.35,1938025.0,1883.0425,52.6331318539,1988.30876371,1777.77623629,210.532527416
1403172000,1852.1,1867.0,1826.3,1841.0,1028349.0,1883.0925,52.5926783759,1988.27785675,1777.90714325,210.370713504
1403258400,1830.0,1883.7,1828.0,1865.05,1167714.0,1882.895,52.6526112838,1988.20022257,1777.58977743,210.610445135
1403517600,1862.0,1889.95,1855.05,1885.3,1069662.0,1883.66,52.5707846622,1988.80156932,1778.51843068,210.283138649
1403604000,1881.0,1930.0,1881.0,1927.95,1080274.0,1887.6075,52.7837007868,1993.17490157,1782.04009843,211.134803147
1403690400,1934.0,1934.0,1905.0,1912.75,829983.0,1889.73,52.8984295608,1995.52685912,1783.93314088,211.593718243
1403776800,1915.25,1939.0,1907.7,1925.0,1188827.0,1892.93,52.9993570716,1998.92871414,1786.93128586,211.997428286
