Date, OPEN, HIGH, LOW, CLOSE, VOLUME, Middle Band, Standard Deviations, Upper Band, Lower Band, Band Width
1397556000,2009.7,2016.1,1954.4,2009.5,217260.0,0,0,0,0,0
1397642400,1997.0,2025.7,1990.35,1992.1,205618.0,0,0,0,0,0
1397728800,1991.75,2024.8,1991.15,2018.5,164096.0,0,0,0,0,0
1398074400,2010.55,2035.9,2006.4,2012.0,161232.0,0,0,0,0,0
1398160800,2020.0,2030.0,1999.5,2003.15,179445.0,0,0,0,0,0
1398247200,2000.0,2015.7,1991.1,2004.0,362968.0,0,0,0,0,0
1398420000,2019.0,2019.0,1982.3,1996.0,404437.0,0,0,0,0,0
1398679200,1998.75,1999.0,1977.95,1984.05,356855.0,0,0,0,0,0
1398765600,1986.25,1989.9,1931.0,1934.0,399483.0,0,0,0,0,0
1398852000,1939.5,1949.0,1900.0,1910.15,268227.0,0,0,0,0,0
1399037400,1915.0,1928.05,1903.1,1908.0,170700.0,0,0,0,0,0
1399284000,1910.0,1924.9,1902.35,1914.3,257053.0,0,0,0,0,0
1399370400,1919.95,1922.95,1891.75,1902.0,261490.0,0,0,0,0,0
1399456800,1900.0,1907.7,1861.0,1867.4,145721.0,0,0,0,0,0
1399543200,1890.0,1890.0,1871.05,1878.0,165120.0,0,0,0,0,0
1399629600,1870.0,1927.0,1870.0,1927.0,363002.0,0,0,0,0,0
1399888800,1911.1,1959.0,1911.1,1951.0,469596.0,0,0,0,0,0
1399975200,1960.0,2000.0,1936.0,1991.0,426350.0,0,0,0,0,0
1400061600,1991.5,2045.05,1990.15,2042.8,215003.0,0,0,0,0,0
1400148000,2045.0,2058.8,1945.0,1954.0,501935.0,1959.9475,50.4570571749,2060.86161435,1859.03338565,201.8282287
1400234400,1995.0,2094.7,1908.0,1924.0,863171.0,1955.6725,49.6938388409,2055.06017768,1856.28482232,198.775355364
1400493600,1969.0,1969.0,1870.0,1876.0,482763.0,1949.8675,51.8345137794,2053.53652756,1846.19847244,207.338055118
1400580000,1893.0,1900.0,1840.1,1874.45,539345.0,1942.665,51.8054994668,2046.27599893,1839.05400107,207.221997867
1400666400,1871.0,1974.0,1870.0,1962.0,606062.0,1940.165,49.5568842342,2039.27876847,1841.05123153,198.227536937
1400752800,2011.1,2028.7,1980.0,1980.0,363882.0,1939.0075,48.3273299361,2035.66215987,1842.35284013,193.309319744
1400839200,1999.65,1999.65,1965.0,1978.0,172627.0,1937.7075,46.8898743734,2031.48724875,1843.92775125,187.559497493
1401098400,1990.0,2012.9,1950.0,1954.0,199733.0,1935.6075,45.1400245763,2025.88754915,1845.32745085,180.560098305
1401184800,1968.9,1989.9,1939.0,1974.0,149266.0,1935.105,44.6512567012,2024.4075134,1845.8024866,178.605026805
1401271200,1990.0,1990.0,1930.0,1950.0,326190.0,1935.905,44.7674739627,2025.43994793,1846.37005207,179.069895851
1401357600,1954.95,1962.95,1931.1,1953.0,294271.0,1938.0475,44.5082281017,2027.0639562,1849.0310438,178.032912407
1401444000,1945.25,1955.85,1912.7,1945.05,299515.0,1939.9,43.9870407052,2027.87408141,1851.92591859,175.948162821
1401703200,1947.95,1990.05,1924.2,1975.05,191334.0,1942.9375,44.2113273805,2031.36015476,1854.51484524,176.845309522
1401789600,1976.0,1992.9,1960.35,1975.0,149881.0,1946.5875,43.6912487662,2033.96999753,1859.20500247,174.764995065
1401876000,1970.15,2025.0,1970.15,2005.0,254176.0,1953.4675,41.4567101776,2036.38092036,1870.55407964,165.82684071
1401962400,2020.0,2020.0,1980.0,2004.0,254275.0,1959.7675,39.0112588716,2037.79001774,1881.74498226,156.045035487
1402048800,2009.0,2054.0,1983.6,2050.1,384106.0,1965.9225,42.875480974,2051.67346195,1880.17153805,171.501923896
1402308000,2056.9,2177.5,2044.3,2162.3,546835.0,1976.4875,60.3635628401,2097.21462568,1855.76037432,241.45425136
1402394400,2179.5,2208.9,2130.0,2155.0,541126.0,1984.6875,71.8284394843,2128.34437897,1841.03062103,287.313757937
1402480800,2150.0,2189.85,2120.35,2176.0,448085.0,1991.3475,82.3173105656,2155.98212113,1826.71287887,329.269242262
1402567200,2163.55,2192.75,2156.05,2185.0,218573.0,2002.8975,91.9133280256,2186.72415605,1819.07084395,367.653312103
1402653600,2190.0,2228.0,2162.55,2174.0,378480.0,2015.3975,97.1821607537,2209.76182151,1821.03317849,388.728643015
1402912800,2173.0,2210.0,2157.1,2163.25,542031.0,2029.76,96.7446427457,2223.24928549,1836.27071451,386.978570983
1402999200,2170.0,2174.9,2134.2,2161.0,326682.0,2044.0875,93.8583279137,2231.80415583,1856.37084417,375.433311655
1403085600,2173.0,2180.25,2135.2,2150.0,275222.0,2053.4875,94.5779081961,2242.64331639,1864.33168361,378.311632784
1403172000,2155.0,2172.95,2141.1,2155.0,244875.0,2062.2375,95.4653705212,2253.16824104,1871.30675896,381.861482085
1403258400,2165.1,2203.5,2145.6,2182.0,295439.0,2072.4375,96.8088424099,2266.05518482,1878.81981518,387.23536964
1403517600,2180.0,2202.0,2161.6,2201.0,312504.0,2084.7875,96.6668154992,2278.121131,1891.453869,386.667261997
1403604000,2213.8,2236.0,2200.55,2223.0,231873.0,2097.2375,97.6263897148,2292.49027943,1901.98472057,390.505558859
1403690400,2229.8,2292.75,2215.8,2283.0,353844.0,2113.8875,99.4742716422,2312.83604328,1914.93895672,397.897086569
1403776800,2308.0,2320.0,2273.2,2281.85,375288.0,2130.33,98.6970394693,2327.72407894,1932.93592106,394.788157877
