Date, OPEN, HIGH, LOW, CLOSE, VOLUME, Middle Band, Standard Deviations, Upper Band, Lower Band, Band Width
1397556000,445.25,450.65,436.55,443.05,1368764.0,0,0,0,0,0
1397642400,441.2,444.0,432.75,437.0,1729522.0,0,0,0,0,0
1397728800,437.25,452.0,434.65,449.75,1172118.0,0,0,0,0,0
1398074400,449.1,468.6,446.0,463.05,1968544.0,0,0,0,0,0
1398160800,463.8,487.0,460.35,484.1,2327572.0,0,0,0,0,0
1398247200,485.0,493.7,470.65,477.0,2336278.0,0,0,0,0,0
1398420000,479.5,479.5,457.0,458.0,1572797.0,0,0,0,0,0
1398679200,456.3,469.15,452.65,456.5,1694824.0,0,0,0,0,0
1398765600,458.4,463.5,451.4,461.45,951211.0,0,0,0,0,0
1398852000,463.0,472.7,442.2,454.7,1922289.0,0,0,0,0,0
1399037400,457.0,467.0,455.8,463.25,1045256.0,0,0,0,0,0
1399284000,464.0,475.0,464.0,468.0,1296349.0,0,0,0,0,0
1399370400,470.0,474.0,466.3,469.0,1124272.0,0,0,0,0,0
1399456800,474.9,480.7,469.5,470.0,1718212.0,0,0,0,0,0
1399543200,472.9,473.9,461.0,463.6,1488838.0,0,0,0,0,0
1399629600,461.9,489.9,458.65,486.05,1338685.0,0,0,0,0,0
1399888800,487.0,505.5,481.0,503.6,1801386.0,0,0,0,0,0
1399975200,510.45,526.9,506.25,509.8,1922437.0,0,0,0,0,0
1400061600,509.6,522.0,505.5,520.0,807786.0,0,0,0,0,0
1400148000,520.0,525.0,504.3,517.0,1067096.0,472.745,23.2113598266,519.167719653,426.322280347,92.8454393064
1400234400,530.0,579.0,525.35,551.7,2503482.0,478.1775,27.8722105107,533.921921021,422.433078979,111.488842043
1400493600,559.0,589.0,559.0,574.0,2152981.0,485.0275,33.2303456008,551.488191202,418.566808798,132.921382403
1400580000,579.85,588.5,553.65,558.25,1357577.0,490.4525,35.7865459181,562.025591836,418.879408164,143.146183672
1400666400,559.5,564.7,550.2,558.0,1537016.0,495.2,38.0621399819,571.324279964,419.075720036,152.248559928
1400752800,565.85,565.85,552.2,558.3,1605719.0,498.91,40.3470246735,579.604049347,418.215950653,161.388098694
1400839200,561.25,568.5,552.4,553.75,2119309.0,502.7475,41.7076116404,586.162723281,419.332276719,166.830446562
1401098400,559.4,579.65,546.55,557.5,1941664.0,507.7225,42.0065366193,591.735573239,423.709426761,168.026146477
1401184800,560.0,560.75,536.15,551.0,1294538.0,512.4475,41.2878113824,595.023122765,429.871877235,165.15124553
1401271200,553.1,556.9,536.5,542.5,2174114.0,516.5,40.0422401971,596.584480394,436.415519606,160.168960788
1401357600,550.6,554.3,532.05,536.9,1382609.0,520.61,37.6342251149,595.87845023,445.34154977,150.53690046
1401444000,537.15,549.6,516.85,518.95,1625691.0,523.395,35.273332349,593.941664698,452.848335302,141.093329396
1401703200,525.0,557.05,523.75,556.0,1182197.0,527.795,33.5346384355,594.864276871,460.725723129,134.138553742
1401789600,556.25,577.75,554.7,573.9,1544205.0,533.04,32.1014470079,597.242894016,468.837105984,128.405788032
1401876000,575.0,581.1,566.5,575.5,1109536.0,538.315,29.9018022032,598.118604406,478.511395594,119.607208813
1401962400,574.6,627.4,574.6,617.0,3402857.0,545.985,29.4234392109,604.831878422,487.138121578,117.693756844
1402048800,623.5,650.0,616.65,626.15,3950672.0,552.99,30.9577114787,614.905422957,491.074577043,123.830845915
1402308000,634.5,635.05,609.15,614.5,1569774.0,558.535,31.5410569734,621.617113947,495.452886053,126.164227894
1402394400,618.0,627.35,605.4,612.9,1623433.0,563.69,31.579849588,626.849699176,500.530300824,126.319398352
1402480800,619.65,624.4,602.5,602.65,1509228.0,567.8225,30.9945578892,629.811615778,505.833384222,123.978231557
1402567200,608.0,620.95,594.2,600.35,1555969.0,571.99,29.445715308,630.881430616,513.098569384,117.782861232
1402653600,596.0,596.1,555.2,569.0,2622219.0,572.855,29.0889106878,631.032821376,514.677178624,116.355642751
1402912800,564.1,594.5,555.0,588.5,2491374.0,573.58,29.2884251881,632.156850376,515.003149624,117.153700752
1402999200,587.0,617.1,577.7,605.0,2063272.0,575.9175,29.8321691928,635.581838386,516.253161614,119.328676771
1403085600,604.1,619.3,581.1,590.1,3048507.0,577.5225,29.688173045,636.89884609,518.14615391,118.75269218
1403172000,587.2,606.0,560.1,562.25,3964177.0,577.72,29.5725523078,636.865104616,518.574895384,118.290209231
1403258400,559.3,569.1,548.25,550.4,4285632.0,577.5525,29.7169794688,636.986458938,518.118541062,118.867917875
1403517600,551.0,559.95,539.0,557.2,2811148.0,577.5375,29.7271713883,636.991842777,518.083157223,118.908685553
1403604000,564.1,588.95,561.6,582.8,3293837.0,579.1275,29.109266029,637.346032058,520.908967942,116.437064116
1403690400,585.0,587.0,573.6,579.15,2410944.0,580.96,27.8731528536,636.706305707,525.213694293,111.492611414
1403776800,561.55,577.8,555.2,568.2,2834879.0,582.525,26.1828211811,634.890642362,530.159357638,104.731284724
