Date, OPEN, HIGH, LOW, CLOSE, VOLUME, Middle Band, Standard Deviations, Upper Band, Lower Band, Band Width
1397556000,291.0,294.95,285.1,291.25,4382242.0,0,0,0,0,0
1397642400,292.5,295.5,286.35,291.45,1850340.0,0,0,0,0,0
1397728800,290.3,292.0,286.35,290.5,2279947.0,0,0,0,0,0
1398074400,290.9,297.5,290.05,297.0,2138227.0,0,0,0,0,0
1398160800,297.5,300.8,295.05,299.6,4237705.0,0,0,0,0,0
1398247200,299.3,303.75,297.05,302.0,4370472.0,0,0,0,0,0
1398420000,301.75,304.35,299.2,299.5,2409633.0,0,0,0,0,0
1398679200,298.15,299.5,294.1,295.75,3350917.0,0,0,0,0,0
1398765600,295.5,299.0,292.1,296.85,1368878.0,0,0,0,0,0
1398852000,295.7,299.75,289.15,295.0,2778923.0,0,0,0,0,0
1399037400,292.0,297.6,292.0,295.05,1361657.0,0,0,0,0,0
1399284000,295.0,299.25,293.55,296.55,1556958.0,0,0,0,0,0
1399370400,297.0,298.25,295.25,296.55,815026.0,0,0,0,0,0
1399456800,294.5,298.0,293.6,293.6,1585768.0,0,0,0,0,0
1399543200,295.4,297.5,292.95,294.0,2029447.0,0,0,0,0,0
1399629600,293.5,310.0,293.5,308.6,4673033.0,0,0,0,0,0
1399888800,309.0,337.1,309.0,327.5,8237761.0,0,0,0,0,0
1399975200,334.95,342.5,325.0,335.0,4950353.0,0,0,0,0,0
1400061600,332.0,345.75,327.35,343.15,6846395.0,0,0,0,0,0
1400148000,342.9,345.35,330.6,345.0,4092349.0,304.695,17.2233119637,339.141623927,270.248376073,68.8932478549
1400234400,358.0,365.4,340.05,344.7,14234067.0,307.3675,18.9863587544,345.340217509,269.394782491,75.9454350175
1400493600,349.75,394.25,348.2,391.0,11585955.0,312.345,25.9375736144,364.220147229,260.469852771,103.750294457
1400580000,390.0,391.3,360.5,364.0,11520726.0,316.02,27.7273123472,371.474624694,260.565375306,110.909249389
1400666400,366.0,374.6,355.35,372.5,12136258.0,319.795,29.9326698609,379.660339722,259.929660278,119.730679443
1400752800,380.5,401.4,380.1,390.8,14514099.0,324.355,33.2695765678,390.894153136,257.815846864,133.078306271
1400839200,398.5,400.0,389.3,399.85,5290632.0,329.2475,36.6458131135,402.539126227,255.955873773,146.583252454
1401098400,407.7,416.8,388.0,403.9,8404997.0,334.4675,39.3709451087,413.209390217,255.725609783,157.483780435
1401184800,403.9,406.9,385.25,391.0,6135493.0,339.23,40.1526319187,419.535263837,258.924736163,160.610527675
1401271200,393.0,394.0,378.55,381.0,7118340.0,343.4375,39.899426296,423.236352592,263.638647408,159.597705184
1401357600,379.0,383.9,370.7,372.1,8459707.0,347.2925,38.7410708261,424.774641652,269.810358348,154.964283304
1401444000,371.9,382.35,369.0,370.6,4130201.0,351.07,37.1119805454,425.293961091,276.846038909,148.447922181
1401703200,370.9,376.45,366.6,373.55,4652528.0,354.92,35.2011732759,425.322346552,284.517653448,140.804693104
1401789600,376.35,394.9,374.05,394.4,8792311.0,359.8125,33.5077113326,426.827922665,292.797077335,134.03084533
1401876000,394.0,396.0,385.5,389.5,6610785.0,364.6075,30.4078496239,425.423199248,303.791800752,121.631398496
1401962400,392.0,397.5,387.6,392.0,9603148.0,369.5075,26.2464058254,422.000311651,317.014688349,104.985623301
1402048800,394.0,397.2,389.0,389.9,7053744.0,373.5725,22.5312254161,418.634950832,328.510049168,90.1249016643
1402308000,393.0,419.25,391.25,411.4,10844180.0,377.7675,21.3417506018,420.451001204,335.083998796,85.3670024073
1402394400,416.0,423.4,404.1,420.0,11167893.0,382.0175,20.8598674193,423.737234839,340.297765161,83.4394696771
1402480800,422.0,423.7,401.5,402.8,7166116.0,385.0,19.2950835707,423.590167141,346.409832859,77.1803342828
1402567200,406.0,406.0,391.5,397.0,5334343.0,387.6,17.1096537078,421.819307416,353.380692584,68.4386148311
1402653600,397.0,405.5,386.05,388.5,4402493.0,389.79,13.9987195843,417.787439169,361.792560831,55.9948783372
1402912800,389.0,393.3,378.3,388.7,3627210.0,389.675,13.9977542842,417.670508568,361.679491432,55.9910171367
1402999200,388.7,401.85,387.4,400.4,5177391.0,391.495,12.8614044723,417.217808945,365.772191055,51.4456178892
1403085600,401.8,403.5,390.05,393.0,4239276.0,392.52,12.1011507717,416.722301543,368.317698457,48.4046030869
1403172000,396.0,398.0,383.35,384.6,4308309.0,392.21,12.2200716037,416.650143207,367.769856793,48.8802864149
1403258400,381.3,394.8,381.0,387.55,3825862.0,391.595,12.1292714126,415.853542825,367.336457175,48.5170856503
1403517600,383.85,390.0,383.3,386.5,1701418.0,390.725,11.8359463078,414.396892616,367.053107384,47.343785231
1403604000,387.0,394.95,386.0,392.25,2885722.0,390.7875,11.8405328744,414.468565749,367.106434251,47.3621314976
1403690400,393.9,400.25,392.4,397.05,3068966.0,391.59,11.6929636962,414.975927392,368.204072608,46.7718547847
1403776800,399.1,403.05,386.7,388.75,4248179.0,392.4225,10.8370945714,414.096689143,370.748310857,43.3483782857
