Date, OPEN, HIGH, LOW, CLOSE, VOLUME, Middle Band, Standard Deviations, Upper Band, Lower Band, Band Width
1397556000,371.9,374.45,365.0,366.0,1509874.0,0,0,0,0,0
1397642400,367.0,374.55,366.05,369.0,1718594.0,0,0,0,0,0
1397728800,372.0,374.6,368.1,373.7,987891.0,0,0,0,0,0
1398074400,375.0,377.9,372.1,373.9,965437.0,0,0,0,0,0
1398160800,376.7,385.55,375.35,380.0,1595820.0,0,0,0,0,0
1398247200,381.2,388.8,381.05,384.25,2011100.0,0,0,0,0,0
1398420000,383.0,385.9,375.15,380.0,1451805.0,0,0,0,0,0
1398679200,379.85,379.85,368.55,371.6,1064816.0,0,0,0,0,0
1398765600,370.0,373.05,366.0,369.0,924208.0,0,0,0,0,0
1398852000,368.0,380.55,367.65,370.0,1938879.0,0,0,0,0,0
1399037400,366.65,373.9,364.3,372.05,1045998.0,0,0,0,0,0
1399284000,370.1,377.9,369.35,373.4,887965.0,0,0,0,0,0
1399370400,373.5,374.7,368.9,371.2,504840.0,0,0,0,0,0
1399456800,369.8,373.7,359.7,361.6,2725638.0,0,0,0,0,0
1399543200,365.0,367.9,356.6,366.0,1814063.0,0,0,0,0,0
1399629600,366.0,372.9,361.7,372.0,1311158.0,0,0,0,0,0
1399888800,369.5,385.0,369.5,384.0,1220836.0,0,0,0,0,0
1399975200,386.0,406.4,386.0,395.0,2627380.0,0,0,0,0,0
1400061600,393.45,397.8,389.05,395.0,1155804.0,0,0,0,0,0
1400148000,395.0,407.9,394.95,405.8,2215694.0,376.675,10.9471742929,398.569348586,354.780651414,43.7886971718
1400234400,410.0,431.25,403.0,409.85,2176205.0,378.8675,12.8204843415,404.508468683,353.226531317,51.2819373659
1400493600,411.1,435.9,411.1,431.0,2648390.0,381.9675,16.9049199569,415.777339914,348.157660086,67.6196798277
1400580000,433.25,435.6,418.1,420.7,1449792.0,384.3175,18.7575736371,421.832647274,346.802352726,75.0302945483
1400666400,422.0,426.6,408.2,412.15,1291757.0,386.23,19.5318995492,425.293799098,347.166200902,78.1275981968
1400752800,414.3,428.85,411.0,426.5,1938556.0,388.555,21.3361776099,431.22735522,345.88264478,85.3447104395
1400839200,426.0,431.0,417.0,426.2,2260031.0,390.6525,22.8202458083,436.292991617,345.012008383,91.2809832331
1401098400,437.0,437.0,400.3,409.0,2707129.0,392.1025,23.0177946109,438.138089222,346.066910778,92.0711784436
1401184800,402.0,402.0,374.05,379.0,4232911.0,392.4725,22.7430894724,437.958678945,346.986321055,90.9723578896
1401271200,383.0,383.0,367.0,371.0,3544418.0,392.5725,22.6438428441,437.860185688,347.284814312,90.5753713766
1401357600,373.4,376.45,369.2,370.0,2729206.0,392.5725,22.6438428441,437.860185688,347.284814312,90.5753713766
1401444000,372.15,380.8,372.0,379.0,2873278.0,392.92,22.3779992403,437.675998481,348.164001519,89.5119969613
1401703200,377.5,392.4,377.1,388.05,2345350.0,393.6525,21.9629829201,437.57846584,349.72653416,87.8519316805
1401789600,389.05,391.45,380.4,382.5,2266269.0,394.2175,21.5189815918,437.255463184,351.179536816,86.0759263674
1401876000,381.25,389.0,379.25,381.05,1343313.0,395.19,20.4351388544,436.060277709,354.319722291,81.7405554177
1401962400,380.1,393.5,380.1,393.0,3333514.0,396.54,19.3238039733,435.187607947,357.892392053,77.2952158934
1402048800,394.45,423.95,394.05,421.0,5879860.0,398.99,19.1627477153,437.315495431,360.664504569,76.6509908612
1402308000,429.9,433.9,417.4,431.0,3583242.0,401.34,20.0420907093,441.424181419,361.255818581,80.1683628372
1402394400,433.1,433.9,418.05,426.1,1796041.0,402.895,20.6859970753,444.266994151,361.523005849,82.7439883013
1402480800,428.7,441.0,423.0,428.3,2809197.0,404.56,21.3141361542,447.188272308,361.931727692,85.2565446168
1402567200,428.0,437.0,424.35,432.25,1202516.0,405.8825,22.1540813114,450.190662623,361.574337377,88.6163252454
1402653600,430.15,433.0,413.85,415.6,2019454.0,406.17,22.2408430596,450.651686119,361.688313881,88.9633722382
1402912800,416.0,435.3,413.5,435.25,1952562.0,406.3825,22.495906711,451.374313422,361.390686578,89.983626844
1402999200,435.0,446.9,432.45,446.25,2065593.0,407.66,23.9510991397,455.562198279,359.757801721,95.8043965588
1403085600,448.5,459.0,438.55,453.0,2972764.0,409.7025,25.9087073925,461.519914785,357.885085215,103.63482957
1403172000,456.0,456.85,440.45,444.0,1840062.0,410.5775,26.743291098,464.064082196,357.090917804,106.973164392
1403258400,444.9,447.4,437.15,440.45,749528.0,411.29,27.3333340447,465.956668089,356.623331911,109.333336179
1403517600,437.25,444.0,432.35,439.95,1215243.0,412.8375,28.0272005157,468.891901031,356.783098969,112.108802063
1403604000,443.7,462.15,443.0,460.0,4127836.0,416.8875,28.6895053765,474.266510753,359.508489247,114.758021506
1403690400,462.5,469.3,460.6,467.0,3676836.0,421.6875,28.6413637725,478.970227545,364.404772455,114.56545509
1403776800,456.0,464.05,453.5,460.0,3348294.0,426.1875,27.2009231231,480.589346246,371.785653754,108.803692492
