Date, OPEN, HIGH, LOW, CLOSE, VOLUME, Middle Band, Standard Deviations, Upper Band, Lower Band, Band Width
1397556000,1407.0,1437.25,1397.9,1425.0,1735953.0,0,0,0,0,0
1397642400,1438.5,1438.5,1402.0,1410.0,1179914.0,0,0,0,0,0
1397728800,1451.0,1452.8,1415.0,1421.5,1519615.0,0,0,0,0,0
1398074400,1438.0,1443.3,1421.2,1440.0,940025.0,0,0,0,0,0
1398160800,1431.1,1460.0,1431.1,1448.0,987317.0,0,0,0,0,0
1398247200,1453.0,1460.0,1434.0,1438.0,1687118.0,0,0,0,0,0
1398420000,1448.05,1463.8,1432.95,1450.0,1211783.0,0,0,0,0,0
1398679200,1450.0,1455.0,1415.6,1420.45,1065907.0,0,0,0,0,0
1398765600,1421.0,1433.6,1407.8,1413.8,678726.0,0,0,0,0,0
1398852000,1410.55,1428.7,1395.45,1406.0,607572.0,0,0,0,0,0
1399037400,1403.0,1432.7,1386.0,1430.05,636812.0,0,0,0,0,0
1399284000,1430.0,1438.4,1373.0,1379.0,757532.0,0,0,0,0,0
1399370400,1381.15,1393.0,1369.05,1384.1,641775.0,0,0,0,0,0
1399456800,1392.0,1403.5,1316.15,1320.2,1346676.0,0,0,0,0,0
1399543200,1335.0,1346.35,1312.1,1345.0,951633.0,0,0,0,0,0
1399629600,1339.0,1378.0,1335.15,1373.0,1007637.0,0,0,0,0,0
1399888800,1362.0,1401.2,1342.7,1396.0,1068314.0,0,0,0,0,0
1399975200,1396.65,1445.2,1396.65,1433.5,669927.0,0,0,0,0,0
1400061600,1434.0,1447.95,1396.0,1414.95,968099.0,0,0,0,0,0
1400148000,1400.6,1426.95,1392.1,1403.0,654619.0,1407.5775,32.8794216608,1473.33634332,1341.81865668,131.517686643
1400234400,1405.0,1445.8,1358.8,1364.1,1582944.0,1404.5325,33.9281861989,1472.3888724,1336.6761276,135.712744796
1400493600,1377.8,1377.8,1256.0,1309.0,1917250.0,1399.4825,39.754843337,1478.99218667,1319.97281333,159.019373348
1400580000,1300.0,1343.0,1263.45,1300.1,2050177.0,1393.4125,44.8687889156,1483.15007783,1303.67492217,179.475155662
1400666400,1310.3,1343.0,1310.1,1336.1,1001627.0,1388.2175,45.1877922536,1478.59308451,1297.84191549,180.751169014
1400752800,1336.05,1339.9,1313.0,1322.4,1125954.0,1381.9375,45.1707645358,1472.27902907,1291.59597093,180.683058143
1400839200,1317.15,1351.85,1317.15,1347.0,1212189.0,1377.3875,43.8585991426,1465.10469829,1289.67030171,175.43439657
1401098400,1341.0,1399.0,1332.6,1393.8,1085650.0,1374.5775,40.8107874066,1456.19907481,1292.95592519,163.243149627
1401184800,1392.0,1424.45,1367.55,1382.3,853105.0,1372.67,39.4923961036,1451.65479221,1293.68520779,157.969584414
1401271200,1385.05,1452.75,1378.0,1440.9,1385530.0,1374.025,41.3037059475,1456.6324119,1291.4175881,165.21482379
1401357600,1455.0,1455.0,1385.05,1398.4,1148900.0,1373.645,41.0419142463,1455.72882849,1291.56117151,164.167656985
1401444000,1400.0,1432.0,1376.75,1426.6,882870.0,1373.4725,40.8110814455,1455.09466289,1291.85033711,163.244325782
1401703200,1420.05,1424.75,1376.75,1385.9,643481.0,1373.8175,40.885447518,1455.58839504,1292.04660496,163.541790072
1401789600,1385.0,1390.0,1341.0,1349.15,1186999.0,1372.07,41.1546333965,1454.37926679,1289.76073321,164.618533586
1401876000,1342.1,1355.0,1301.6,1313.85,1421146.0,1371.7525,41.5759139256,1454.90432785,1288.60067215,166.303655702
1401962400,1318.8,1339.5,1307.0,1332.65,1148076.0,1371.135,42.057588792,1455.25017758,1287.01982242,168.230355168
1402048800,1326.25,1334.35,1314.5,1327.45,1275264.0,1368.8575,43.1149489012,1455.0873978,1282.6276022,172.459795605
1402308000,1328.05,1371.05,1328.0,1362.0,1088338.0,1367.1575,42.6793195676,1452.51613914,1281.79886086,170.71727827
1402394400,1372.0,1402.0,1364.3,1393.5,945288.0,1365.1575,40.3999296874,1445.95735937,1284.35764063,161.59971875
1402480800,1403.0,1418.0,1387.2,1401.0,878710.0,1364.46,39.6476657573,1443.75533151,1285.16466849,158.590663029
1402567200,1403.3,1421.9,1381.4,1396.95,1008383.0,1364.1575,39.3746024583,1442.90670492,1285.40829508,157.498409833
1402653600,1407.95,1445.0,1386.0,1434.8,1173641.0,1367.6925,42.2774297794,1452.24735956,1283.13764044,169.109719118
1402912800,1442.9,1448.0,1411.95,1418.8,1227055.0,1373.1825,41.4197938038,1456.02208761,1290.34291239,165.679175215
1402999200,1436.0,1474.0,1435.5,1445.0,1982665.0,1380.4275,40.6687148647,1461.76492973,1299.09007027,162.674859459
1403085600,1447.0,1457.15,1426.0,1431.3,1239131.0,1385.1875,40.7730421817,1466.73358436,1303.64141564,163.092168727
1403172000,1426.0,1463.8,1409.6,1456.0,1289988.0,1391.8675,40.8830719094,1473.63364382,1310.10135618,163.532287638
1403258400,1467.0,1468.9,1434.55,1441.0,1431405.0,1396.5675,40.8580600219,1478.28362004,1314.85137996,163.432240087
1403517600,1428.65,1443.4,1410.0,1414.0,556326.0,1397.5775,41.0264867951,1479.63047359,1315.52452641,164.10594718
1403604000,1415.0,1422.85,1404.0,1416.8,638942.0,1399.3025,41.0731313482,1481.4487627,1317.1562373,164.292525393
1403690400,1415.95,1438.4,1408.9,1418.0,488010.0,1398.1575,40.207627619,1478.57275524,1317.74224476,160.830510476
1403776800,1420.0,1446.45,1410.9,1435.0,1029878.0,1399.9875,41.0020727372,1481.99164547,1317.98335453,164.008290949
