Date, OPEN, HIGH, LOW, CLOSE, VOLUME, Middle Band, Standard Deviations, Upper Band, Lower Band, Band Width
1397556000,734.3,738.8,718.1,724.65,2092967.0,0,0,0,0,0
1397642400,723.2,731.8,721.1,726.3,893098.0,0,0,0,0,0
1397728800,716.25,721.3,707.3,718.0,3075582.0,0,0,0,0,0
1398074400,722.7,726.5,713.0,715.1,1746938.0,0,0,0,0,0
1398160800,721.9,729.6,717.4,728.7,2848956.0,0,0,0,0,0
1398247200,724.9,739.45,722.6,737.9,5256336.0,0,0,0,0,0
1398420000,733.15,738.0,725.0,725.5,1553111.0,0,0,0,0,0
1398679200,722.25,729.25,720.55,726.4,1220715.0,0,0,0,0,0
1398765600,726.4,727.5,712.5,717.05,1660309.0,0,0,0,0,0
1398852000,716.0,729.9,711.65,724.9,2196730.0,0,0,0,0,0
1399037400,723.5,727.55,715.55,716.5,1478823.0,0,0,0,0,0
1399284000,719.85,723.1,714.0,717.5,1298081.0,0,0,0,0,0
1399370400,720.2,724.6,714.1,720.15,1546140.0,0,0,0,0,0
1399456800,718.5,727.0,711.45,715.0,1649656.0,0,0,0,0,0
1399543200,717.15,723.0,715.5,717.95,1880107.0,0,0,0,0,0
1399629600,720.0,760.0,720.0,758.55,4094111.0,0,0,0,0,0
1399888800,755.1,794.85,754.5,791.9,4390340.0,0,0,0,0,0
1399975200,800.0,800.0,782.5,786.1,3166304.0,0,0,0,0,0
1400061600,785.0,794.8,774.25,774.7,2125375.0,0,0,0,0,0
1400148000,769.0,791.15,766.05,788.0,2366547.0,736.5425,26.2726058614,789.087711723,683.997288277,105.090423446
1400234400,800.0,854.0,787.65,803.15,8217092.0,740.4675,29.8261725461,800.119845092,680.815154908,119.304690184
1400493600,815.9,835.0,808.0,809.85,2630701.0,744.645,33.2085790873,811.062158175,678.227841825,132.834316349
1400580000,816.0,821.6,804.35,817.0,1589258.0,749.595,36.1188555328,821.832711066,677.357288934,144.475422131
1400666400,812.35,814.5,805.0,808.8,910597.0,754.28,37.3950377724,829.070075545,679.489924455,149.58015109
1400752800,812.0,815.0,798.0,800.55,1951614.0,757.8725,38.2074811882,834.287462376,681.457537624,152.829924753
1400839200,799.0,803.0,782.7,790.0,2454734.0,760.4775,38.5316670902,837.54083418,683.41416582,154.126668361
1401098400,799.0,804.05,790.0,800.0,4348808.0,764.2025,38.5712829544,841.345065909,687.059934091,154.285131818
1401184800,800.0,810.65,788.35,804.8,1904881.0,768.1225,38.5140736452,845.15064729,691.09435271,154.056294581
1401271200,799.9,826.75,799.5,821.35,3588891.0,773.3375,38.3063437142,849.950187428,696.724812572,153.225374857
1401357600,822.6,830.75,807.4,810.05,3421002.0,777.595,37.4076258937,852.410251787,702.779748213,149.630503575
1401444000,815.0,822.8,730.0,793.0,8201886.0,781.42,34.7841285646,850.988257129,711.851742871,139.136514258
1401703200,793.5,822.35,793.5,818.5,2020783.0,786.47,32.3865882735,851.243176547,721.696823453,129.546353094
1401789600,823.0,827.85,814.0,823.25,906037.0,791.625,29.4964129175,850.617825835,732.632174165,117.98565167
1401876000,822.4,829.7,815.1,818.0,716085.0,796.775,24.1811574371,845.137314874,748.412685126,96.7246297486
1401962400,811.8,815.4,801.0,806.75,1918618.0,801.215,16.1034398499,833.4218797,769.0081203,64.4137593997
1402048800,813.0,821.0,801.0,816.1,2641319.0,804.0925,13.0806658374,830.253831675,777.931168325,52.3226633496
1402308000,821.9,830.0,815.0,818.55,2334980.0,805.425,13.1280758301,831.68115166,779.16884834,52.5123033203
1402394400,821.15,823.6,810.0,816.0,1249836.0,806.92,12.5311651493,831.982330299,781.857669701,50.1246605974
1402480800,817.0,829.85,810.0,820.3,1935943.0,809.2,10.4343902553,830.068780511,788.331219489,41.7375610212
1402567200,824.5,844.95,812.85,840.9,3183012.0,811.845,11.3865260286,834.618052057,789.071947943,45.5461041144
1402653600,844.0,856.0,831.65,838.0,3053221.0,813.5875,12.5315888358,838.650677672,788.524322328,50.1263553433
1402912800,831.0,842.8,830.3,838.0,1327470.0,814.995,13.5705462307,842.136092461,787.853907539,54.2821849229
1402999200,836.0,848.8,827.35,848.5,1747030.0,816.57,15.4145175079,847.399035016,785.740964984,61.6580700314
1403085600,847.1,851.4,828.75,835.15,1343657.0,817.8875,15.8149839946,849.517467989,786.257532011,63.2599359785
1403172000,837.1,839.95,822.2,827.15,1180249.0,819.2175,15.4144435109,850.046387022,788.388612978,61.6577740435
1403258400,826.0,831.75,819.35,825.25,742442.0,820.98,13.9152829651,848.81056593,793.14943407,55.6611318606
1403517600,824.0,826.55,815.3,822.7,1460211.0,822.115,13.057058436,848.229116872,796.000883128,52.2282337438
1403604000,825.35,832.75,825.0,828.7,1266556.0,823.31,12.4994559882,848.308911976,798.311088024,49.9978239526
1403690400,829.0,833.2,823.0,824.9,1582656.0,823.4875,12.4955679643,848.478635929,798.496364071,49.9822718571
1403776800,820.0,826.6,808.65,814.05,5452066.0,823.6875,12.3095174052,848.30653481,799.06846519,49.238069621
