Date, OPEN, HIGH, LOW, CLOSE, VOLUME, Middle Band, Standard Deviations, Upper Band, Lower Band, Band Width
1397556000,2174.05,2233.55,2123.05,2226.0,305932.0,0,0,0,0,0
1397642400,2225.0,2246.5,2161.95,2167.95,229148.0,0,0,0,0,0
1397728800,2170.0,2225.0,2165.7,2216.05,157821.0,0,0,0,0,0
1398074400,2201.0,2248.1,2201.0,2246.8,182444.0,0,0,0,0,0
1398160800,2250.0,2274.0,2236.05,2265.0,187491.0,0,0,0,0,0
1398247200,2264.0,2296.0,2227.15,2255.05,322006.0,0,0,0,0,0
1398420000,2270.0,2274.85,2195.05,2205.0,196880.0,0,0,0,0,0
1398679200,2197.6,2212.9,2155.2,2162.5,163998.0,0,0,0,0,0
1398765600,2163.4,2174.3,2140.0,2148.0,135445.0,0,0,0,0,0
1398852000,2148.05,2217.8,2148.05,2215.4,341315.0,0,0,0,0,0
1399037400,2222.0,2224.95,2193.0,2195.1,128584.0,0,0,0,0,0
1399284000,2196.35,2217.6,2184.0,2203.95,118964.0,0,0,0,0,0
1399370400,2193.5,2219.5,2171.5,2184.85,72499.0,0,0,0,0,0
1399456800,2184.0,2194.0,2151.0,2165.55,222932.0,0,0,0,0,0
1399543200,2141.15,2171.55,2126.4,2129.0,209033.0,0,0,0,0,0
1399629600,2122.25,2233.0,2115.05,2225.65,216863.0,0,0,0,0,0
1399888800,2224.9,2310.0,2222.0,2309.1,251737.0,0,0,0,0,0
1399975200,2319.0,2443.8,2305.05,2441.4,347393.0,0,0,0,0,0
1400061600,2429.0,2488.0,2418.4,2434.0,412324.0,0,0,0,0,0
1400148000,2443.0,2464.9,2414.1,2440.0,291788.0,2241.8175,92.3289015896,2426.47530318,2057.15969682,369.315606359
1400234400,2489.95,2787.7,2381.0,2383.0,722965.0,2249.6675,97.1962901491,2444.0600803,2055.2749197,388.785160596
1400493600,2429.9,2472.7,2391.7,2432.75,418194.0,2262.9075,103.023753663,2468.95500733,2056.85999267,412.095014651
1400580000,2410.0,2432.7,2350.0,2357.0,299017.0,2269.955,104.389248608,2478.73349722,2061.17650278,417.556994433
1400666400,2380.0,2395.0,2323.3,2340.1,424068.0,2274.62,105.330723675,2485.28144735,2063.95855265,421.322894702
1400752800,2357.0,2386.3,2305.0,2313.9,298720.0,2277.065,105.646116942,2488.35723388,2065.77276612,422.584467769
1400839200,2327.0,2361.65,2315.4,2350.1,214013.0,2281.8175,106.681715016,2495.18093003,2068.45406997,426.726860064
1401098400,2370.0,2371.0,2282.7,2305.0,283148.0,2286.8175,105.298686216,2497.41487243,2076.22012757,421.194744863
1401184800,2280.25,2335.7,2279.35,2310.5,138956.0,2294.2175,101.431525271,2497.08055054,2091.35444946,405.726101083
1401271200,2300.0,2383.0,2300.0,2345.0,775174.0,2304.0675,96.1836632113,2496.43482642,2111.70017358,384.734652845
1401357600,2350.0,2356.0,2260.5,2337.4,588264.0,2310.1675,94.2154104632,2498.59832093,2121.73667907,376.861641853
1401444000,2326.0,2359.0,2326.0,2344.05,553044.0,2317.615,90.6446524898,2498.90430498,2136.32569502,362.578609959
1401703200,2348.0,2402.95,2348.0,2390.95,398058.0,2326.965,88.0451306149,2503.05526123,2150.87473877,352.18052246
1401789600,2415.0,2469.6,2387.0,2458.05,430868.0,2340.625,86.1085339847,2512.84206797,2168.40793203,344.434135939
1401876000,2480.0,2569.0,2444.4,2527.0,476392.0,2358.6975,85.3948688081,2529.48723762,2187.90776238,341.579475232
1401962400,2564.95,2596.0,2502.65,2584.0,452569.0,2381.4475,81.6990505988,2544.8456012,2218.0493988,326.796202395
1402048800,2592.0,2700.0,2592.0,2689.85,655269.0,2404.6575,98.3767900409,2601.41108008,2207.90391992,393.507160164
1402308000,2694.0,2754.55,2684.2,2715.0,399398.0,2424.9525,116.726892226,2658.40628445,2191.49871555,466.907568904
1402394400,2721.0,2721.1,2630.0,2664.15,266286.0,2436.09,127.860743194,2691.81148639,2180.36851361,511.442972774
1402480800,2640.1,2718.0,2640.1,2705.0,443719.0,2449.64,140.642021281,2730.92404256,2168.35595744,562.568085124
1402567200,2700.0,2738.35,2682.3,2710.0,320564.0,2463.14,151.600290732,2766.34058146,2159.93941854,606.401162928
1402653600,2719.0,2757.8,2578.25,2584.55,5445293.0,2473.2175,152.633517187,2778.48453437,2167.95046563,610.534068746
1402912800,2600.0,2623.0,2545.05,2607.15,345733.0,2481.9375,155.035373282,2792.00824656,2171.86675344,620.141493129
1402999200,2614.7,2614.7,2576.0,2590.0,299825.0,2493.5875,153.95989971,2801.50729942,2185.66770058,615.83959884
1403085600,2603.9,2603.9,2535.05,2535.05,397018.0,2503.335,150.055567291,2803.44613458,2203.22386542,600.222269164
1403172000,2550.0,2575.0,2531.0,2539.45,396963.0,2514.6125,143.737347161,2802.08719432,2227.13780568,574.949388642
1403258400,2535.0,2566.0,2512.25,2520.0,321985.0,2523.1075,138.695685112,2800.49887022,2245.71612978,554.782740449
1403517600,2523.0,2589.0,2523.0,2579.95,354783.0,2536.855,129.732450547,2796.31990109,2277.39009891,518.929802189
1403604000,2585.0,2623.75,2585.0,2610.0,379832.0,2551.83,119.632513766,2791.09502753,2312.56497247,478.530055064
1403690400,2616.0,2661.65,2595.5,2657.85,231135.0,2567.4725,111.760145485,2790.99279097,2343.95220903,447.040581939
1403776800,2675.0,2678.65,2627.5,2640.05,425375.0,2582.605,99.3883518074,2781.38170361,2383.82829639,397.55340723
