DATE,CLOSE,EMA SLOW, EMA FAST, EMA 9, MACD
2014-06-26 09:16:00,1466.45,0,0,0,0,BUY
2014-06-26 09:17:00,1468.2,0,0,0,0,BUY
2014-06-26 09:18:00,1470.0,0,0,0,0,BUY
2014-06-26 09:19:00,1468.05,0,0,0,0,BUY
2014-06-26 09:20:00,1470.45,0,0,0,0,BUY
2014-06-26 09:21:00,1469.7,0,0,0,0,BUY
2014-06-26 09:22:00,1468.9,0,0,0,0,BUY
2014-06-26 09:23:00,1470.4,0,0,0,0,BUY
2014-06-26 09:24:00,1470.3,0,0,0,0,BUY
2014-06-26 09:25:00,1475.0,0,0,0,0,BUY
2014-06-26 09:26:00,1472.85,0,0,0,0,BUY
2014-06-26 09:27:00,1475.1,0,1470.45,0,1470.45,BUY
2014-06-26 09:28:00,1473.0,0,1470.84230769,0,1470.84230769,BUY
2014-06-26 09:29:00,1473.4,0,1471.23579882,0,1471.23579882,BUY
2014-06-26 09:30:00,1473.75,0,1471.622599,0,1471.622599,BUY
2014-06-26 09:31:00,1474.9,0,1472.12681454,0,1472.12681454,BUY
2014-06-26 09:32:00,1474.15,0,1472.43807384,0,1472.43807384,BUY
2014-06-26 09:33:00,1474.2,0,1472.7091394,0,1472.7091394,BUY
2014-06-26 09:34:00,1474.8,0,1473.03081026,0,1473.03081026,BUY
2014-06-26 09:35:00,1472.6,0,1472.96453176,0,1472.96453176,BUY
2014-06-26 09:36:00,1472.0,0,1472.81614226,0,1472.81614226,BUY
2014-06-26 09:37:00,1470.45,0,1472.45212037,0,1472.45212037,BUY
2014-06-26 09:38:00,1472.0,0,1472.38256339,0,1472.38256339,BUY
2014-06-26 09:39:00,1467.95,0,1471.70063056,0,1471.70063056,BUY
2014-06-26 09:40:00,1468.0,0,1471.13130278,0,1471.13130278,BUY
2014-06-26 09:41:00,1466.35,1471.26730769,1470.39571774,0,-0.871589951671,Sell
2014-06-26 09:42:00,1463.6,1470.69935897,1469.3502227,0,-1.34913627074,Sell
2014-06-26 09:43:00,1464.9,1470.26977683,1468.66557306,0,-1.6042037712,Sell
