DATE,CLOSE,EMA SLOW, EMA FAST, EMA 9, MACD
2014-06-26 09:16:00,589.45,0,0,0,0,BUY
2014-06-26 09:17:00,589.0,0,0,0,0,BUY
2014-06-26 09:18:00,587.35,0,0,0,0,BUY
2014-06-26 09:19:00,587.7,0,0,0,0,BUY
2014-06-26 09:20:00,588.0,0,0,0,0,BUY
2014-06-26 09:21:00,587.65,0,0,0,0,BUY
2014-06-26 09:22:00,587.75,0,0,0,0,BUY
2014-06-26 09:23:00,587.35,0,0,0,0,BUY
2014-06-26 09:24:00,587.4,0,0,0,0,BUY
2014-06-26 09:25:00,587.25,0,0,0,0,BUY
2014-06-26 09:26:00,586.5,0,0,0,0,BUY
2014-06-26 09:27:00,586.25,0,587.6375,0,587.6375,BUY
2014-06-26 09:28:00,586.45,0,587.454807692,0,587.454807692,BUY
2014-06-26 09:29:00,586.55,0,587.315606509,0,587.315606509,BUY
2014-06-26 09:30:00,586.75,0,587.228590123,0,587.228590123,BUY
2014-06-26 09:31:00,586.75,0,587.154960873,0,587.154960873,BUY
2014-06-26 09:32:00,586.7,0,587.084966893,0,587.084966893,BUY
2014-06-26 09:33:00,587.4,0,587.133433525,0,587.133433525,BUY
2014-06-26 09:34:00,587.0,0,587.11290529,0,587.11290529,BUY
2014-06-26 09:35:00,587.0,0,587.095535245,0,587.095535245,BUY
2014-06-26 09:36:00,586.8,0,587.050068285,0,587.050068285,BUY
2014-06-26 09:37:00,586.8,0,587.011596241,0,587.011596241,BUY
2014-06-26 09:38:00,586.8,0,586.979042973,0,586.979042973,BUY
2014-06-26 09:39:00,587.0,0,586.982267131,0,586.982267131,BUY
2014-06-26 09:40:00,587.0,0,586.984995265,0,586.984995265,BUY
2014-06-26 09:41:00,585.5,587.159615385,586.756534455,0,-0.403080929879,Sell
2014-06-26 09:42:00,583.3,586.873717949,586.224759923,0,-0.648958025479,Sell
2014-06-26 09:43:00,584.5,586.69788699,585.959412243,0,-0.738474746813,Sell
2014-06-26 09:44:00,584.5,586.535080546,585.734887282,0,-0.800193263564,Sell
2014-06-26 09:45:00,583.65,586.321370876,585.414135393,0,-0.907235483086,Sell
2014-06-26 09:46:00,582.0,586.001269329,584.888883794,0,-1.11238553561,Sell
2014-06-26 09:47:00,583.0,585.778953083,584.598286287,0,-1.18066679573,Sell
2014-06-26 09:48:00,583.35,585.599030632,584.406242243,0,-1.19278838932,Sell
2014-06-26 09:49:00,583.2,585.421324659,584.220666513,-0.909382368414,-1.20065814624,Sell
2014-06-26 09:50:00,583.45,585.275300611,584.102102434,-0.962145530002,-1.17319817635,Sell
2014-06-26 09:51:00,583.35,585.132685751,583.986394367,-0.998974700625,-1.14629138312,Sell
2014-06-26 09:52:00,583.25,584.993227547,583.873102926,-1.0232046846,-1.12012462052,Sell
2014-06-26 09:53:00,583.2,584.860395877,583.76954863,-1.03673319703,-1.09084724674,Sell
2014-06-26 09:54:00,583.45,584.755922108,583.720387302,-1.03649351878,-1.03553480578,BUY
2014-06-26 09:55:00,583.6,584.670298248,583.701866179,-1.0228812289,-0.968432069356,BUY
2014-06-26 09:56:00,583.45,584.579905785,583.663117536,-1.001662633,-0.916788249426,BUY
2014-06-26 09:57:00,583.1,584.470283135,583.576484069,-0.980089919548,-0.893799065727,BUY
2014-06-26 09:58:00,583.55,584.402114014,583.572409597,-0.950012818994,-0.82970441678,BUY
2014-06-26 09:59:00,583.15,584.309364827,583.507423505,-0.920398519675,-0.8019413224,BUY
2014-06-26 10:00:00,582.2,584.153115581,583.306281427,-0.905685646463,-0.846834153614,BUY
2014-06-26 10:01:00,582.3,584.01584776,583.1514689,-0.897424289186,-0.864378860079,BUY
2014-06-26 10:02:00,582.25,583.885044222,583.012781377,-0.892392000423,-0.872262845371,BUY
2014-06-26 10:03:00,582.5,583.782448354,582.933891934,-0.88362488427,-0.848556419656,BUY
2014-06-26 10:04:00,582.2,583.665229957,582.820985483,-0.875748802315,-0.844244474498,BUY
2014-06-26 10:05:00,582.7,583.593731442,582.802372332,-0.858870863922,-0.791359110349,BUY
2014-06-26 10:06:00,582.45,583.509010594,582.748161204,-0.839266569286,-0.760849390741,BUY
2014-06-26 10:07:00,582.4,583.426861662,582.694597942,-0.817865999414,-0.732263719928,BUY
2014-06-26 10:08:00,582.05,583.324871909,582.595429028,-0.800181375794,-0.729442881315,BUY
2014-06-26 10:09:00,582.7,583.278585101,582.611516869,-0.773558746902,-0.667068231333,BUY
2014-06-26 10:10:00,583.0,583.257949167,582.671283505,-0.736180130016,-0.586665662471,BUY
