DATE,CLOSE,EMA SLOW, EMA FAST, EMA 9, MACD
2014-06-26 09:16:00,1920.0,0,0,0,0,BUY
2014-06-26 09:17:00,1916.0,0,0,0,0,BUY
2014-06-26 09:18:00,1922.35,0,0,0,0,BUY
2014-06-26 09:19:00,1924.9,0,0,0,0,BUY
2014-06-26 09:20:00,1924.9,0,0,0,0,BUY
2014-06-26 09:21:00,1926.9,0,0,0,0,BUY
2014-06-26 09:22:00,1927.1,0,0,0,0,BUY
2014-06-26 09:23:00,1927.75,0,0,0,0,BUY
2014-06-26 09:24:00,1926.2,0,0,0,0,BUY
2014-06-26 09:25:00,1926.5,0,0,0,0,BUY
2014-06-26 09:26:00,1925.25,0,0,0,0,BUY
2014-06-26 09:27:00,1925.2,0,1924.42083333,0,1924.42083333,BUY
2014-06-26 09:28:00,1925.8,0,1924.63301282,0,1924.63301282,BUY
2014-06-26 09:29:00,1932.65,0,1925.86639546,0,1925.86639546,BUY
2014-06-26 09:30:00,1929.6,0,1926.44079616,0,1926.44079616,BUY
2014-06-26 09:31:00,1932.2,0,1927.32682752,0,1927.32682752,BUY
2014-06-26 09:32:00,1935.7,0,1928.6150079,0,1928.6150079,BUY
2014-06-26 09:33:00,1936.25,0,1929.78962207,0,1929.78962207,BUY
2014-06-26 09:34:00,1932.75,0,1930.24506483,0,1930.24506483,BUY
2014-06-26 09:35:00,1932.95,0,1930.6612087,0,1930.6612087,BUY
2014-06-26 09:36:00,1934.0,0,1931.1748689,0,1931.1748689,BUY
2014-06-26 09:37:00,1934.05,0,1931.61719676,0,1931.61719676,BUY
2014-06-26 09:38:00,1933.9,0,1931.96839726,0,1931.96839726,BUY
2014-06-26 09:39:00,1933.0,0,1932.12710537,0,1932.12710537,BUY
2014-06-26 09:40:00,1933.5,0,1932.33831993,0,1932.33831993,BUY
2014-06-26 09:41:00,1928.0,1928.74615385,1931.6708861,0,2.92473225051,BUY
2014-06-26 09:42:00,1923.15,1928.33162393,1930.35998054,0,2.0283566117,BUY
2014-06-26 09:43:00,1926.0,1928.15891105,1929.68921431,0,1.53030325809,BUY
2014-06-26 09:44:00,1924.0,1927.85084356,1928.81395057,0,0.963107003748,BUY
2014-06-26 09:45:00,1923.35,1927.51744774,1927.97334279,0,0.455895043747,BUY
2014-06-26 09:46:00,1920.6,1927.00504421,1926.83898236,0,-0.16606184849,Sell
2014-06-26 09:47:00,1924.7,1926.83430019,1926.50990815,0,-0.32439204214,Sell
2014-06-26 09:48:00,1925.8,1926.75768536,1926.40069151,0,-0.356993851499,Sell
2014-06-26 09:49:00,1925.0,1926.62748645,1926.18520051,0.734740054247,-0.442285937448,Sell
2014-06-26 09:50:00,1925.85,1926.56989486,1926.1336312,0.500539311813,-0.436263657921,Sell
2014-06-26 09:51:00,1927.05,1926.6054582,1926.27461102,0.33426201217,-0.330847186406,Sell
2014-06-26 09:52:00,1927.2,1926.64949834,1926.41697855,0.220905653031,-0.232519783523,Sell
2014-06-26 09:53:00,1928.0,1926.7495355,1926.66052031,0.158921485907,-0.0890151825906,Sell
2014-06-26 09:54:00,1928.0,1926.8421625,1926.86659411,0.132023511744,0.024431615092,Sell
2014-06-26 09:55:00,1928.15,1926.93903935,1927.06404117,0.130619173953,0.125001822791,Sell
2014-06-26 09:56:00,1925.25,1926.81392532,1926.78495791,0.0987018574679,-0.0289674084734,Sell
2014-06-26 09:57:00,1924.55,1926.64622715,1926.44111823,0.0379397028757,-0.205108915493,Sell
2014-06-26 09:58:00,1924.3,1926.47243255,1926.11171543,-0.041791661122,-0.360717117113,Sell
2014-06-26 09:59:00,1923.1,1926.22262273,1925.64837459,-0.148282955726,-0.574248134141,Sell
2014-06-26 10:00:00,1924.05,1926.06168771,1925.40247081,-0.250469744768,-0.659216900939,Sell
2014-06-26 10:01:00,1925.0,1925.98304418,1925.34055222,-0.32887418641,-0.642491952978,Sell
2014-06-26 10:02:00,1925.3,1925.93244831,1925.33431342,-0.382726327473,-0.598134891721,Sell
2014-06-26 10:03:00,1925.4,1925.8930077,1925.34441905,-0.415898791654,-0.548588648381,Sell
2014-06-26 10:04:00,1923.65,1925.72685898,1925.08373919,-0.461342990058,-0.643119783674,Sell
2014-06-26 10:05:00,1923.9,1925.59153609,1924.90162547,-0.507056515773,-0.689910618634,Sell
2014-06-26 10:06:00,1922.5,1925.36253342,1924.53214463,-0.571722970043,-0.830388787122,Sell
2014-06-26 10:07:00,1922.2,1925.12827168,1924.17335315,-0.648362082853,-0.95491853409,Sell
2014-06-26 10:08:00,1923.35,1924.99654785,1924.04668343,-0.708662550468,-0.949864420928,Sell
2014-06-26 10:09:00,1923.0,1924.84865542,1923.88565521,-0.759530081937,-0.963000207812,Sell
2014-06-26 10:10:00,1923.2,1924.7265328,1923.7801698,-0.796896665837,-0.946363001437,Sell
2014-06-26 10:11:00,1924.7,1924.7245674,1923.92168213,-0.798094386655,-0.802885269929,Sell
2014-06-26 10:12:00,1924.3,1924.69311797,1923.97988488,-0.781122126134,-0.713233084048,BUY
2014-06-26 10:13:00,1923.75,1924.62325738,1923.94451798,-0.760645580706,-0.678739398995,BUY
2014-06-26 10:14:00,1924.95,1924.64746053,1924.09920752,-0.718167067449,-0.548253014422,BUY
2014-06-26 10:15:00,1924.15,1924.61061161,1924.10702175,-0.67525162561,-0.503589858252,BUY
2014-06-26 10:16:00,1924.4,1924.59501075,1924.15209532,-0.628784384742,-0.442915421273,BUY
2014-06-26 10:17:00,1923.5,1924.51389884,1924.05177297,-0.59545268216,-0.46212587183,BUY
2014-06-26 10:18:00,1925.4,1924.57953596,1924.25919251,-0.540430836,-0.320343451363,BUY
2014-06-26 10:19:00,1924.95,1924.60697774,1924.36547059,-0.480646100136,-0.24150715668,BUY
2014-06-26 10:20:00,1924.15,1924.57312754,1924.33232127,-0.432678134998,-0.240806274444,BUY
2014-06-26 10:21:00,1924.5,1924.56771068,1924.35811799,-0.388061046242,-0.209592691217,BUY
2014-06-26 10:22:00,1925.4,1924.62936175,1924.51840753,-0.332639679424,-0.110954212151,BUY
2014-06-26 10:23:00,1925.9,1924.7234831,1924.73096022,-0.264616318965,0.00747712286829,BUY
2014-06-26 10:24:00,1926.0,1924.8180399,1924.92619711,-0.19006161428,0.10815720446,BUY
2014-06-26 10:25:00,1925.45,1924.86485176,1925.00678217,-0.123663210293,0.141930405657,BUY
2014-06-26 10:26:00,1926.4,1924.97856645,1925.22112337,-0.0504191829964,0.242556926189,BUY
2014-06-26 10:27:00,1926.0,1925.05422819,1925.34095055,0.0170091245621,0.286722354796,BUY
2014-06-26 10:28:00,1925.75,1925.10576685,1925.40388123,0.073230177132,0.298114387411,BUY
2014-06-26 10:29:00,1925.7,1925.14978412,1925.44943797,0.118514911735,0.299653850145,BUY
2014-06-26 10:30:00,1925.0,1925.138689,1925.38029366,0.143132862865,0.241604667385,BUY
2014-06-26 10:31:00,1925.15,1925.13952685,1925.34486387,0.155573694465,0.205337020864,BUY
2014-06-26 10:32:00,1924.4,1925.08474708,1925.1995002,0.147409578618,0.114753115233,Sell
2014-06-26 10:33:00,1925.4,1925.10809915,1925.23034632,0.142377097047,0.122247170762,Sell
