DATE,CLOSE,EMA SLOW, EMA FAST, EMA 9, MACD
2014-06-26 09:16:00,2298.0,0,0,0,0,BUY
2014-06-26 09:17:00,2303.6,0,0,0,0,BUY
2014-06-26 09:18:00,2303.1,0,0,0,0,BUY
2014-06-26 09:19:00,2306.15,0,0,0,0,BUY
2014-06-26 09:20:00,2306.65,0,0,0,0,BUY
2014-06-26 09:21:00,2314.2,0,0,0,0,BUY
2014-06-26 09:22:00,2317.6,0,0,0,0,BUY
2014-06-26 09:23:00,2315.0,0,0,0,0,BUY
2014-06-26 09:24:00,2313.0,0,0,0,0,BUY
2014-06-26 09:25:00,2314.5,0,0,0,0,BUY
2014-06-26 09:26:00,2313.15,0,0,0,0,BUY
2014-06-26 09:27:00,2305.6,0,2309.2125,0,2309.2125,BUY
2014-06-26 09:28:00,2309.65,0,2309.27980769,0,2309.27980769,BUY
2014-06-26 09:29:00,2309.5,0,2309.31368343,0,2309.31368343,BUY
2014-06-26 09:30:00,2307.35,0,2309.01157829,0,2309.01157829,BUY
2014-06-26 09:31:00,2307.1,0,2308.71748932,0,2308.71748932,BUY
2014-06-26 09:32:00,2302.55,0,2307.76864481,0,2307.76864481,BUY
2014-06-26 09:33:00,2304.9,0,2307.32731484,0,2307.32731484,BUY
2014-06-26 09:34:00,2305.4,0,2307.03080486,0,2307.03080486,BUY
2014-06-26 09:35:00,2305.8,0,2306.84145027,0,2306.84145027,BUY
2014-06-26 09:36:00,2304.25,0,2306.44276561,0,2306.44276561,BUY
2014-06-26 09:37:00,2303.0,0,2305.91310936,0,2305.91310936,BUY
2014-06-26 09:38:00,2303.5,0,2305.54186177,0,2305.54186177,BUY
2014-06-26 09:39:00,2302.9,0,2305.1354215,0,2305.1354215,BUY
2014-06-26 09:40:00,2302.8,0,2304.77612588,0,2304.77612588,BUY
2014-06-26 09:41:00,2300.0,2306.89423077,2304.04133729,0,-2.85289348386,Sell
2014-06-26 09:42:00,2294.8,2305.99836182,2302.61959309,0,-3.37876873574,Sell
2014-06-26 09:43:00,2292.95,2305.0318165,2301.13196338,0,-3.89985312128,Sell
2014-06-26 09:44:00,2296.1,2304.37020047,2300.35781517,0,-4.0123852966,Sell
2014-06-26 09:45:00,2290.05,2303.30944488,2298.77199745,0,-4.53744742488,Sell
2014-06-26 09:46:00,2288.45,2302.20874526,2297.18399784,0,-5.02474741229,Sell
2014-06-26 09:47:00,2290.0,2301.30439375,2296.07876741,0,-5.22562634928,Sell
2014-06-26 09:48:00,2298.45,2301.09295718,2296.44357242,0,-4.64938476033,Sell
2014-06-26 09:49:00,2301.35,2301.11199739,2297.19840743,-4.16607739346,-3.9135899569,BUY
2014-06-26 09:50:00,2296.4,2300.76296055,2297.07557552,-4.07033891996,-3.68738502593,BUY
2014-06-26 09:51:00,2297.15,2300.49533384,2297.08702544,-3.93793281573,-3.40830839881,BUY
2014-06-26 09:52:00,2299.1,2300.39197578,2297.39671383,-3.74939864114,-2.99526194281,BUY
2014-06-26 09:53:00,2296.95,2300.13701461,2297.32798863,-3.56132410879,-2.80902597937,BUY
2014-06-26 09:54:00,2296.9,2299.89723575,2297.26214422,-3.37607759181,-2.63509152391,BUY
2014-06-26 09:55:00,2296.75,2299.66410717,2297.18335281,-3.19701294727,-2.48075436908,BUY
2014-06-26 09:56:00,2296.05,2299.39639553,2297.00899084,-3.03509129712,-2.38740469655,BUY
2014-06-26 09:57:00,2295.05,2299.07444031,2296.70760763,-2.90143957317,-2.36683267738,BUY
2014-06-26 09:58:00,2292.8,2298.60966695,2296.10643723,-2.82179760371,-2.50322972586,BUY
2014-06-26 09:59:00,2290.8,2298.0311731,2295.29006227,-2.80566025004,-2.74111083535,BUY
2014-06-26 10:00:00,2291.8,2297.56960472,2294.75312961,-2.80782322281,-2.81647511389,Sell
2014-06-26 10:01:00,2292.6,2297.20148586,2294.4218789,-2.8021799692,-2.77960695475,BUY
2014-06-26 10:02:00,2292.9,2296.88285727,2294.18774369,-2.78076669304,-2.69511358842,BUY
2014-06-26 10:03:00,2292.55,2296.56190488,2293.93578312,-2.74983770739,-2.62612176479,BUY
2014-06-26 10:04:00,2294.0,2296.37213415,2293.94566264,-2.68516446841,-2.42647151249,BUY
2014-06-26 10:05:00,2291.8,2296.03345755,2293.61556069,-2.63171094536,-2.41789685314,BUY
2014-06-26 10:06:00,2291.95,2295.73097921,2293.35932059,-2.57970048091,-2.37165862313,BUY
2014-06-26 10:07:00,2291.65,2295.42868445,2293.09634819,-2.5302276377,-2.33233626487,BUY
2014-06-26 10:08:00,2292.15,2295.18581894,2292.95075616,-2.47119466594,-2.2350627789,BUY
2014-06-26 10:09:00,2292.45,2294.98316568,2292.87371675,-2.39884551944,-2.10944893343,BUY
2014-06-26 10:10:00,2293.2,2294.85107934,2292.92391417,-2.30450944826,-1.92716516352,BUY
2014-06-26 10:11:00,2294.2,2294.80285124,2293.12023507,-2.18013079223,-1.68261616814,BUY
2014-06-26 10:12:00,2295.75,2294.87301041,2293.52481429,-2.01374385693,-1.34819611571,BUY
2014-06-26 10:13:00,2296.2,2294.97130593,2293.93638132,-1.81798000733,-1.03492460893,BUY
2014-06-26 10:14:00,2294.6,2294.94380179,2294.0384765,-1.6354490628,-0.905325284708,BUY
2014-06-26 10:15:00,2294.15,2294.88500166,2294.05563396,-1.4742327885,-0.829367691264,BUY
2014-06-26 10:16:00,2296.05,2294.97129783,2294.36245951,-1.301153895,-0.608838321,BUY
2014-06-26 10:17:00,2296.4,2295.07712762,2294.67592728,-1.1211631847,-0.401200343489,BUY
2014-06-26 10:18:00,2297.15,2295.23067372,2295.05655385,-0.931754522329,-0.174119872864,BUY
2014-06-26 10:19:00,2296.15,2295.29877196,2295.22477633,-0.760202744052,-0.0739956309453,BUY
2014-06-26 10:20:00,2295.9,2295.34330737,2295.3286569,-0.611092290632,-0.0146504769523,BUY
2014-06-26 10:21:00,2294.95,2295.3141735,2295.27040199,-0.497628133448,-0.0437715047137,BUY
2014-06-26 10:22:00,2295.85,2295.35386435,2295.35957092,-0.396961193237,0.00570656760647,BUY
2014-06-26 10:23:00,2296.0,2295.40172625,2295.45809847,-0.306294510802,0.056372218939,BUY
2014-06-26 10:24:00,2294.9,2295.36456134,2295.37223716,-0.243500443919,0.00767582361323,BUY
