DATE,CLOSE,EMA SLOW, EMA FAST, EMA 9, MACD
2014-06-26 09:16:00,872.9,0,0,0,0,BUY
2014-06-26 09:17:00,869.95,0,0,0,0,BUY
2014-06-26 09:18:00,873.7,0,0,0,0,BUY
2014-06-26 09:19:00,873.9,0,0,0,0,BUY
2014-06-26 09:20:00,872.95,0,0,0,0,BUY
2014-06-26 09:21:00,873.9,0,0,0,0,BUY
2014-06-26 09:22:00,874.0,0,0,0,0,BUY
2014-06-26 09:23:00,872.3,0,0,0,0,BUY
2014-06-26 09:24:00,871.95,0,0,0,0,BUY
2014-06-26 09:25:00,872.0,0,0,0,0,BUY
2014-06-26 09:26:00,871.7,0,0,0,0,BUY
2014-06-26 09:27:00,871.5,0,872.5625,0,872.5625,BUY
2014-06-26 09:28:00,871.95,0,872.468269231,0,872.468269231,BUY
2014-06-26 09:29:00,871.95,0,872.388535503,0,872.388535503,BUY
2014-06-26 09:30:00,871.65,0,872.274914656,0,872.274914656,BUY
2014-06-26 09:31:00,871.75,0,872.194158555,0,872.194158555,BUY
2014-06-26 09:32:00,872.5,0,872.241211085,0,872.241211085,BUY
2014-06-26 09:33:00,872.45,0,872.273332457,0,872.273332457,BUY
2014-06-26 09:34:00,872.0,0,872.23128131,0,872.23128131,BUY
2014-06-26 09:35:00,871.1,0,872.057238031,0,872.057238031,BUY
2014-06-26 09:36:00,871.05,0,871.902278334,0,871.902278334,BUY
2014-06-26 09:37:00,870.3,0,871.655773975,0,871.655773975,BUY
2014-06-26 09:38:00,871.05,0,871.562577979,0,871.562577979,BUY
2014-06-26 09:39:00,870.5,0,871.399104444,0,871.399104444,BUY
2014-06-26 09:40:00,869.75,0,871.145396068,0,871.145396068,BUY
2014-06-26 09:41:00,868.25,871.807692308,870.699950519,0,-1.10774178887,Sell
2014-06-26 09:42:00,866.35,871.403418803,870.030727362,0,-1.37269144134,Sell
2014-06-26 09:43:00,868.9,871.217980374,869.856769306,0,-1.36121106716,Sell
2014-06-26 09:44:00,866.7,870.883315161,869.37111249,0,-1.51220267067,Sell
