DATE,CLOSE,EMA SLOW, EMA FAST, EMA 9, MACD
2014-06-26 09:16:00,338.9,0,0,0,0,BUY
2014-06-26 09:17:00,338.6,0,0,0,0,BUY
2014-06-26 09:18:00,338.3,0,0,0,0,BUY
2014-06-26 09:19:00,340.4,0,0,0,0,BUY
2014-06-26 09:20:00,340.4,0,0,0,0,BUY
2014-06-26 09:21:00,340.5,0,0,0,0,BUY
2014-06-26 09:22:00,339.75,0,0,0,0,BUY
2014-06-26 09:23:00,340.0,0,0,0,0,BUY
2014-06-26 09:24:00,340.0,0,0,0,0,BUY
2014-06-26 09:25:00,339.5,0,0,0,0,BUY
2014-06-26 09:26:00,339.25,0,0,0,0,BUY
2014-06-26 09:27:00,339.3,0,339.575,0,339.575,BUY
2014-06-26 09:28:00,339.05,0,339.494230769,0,339.494230769,BUY
2014-06-26 09:29:00,339.25,0,339.456656805,0,339.456656805,BUY
2014-06-26 09:30:00,338.65,0,339.332555758,0,339.332555758,BUY
2014-06-26 09:31:00,338.75,0,339.242931795,0,339.242931795,BUY
2014-06-26 09:32:00,338.4,0,339.11324998,0,339.11324998,BUY
2014-06-26 09:33:00,338.3,0,338.988134599,0,338.988134599,BUY
2014-06-26 09:34:00,338.25,0,338.87457543,0,338.87457543,BUY
2014-06-26 09:35:00,338.25,0,338.778486902,0,338.778486902,BUY
2014-06-26 09:36:00,338.1,0,338.674104302,0,338.674104302,BUY
2014-06-26 09:37:00,337.55,0,338.501165178,0,338.501165178,BUY
2014-06-26 09:38:00,338.0,0,338.424062843,0,338.424062843,BUY
2014-06-26 09:39:00,338.5,0,338.435745483,0,338.435745483,BUY
2014-06-26 09:40:00,338.45,0,338.437938485,0,338.437938485,BUY
2014-06-26 09:41:00,337.35,338.913461538,338.270563334,0,-0.642898204621,Sell
2014-06-26 09:42:00,335.9,338.690242165,337.905861282,0,-0.784380882762,Sell
2014-06-26 09:43:00,336.7,338.54281682,337.720344162,0,-0.82247265757,Sell
2014-06-26 09:44:00,337.55,338.469274833,337.694137368,0,-0.775137465097,Sell
2014-06-26 09:45:00,336.25,338.304884105,337.471962388,0,-0.832921716406,Sell
2014-06-26 09:46:00,335.55,338.100818615,337.176275867,0,-0.924542748441,Sell
2014-06-26 09:47:00,336.25,337.96372094,337.033771887,0,-0.92994905276,Sell
2014-06-26 09:48:00,336.25,337.836778648,336.913191597,0,-0.923587051269,Sell
2014-06-26 09:49:00,336.15,337.711832082,336.795777505,-0.83910492839,-0.916054576582,Sell
2014-06-26 09:50:00,336.35,337.610955631,336.727196351,-0.848035798857,-0.883759280727,Sell
2014-06-26 09:51:00,336.65,337.539773733,336.715319989,-0.843319387834,-0.824453743738,BUY
2014-06-26 09:52:00,336.9,337.492383086,336.743732298,-0.824385667763,-0.748650787479,BUY
2014-06-26 09:53:00,336.5,337.418873228,336.706235022,-0.802036175398,-0.712638205937,BUY
2014-06-26 09:54:00,336.6,337.358215951,336.689891172,-0.775293896179,-0.668324779306,BUY
2014-06-26 09:55:00,336.6,337.302051807,336.676061761,-0.745433126115,-0.625990045856,BUY
2014-06-26 09:56:00,336.5,337.242640562,336.648975336,-0.715079546027,-0.593665225679,BUY
2014-06-26 09:57:00,336.55,337.191333854,336.633748361,-0.683580735262,-0.557585492199,BUY
2014-06-26 09:58:00,336.65,337.15123505,336.636248614,-0.649861875438,-0.514986436143,BUY
2014-06-26 09:59:00,336.35,337.091884305,336.592210365,-0.619824288342,-0.49967393996,BUY
2014-06-26 10:00:00,336.6,337.055448431,336.593408771,-0.588267362706,-0.462039660159,BUY
2014-06-26 10:01:00,336.75,337.032822621,336.617499729,-0.553678468586,-0.415322892109,BUY
2014-06-26 10:02:00,336.95,337.026687612,336.668653617,-0.514549573928,-0.358033995293,BUY
