DATE,CLOSE,EMA SLOW, EMA FAST, EMA 9, MACD
2014-06-26 09:16:00,556.0,0,0,0,0,BUY
2014-06-26 09:17:00,561.2,0,0,0,0,BUY
2014-06-26 09:18:00,563.1,0,0,0,0,BUY
2014-06-26 09:19:00,562.9,0,0,0,0,BUY
2014-06-26 09:20:00,562.8,0,0,0,0,BUY
2014-06-26 09:21:00,563.85,0,0,0,0,BUY
2014-06-26 09:22:00,563.75,0,0,0,0,BUY
2014-06-26 09:23:00,565.8,0,0,0,0,BUY
2014-06-26 09:24:00,566.4,0,0,0,0,BUY
2014-06-26 09:25:00,566.35,0,0,0,0,BUY
2014-06-26 09:26:00,565.85,0,0,0,0,BUY
2014-06-26 09:27:00,564.95,0,563.579166667,0,563.579166667,BUY
2014-06-26 09:28:00,565.0,0,563.79775641,0,563.79775641,BUY
2014-06-26 09:29:00,563.0,0,563.675024655,0,563.675024655,BUY
2014-06-26 09:30:00,563.4,0,563.632713169,0,563.632713169,BUY
2014-06-26 09:31:00,563.4,0,563.596911143,0,563.596911143,BUY
2014-06-26 09:32:00,562.55,0,563.435847891,0,563.435847891,BUY
2014-06-26 09:33:00,560.6,0,562.9995636,0,562.9995636,BUY
2014-06-26 09:34:00,561.35,0,562.745784584,0,562.745784584,BUY
2014-06-26 09:35:00,562.95,0,562.777202341,0,562.777202341,BUY
2014-06-26 09:36:00,563.55,0,562.896094288,0,562.896094288,BUY
2014-06-26 09:37:00,564.45,0,563.135156705,0,563.135156705,BUY
2014-06-26 09:38:00,566.0,0,563.575901828,0,563.575901828,BUY
2014-06-26 09:39:00,565.05,0,563.802686162,0,563.802686162,BUY
2014-06-26 09:40:00,565.45,0,564.05611906,0,564.05611906,BUY
2014-06-26 09:41:00,562.15,563.532692308,563.762869974,0,0.230177666188,BUY
2014-06-26 09:42:00,561.0,563.34508547,563.337813055,0,-0.00727241526351,Sell
2014-06-26 09:43:00,562.0,563.245449509,563.131995662,0,-0.113453847566,Sell
2014-06-26 09:44:00,560.75,563.060601398,562.765534791,0,-0.295066606805,Sell
2014-06-26 09:45:00,560.2,562.848704998,562.370837131,0,-0.4778678671,Sell
2014-06-26 09:46:00,558.95,562.559912035,561.844554495,0,-0.715357539786,Sell
2014-06-26 09:47:00,559.8,562.355474106,561.53000765,0,-0.825466456679,Sell
2014-06-26 09:48:00,559.4,562.136550099,561.202314165,0,-0.934235933371,Sell
2014-06-26 09:49:00,558.65,561.878287128,560.809650447,-0.467464409023,-1.06863668083,Sell
2014-06-26 09:50:00,560.35,561.765080674,560.738934994,-0.579200663285,-1.02614568033,Sell
2014-06-26 09:51:00,560.7,561.68618581,560.732944995,-0.654008693557,-0.953240814644,Sell
2014-06-26 09:52:00,560.5,561.598320194,560.697107303,-0.703449532975,-0.901212890646,Sell
2014-06-26 09:53:00,559.7,561.457703883,560.54370618,-0.745559167095,-0.913997703575,Sell
2014-06-26 09:54:00,560.6,561.394170262,560.552366768,-0.764808032648,-0.841803494861,Sell
2014-06-26 09:55:00,560.4,561.320528021,560.528925726,-0.77016688499,-0.791602294359,Sell
2014-06-26 09:56:00,559.6,561.193081501,560.386014076,-0.777546992895,-0.807067424515,Sell
2014-06-26 09:57:00,559.1,561.038038427,560.188165757,-0.792012128276,-0.849872669799,Sell
2014-06-26 09:58:00,558.25,560.831517062,559.88998641,-0.821915833033,-0.941530652061,Sell
2014-06-26 09:59:00,558.35,560.647700983,559.653065423,-0.856459778328,-0.994635559508,Sell
2014-06-26 10:00:00,559.25,560.544167577,559.591055358,-0.875790266365,-0.953112218511,Sell
2014-06-26 10:01:00,559.05,560.433488497,559.507816072,-0.88576669802,-0.925672424641,Sell
2014-06-26 10:02:00,558.4,560.28285972,559.337382831,-0.897708736214,-0.945476888991,Sell
2014-06-26 10:03:00,558.5,560.150796037,559.208554703,-0.906615255739,-0.942241333836,Sell
2014-06-26 10:04:00,558.3,560.013700034,559.068777056,-0.914276800131,-0.944922977702,Sell
2014-06-26 10:05:00,558.8,559.923796328,559.02742674,-0.91069535767,-0.896369587823,BUY
2014-06-26 10:06:00,558.2,559.796107711,558.900130318,-0.90775176463,-0.895977392472,BUY
2014-06-26 10:07:00,557.7,559.640840473,558.715494885,-0.911270529349,-0.925345588223,Sell
2014-06-26 10:08:00,558.05,559.523000438,558.613111056,-0.910994299801,-0.90988938161,BUY
2014-06-26 10:09:00,558.05,559.413889294,558.526478586,-0.906277581493,-0.887410708262,BUY
2014-06-26 10:10:00,558.55,559.349897495,558.530097265,-0.888982111118,-0.819800229619,BUY
2014-06-26 10:11:00,558.6,559.294349532,558.540851532,-0.861885288924,-0.753498000145,BUY
2014-06-26 10:12:00,558.45,559.231805122,558.526874373,-0.830494380965,-0.704930749131,BUY
2014-06-26 10:13:00,558.55,559.181301039,558.530432162,-0.794569280225,-0.650868877264,BUY
2014-06-26 10:14:00,559.8,559.227130592,558.725750291,-0.735931484378,-0.501380300989,BUY
2014-06-26 10:15:00,559.65,559.258454252,558.867942554,-0.666847527085,-0.390511697913,BUY
2014-06-26 10:16:00,559.9,559.305976159,559.026720623,-0.589329128978,-0.279255536553,BUY
2014-06-26 10:17:00,560.25,559.375903851,559.21491745,-0.503660583416,-0.160986401168,BUY
2014-06-26 10:18:00,561.3,559.518429492,559.535699381,-0.39947448894,0.0172698889626,BUY
2014-06-26 10:19:00,560.45,559.587434714,559.676361014,-0.301794331178,0.0889262998741,BUY
2014-06-26 10:20:00,560.5,559.655032143,559.803074704,-0.211826952659,0.148042561416,BUY
2014-06-26 10:21:00,560.2,559.695400132,559.864140135,-0.135713561708,0.168740002095,BUY
2014-06-26 10:22:00,560.65,559.766111234,559.985041652,-0.064784765655,0.218930418557,BUY
2014-06-26 10:23:00,560.8,559.842695587,560.11041986,0.00171704204385,0.267724272839,BUY
2014-06-26 10:24:00,560.25,559.872866284,560.131893727,0.0531791222976,0.259027443313,BUY
2014-06-26 10:25:00,561.05,559.960061374,560.273140846,0.10515919226,0.313079472107,BUY
2014-06-26 10:26:00,561.1,560.044501272,560.400349947,0.155297088702,0.355848674472,BUY
2014-06-26 10:27:00,561.3,560.137501178,560.538757647,0.204488964804,0.401256469209,BUY
2014-06-26 10:28:00,561.45,560.234723313,560.678948778,0.25243626493,0.444225465436,BUY
2014-06-26 10:29:00,561.5,560.328447512,560.805264351,0.297312379732,0.476816838942,BUY
2014-06-26 10:30:00,561.1,560.385599548,560.850608297,0.330851653545,0.465008748795,BUY
2014-06-26 10:31:00,561.6,560.475555137,560.965899328,0.362750161036,0.490344191002,BUY
2014-06-26 10:32:00,561.5,560.551439942,561.048068662,0.389525872923,0.496628720468,BUY
2014-06-26 10:33:00,561.5,560.62170365,561.11759656,0.41079928045,0.495892910558,BUY
2014-06-26 10:34:00,561.95,560.720095972,561.245658628,0.43375195555,0.525562655949,BUY
2014-06-26 10:35:00,561.8,560.800088863,561.330941916,0.453172175036,0.530853052983,BUY
2014-06-26 10:36:00,561.05,560.818600799,561.287720083,0.456361596764,0.469119283673,BUY
2014-06-26 10:37:00,561.35,560.857963703,561.297301609,0.452956858536,0.439337905625,Sell
2014-06-26 10:38:00,561.5,560.905521947,561.328485976,0.446958292691,0.422964029313,Sell
2014-06-26 10:39:00,561.55,560.953261062,561.362565057,0.439427433119,0.409303994831,Sell
2014-06-26 10:40:00,561.45,560.990056539,561.376016587,0.428733956024,0.385960047646,Sell
2014-06-26 10:41:00,561.45,561.024126425,561.38739865,0.415641609866,0.363272225234,Sell
2014-06-26 10:42:00,561.8,561.081598542,561.450875781,0.406368735753,0.369277239297,Sell
2014-06-26 10:43:00,562.05,561.153331983,561.543048738,0.403038339544,0.38971675471,Sell
2014-06-26 10:44:00,561.85,561.204937021,561.590272009,0.399497669141,0.38533498753,Sell
2014-06-26 10:45:00,562.05,561.267534279,561.660999392,0.398291157933,0.3934651131,Sell
2014-06-26 10:46:00,562.05,561.325494703,561.72084564,0.397703113684,0.395350936689,Sell
2014-06-26 10:47:00,562.0,561.375458058,561.763792464,0.395829372154,0.388334406034,Sell
2014-06-26 10:48:00,561.5,561.384683387,561.723209008,0.384368621919,0.338525620979,Sell
2014-06-26 10:49:00,561.95,561.426558692,561.75809993,0.373803145165,0.331541238147,Sell
2014-06-26 10:50:00,561.5,561.431998789,561.718392248,0.356321208074,0.28639345971,Sell
2014-06-26 10:51:00,561.5,561.437035915,561.684793441,0.334608471558,0.247757525496,Sell
2014-06-26 10:52:00,561.45,561.437996218,561.648671373,0.309821808266,0.210675155095,Sell
2014-06-26 10:53:00,561.55,561.446292794,561.633491162,0.285297120093,0.187198367401,Sell
2014-06-26 10:54:00,561.8,561.472493328,561.659107906,0.265560611671,0.186614577984,Sell
2014-06-26 10:55:00,561.4,561.467123452,561.619245151,0.242872829206,0.152121699346,Sell
2014-06-26 10:56:00,561.25,561.451040233,561.562438205,0.216577857694,0.111397971647,Sell
