DATE,CLOSE,EMA SLOW, EMA FAST, EMA 9, MACD
2014-06-26 09:16:00,364.8,0,0,0,0,BUY
2014-06-26 09:17:00,365.7,0,0,0,0,BUY
2014-06-26 09:18:00,365.6,0,0,0,0,BUY
2014-06-26 09:19:00,366.5,0,0,0,0,BUY
2014-06-26 09:20:00,367.45,0,0,0,0,BUY
2014-06-26 09:21:00,368.25,0,0,0,0,BUY
2014-06-26 09:22:00,367.8,0,0,0,0,BUY
2014-06-26 09:23:00,368.05,0,0,0,0,BUY
2014-06-26 09:24:00,368.35,0,0,0,0,BUY
2014-06-26 09:25:00,368.4,0,0,0,0,BUY
2014-06-26 09:26:00,368.65,0,0,0,0,BUY
2014-06-26 09:27:00,368.5,0,367.3375,0,367.3375,BUY
2014-06-26 09:28:00,369.25,0,367.631730769,0,367.631730769,BUY
2014-06-26 09:29:00,368.55,0,367.773002959,0,367.773002959,BUY
2014-06-26 09:30:00,369.0,0,367.961771734,0,367.961771734,BUY
2014-06-26 09:31:00,369.1,0,368.136883775,0,368.136883775,BUY
2014-06-26 09:32:00,368.85,0,368.246593964,0,368.246593964,BUY
2014-06-26 09:33:00,368.75,0,368.324041046,0,368.324041046,BUY
2014-06-26 09:34:00,368.4,0,368.335727039,0,368.335727039,BUY
2014-06-26 09:35:00,368.1,0,368.299461341,0,368.299461341,BUY
2014-06-26 09:36:00,367.9,0,368.23800575,0,368.23800575,BUY
2014-06-26 09:37:00,368.45,0,368.27062025,0,368.27062025,BUY
2014-06-26 09:38:00,368.85,0,368.359755596,0,368.359755596,BUY
2014-06-26 09:39:00,369.05,0,368.465947043,0,368.465947043,BUY
2014-06-26 09:40:00,369.8,0,368.671185959,0,368.671185959,BUY
2014-06-26 09:41:00,368.25,368.090384615,368.606388119,0,0.516003504,BUY
2014-06-26 09:42:00,367.5,368.046652422,368.436174563,0,0.389522140904,BUY
2014-06-26 09:43:00,367.8,368.028381872,368.338301553,0,0.309919681032,BUY
2014-06-26 09:44:00,367.95,368.022575807,368.278562852,0,0.255987045166,BUY
2014-06-26 09:45:00,366.65,367.920903525,368.028014721,0,0.107111196039,BUY
2014-06-26 09:46:00,366.7,367.830466227,367.823704764,0,-0.00676146291948,Sell
2014-06-26 09:47:00,366.9,367.761542803,367.681596339,0,-0.0799464639501,Sell
2014-06-26 09:48:00,367.25,367.723650743,367.615196902,0,-0.108453841237,Sell
2014-06-26 09:49:00,367.25,367.688565503,367.559012763,0.139314339917,-0.129552739781,Sell
2014-06-26 09:50:00,367.4,367.667190281,367.534549261,0.0849232680571,-0.132641019383,Sell
2014-06-26 09:51:00,367.35,367.643694704,367.506157067,0.0404310870288,-0.137537637084,Sell
2014-06-26 09:52:00,367.05,367.599717319,367.435979057,-0.000402782762212,-0.163738261926,Sell
2014-06-26 09:53:00,366.9,367.547886406,367.35352074,-0.0391953593835,-0.194365665869,Sell
2014-06-26 09:54:00,366.45,367.466561487,367.21451755,-0.0817650750513,-0.252043937723,Sell
2014-06-26 09:55:00,366.85,367.420890266,367.158437927,-0.117902527933,-0.262452339457,Sell
2014-06-26 09:56:00,366.7,367.367490987,367.087909015,-0.150238416801,-0.279581972276,Sell
2014-06-26 09:57:00,366.75,367.321750914,367.035923013,-0.177356313729,-0.285827901438,Sell
2014-06-26 09:58:00,366.85,367.286806402,367.007319472,-0.197782436919,-0.279486929683,Sell
2014-06-26 09:59:00,366.85,367.254450372,366.983116476,-0.212492728662,-0.271333895633,Sell
2014-06-26 10:00:00,367.0,367.235602196,366.985713942,-0.219971833882,-0.249888254761,Sell
2014-06-26 10:01:00,366.9,367.210742774,366.972527181,-0.223620585716,-0.238215593054,Sell
2014-06-26 10:02:00,367.05,367.198835902,366.984446077,-0.221774433713,-0.2143898257,BUY
2014-06-26 10:03:00,367.2,367.198922132,367.017608219,-0.213682329589,-0.181313913092,BUY
2014-06-26 10:04:00,366.55,367.150853826,366.945668493,-0.211982930267,-0.205185332979,BUY
2014-06-26 10:05:00,366.45,367.098938727,366.869411801,-0.215491729406,-0.229526925962,Sell
2014-06-26 10:06:00,366.4,367.047165488,366.797194601,-0.222387560949,-0.249970887121,Sell
2014-06-26 10:07:00,366.35,366.9955236,366.728395432,-0.231335682462,-0.267128168517,Sell
2014-06-26 10:08:00,366.7,366.973632963,366.724026904,-0.234989757856,-0.249606059428,Sell
2014-06-26 10:09:00,366.25,366.920030522,366.651099688,-0.241777973021,-0.268930833681,Sell
2014-06-26 10:10:00,365.8,366.837065298,366.520161274,-0.256803183093,-0.316904023382,Sell
2014-06-26 10:11:00,366.3,366.797282683,366.486290309,-0.267641021279,-0.310992374021,Sell
2014-06-26 10:12:00,366.15,366.749335818,366.434553338,-0.277069312869,-0.314782479233,Sell
2014-06-26 10:13:00,366.3,366.716051683,366.413852825,-0.282095221935,-0.302198858197,Sell
2014-06-26 10:14:00,366.6,366.707455262,366.442490852,-0.278669059605,-0.264964410284,BUY
2014-06-26 10:15:00,367.3,366.751347465,366.574415336,-0.258321673434,-0.176932128753,BUY
2014-06-26 10:16:00,366.95,366.766062467,366.632197592,-0.233430313822,-0.133864875374,BUY
2014-06-26 10:17:00,366.9,366.775983766,366.673397963,-0.207261411785,-0.102585803634,BUY
2014-06-26 10:18:00,367.1,366.799984969,366.739029045,-0.178000314119,-0.0609559234546,BUY
2014-06-26 10:19:00,367.1,366.822208304,366.794563038,-0.147929304508,-0.0276452660667,BUY
2014-06-26 10:20:00,367.2,366.850192874,366.856937955,-0.116994427392,0.00674508107284,BUY
2014-06-26 10:21:00,367.05,366.864993402,366.886639808,-0.0892662606626,0.0216464062554,BUY
2014-06-26 10:22:00,367.3,366.897216113,366.950233684,-0.0608094943444,0.0530175709283,BUY
2014-06-26 10:23:00,367.1,366.912237142,366.973274656,-0.0364400926851,0.061037513952,BUY
2014-06-26 10:24:00,367.0,366.918738094,366.977386247,-0.0174224435653,0.0586481529141,BUY
2014-06-26 10:25:00,366.85,366.913646384,366.957788363,-0.00510955896858,0.0441419794182,BUY
2014-06-26 10:26:00,367.2,366.934857763,366.995051692,0.00795113866372,0.0601939291929,BUY
2014-06-26 10:27:00,367.2,366.954497928,367.026582201,0.0207777654142,0.072084272416,BUY
2014-06-26 10:28:00,367.1,366.96527586,367.037877247,0.0311424897756,0.0726013872214,BUY
2014-06-26 10:29:00,367.2,366.982662833,367.062819209,0.0409452669984,0.0801563758897,BUY
2014-06-26 10:30:00,367.35,367.009872993,367.107000869,0.0521817887084,0.0971278755485,BUY
2014-06-26 10:31:00,367.65,367.057289809,367.190539197,0.0683953085858,0.133249388095,BUY
2014-06-26 10:32:00,367.5,367.090083156,367.238148551,0.0843293258541,0.148065394927,BUY
2014-06-26 10:33:00,367.2,367.098225145,367.232279543,0.094274340409,0.134054398628,BUY
2014-06-26 10:34:00,367.6,367.135393652,367.288851921,0.106111126083,0.15345826878,BUY
2014-06-26 10:35:00,367.8,367.184623752,367.367490087,0.121462167851,0.182866334924,BUY
2014-06-26 10:36:00,367.8,367.230207178,367.434030074,0.137934313431,0.203822895751,BUY
2014-06-26 10:37:00,367.8,367.272414054,367.490333139,0.153931267869,0.21791908562,BUY
2014-06-26 10:38:00,367.8,367.311494494,367.537974195,0.168440954423,0.226479700639,BUY
2014-06-26 10:39:00,367.75,367.343976384,367.570593549,0.18007619673,0.22661716596,BUY
2014-06-26 10:40:00,367.75,367.374052207,367.598194542,0.188889424365,0.224142334904,BUY
2014-06-26 10:41:00,368.1,367.427826118,367.675395382,0.200625392296,0.247569264021,BUY
2014-06-26 10:42:00,367.85,367.459098257,367.702257631,0.209132188551,0.243159373568,BUY
2014-06-26 10:43:00,367.95,367.495461349,367.740371841,0.216287849276,0.244910492176,BUY
2014-06-26 10:44:00,367.85,367.521723471,367.757237712,0.220133127513,0.235514240461,BUY
2014-06-26 10:45:00,367.8,367.542336548,367.763816525,0.220402497576,0.221479977831,BUY
2014-06-26 10:46:00,367.85,367.565126433,367.777075521,0.218711815773,0.211949088559,Sell
2014-06-26 10:47:00,367.85,367.586228179,367.788294672,0.215382751296,0.20206649339,Sell
2014-06-26 10:48:00,367.65,367.590952017,367.767018569,0.207519511313,0.176066551382,Sell
2014-06-26 10:49:00,367.45,367.580511127,367.718246481,0.193562679864,0.137735354066,Sell
