DATE,CLOSE,EMA SLOW, EMA FAST, EMA 9, MACD
2014-06-26 09:16:00,427.0,0,0,0,0,BUY
2014-06-26 09:17:00,426.4,0,0,0,0,BUY
2014-06-26 09:18:00,427.05,0,0,0,0,BUY
2014-06-26 09:19:00,426.55,0,0,0,0,BUY
2014-06-26 09:20:00,425.7,0,0,0,0,BUY
2014-06-26 09:21:00,425.8,0,0,0,0,BUY
2014-06-26 09:22:00,426.1,0,0,0,0,BUY
2014-06-26 09:23:00,426.05,0,0,0,0,BUY
2014-06-26 09:24:00,425.75,0,0,0,0,BUY
2014-06-26 09:25:00,425.15,0,0,0,0,BUY
2014-06-26 09:26:00,425.2,0,0,0,0,BUY
2014-06-26 09:27:00,425.75,0,426.041666667,0,426.041666667,BUY
2014-06-26 09:28:00,425.85,0,426.012179487,0,426.012179487,BUY
2014-06-26 09:29:00,425.65,0,425.956459566,0,425.956459566,BUY
2014-06-26 09:30:00,425.5,0,425.886235017,0,425.886235017,BUY
2014-06-26 09:31:00,425.15,0,425.772968092,0,425.772968092,BUY
2014-06-26 09:32:00,425.15,0,425.677126847,0,425.677126847,BUY
2014-06-26 09:33:00,424.85,0,425.549876563,0,425.549876563,BUY
2014-06-26 09:34:00,424.9,0,425.449895553,0,425.449895553,BUY
2014-06-26 09:35:00,424.6,0,425.319142391,0,425.319142391,BUY
2014-06-26 09:36:00,424.05,0,425.123889715,0,425.123889715,BUY
2014-06-26 09:37:00,423.75,0,424.912522067,0,424.912522067,BUY
2014-06-26 09:38:00,424.2,0,424.802903287,0,424.802903287,BUY
2014-06-26 09:39:00,424.2,0,424.710148936,0,424.710148936,BUY
2014-06-26 09:40:00,424.4,0,424.662433715,0,424.662433715,BUY
2014-06-26 09:41:00,423.55,425.319230769,424.491290066,0,-0.827940702976,Sell
2014-06-26 09:42:00,423.1,425.154843305,424.277245441,0,-0.877597864167,Sell
2014-06-26 09:43:00,423.4,425.024854912,424.142284604,0,-0.882570308242,Sell
2014-06-26 09:44:00,423.5,424.911902696,424.043471588,0,-0.868431108493,Sell
2014-06-26 09:45:00,423.95,424.840650645,424.029091343,0,-0.811559301185,Sell
2014-06-26 09:46:00,423.1,424.71171356,423.886154214,0,-0.825559346158,Sell
2014-06-26 09:47:00,423.4,424.614549592,423.811361258,0,-0.803188334713,Sell
2014-06-26 09:48:00,423.6,424.539397771,423.778844141,0,-0.760553629625,Sell
2014-06-26 09:49:00,423.75,424.480923862,423.774406581,-0.818213097379,-0.706517280856,BUY
2014-06-26 09:50:00,423.4,424.400855428,423.716805569,-0.791380449724,-0.684049859104,BUY
2014-06-26 09:51:00,423.75,424.352643914,423.721912404,-0.759250661846,-0.630731510334,BUY
2014-06-26 09:52:00,423.9,424.319114736,423.749310496,-0.72136137744,-0.569804239813,BUY
2014-06-26 09:53:00,424.1,424.302884014,423.803262727,-0.6770133594,-0.499621287241,BUY
2014-06-26 09:54:00,424.8,424.339707421,423.956606923,-0.618230787073,-0.383100497765,BUY
2014-06-26 09:55:00,424.7,424.36639576,424.070975089,-0.553668763914,-0.295420671278,BUY
2014-06-26 09:56:00,424.5,424.37629237,424.136978921,-0.49079770096,-0.239313449144,BUY
2014-06-26 09:57:00,423.7,424.326196639,424.069751395,-0.443927209638,-0.256445244348,BUY
2014-06-26 09:58:00,423.85,424.290922814,424.035943488,-0.406137632935,-0.254979326125,BUY
2014-06-26 09:59:00,423.7,424.247150754,423.984259874,-0.377488282219,-0.262890879356,BUY
2014-06-26 10:00:00,423.55,424.195509957,423.917450663,-0.357602484621,-0.278059294231,BUY
2014-06-26 10:01:00,423.5,424.143990701,423.853227484,-0.34423463111,-0.290763217062,BUY
2014-06-26 10:02:00,423.95,424.12962102,423.868115563,-0.327688796112,-0.261505456122,BUY
2014-06-26 10:03:00,423.9,424.112612055,423.873020861,-0.310069275645,-0.239591193778,BUY
2014-06-26 10:04:00,423.4,424.059825977,423.800248421,-0.299970931682,-0.25957755583,BUY
2014-06-26 10:05:00,423.5,424.018357386,423.754056356,-0.292836951293,-0.264301029736,BUY
2014-06-26 10:06:00,423.7,423.994775358,423.745739994,-0.284076633765,-0.249035363654,BUY
2014-06-26 10:07:00,423.5,423.958125331,423.707933841,-0.277299605027,-0.250191490072,BUY
2014-06-26 10:08:00,423.7,423.939004936,423.70671325,-0.268298021241,-0.232291686097,BUY
2014-06-26 10:09:00,423.45,423.902782348,423.667218904,-0.261751105872,-0.235563444395,BUY
2014-06-26 10:10:00,423.6,423.880354026,423.656877534,-0.254096183123,-0.223476492128,BUY
2014-06-26 10:11:00,423.4,423.844772246,423.617357913,-0.248759813105,-0.227414333034,BUY
2014-06-26 10:12:00,423.7,423.834048376,423.630072081,-0.239803109636,-0.20397629576,BUY
2014-06-26 10:13:00,423.5,423.809304052,423.610060991,-0.23169109989,-0.199243060908,BUY
2014-06-26 10:14:00,423.8,423.808614863,423.639282377,-0.219219377092,-0.169332485899,BUY
2014-06-26 10:15:00,424.35,423.848717466,423.74862355,-0.195394284853,-0.100093915896,BUY
2014-06-26 10:16:00,424.4,423.889553209,423.848835312,-0.164459007407,-0.0407178976218,BUY
2014-06-26 10:17:00,424.2,423.912549268,423.902860648,-0.133504929828,-0.00968861951355,BUY
2014-06-26 10:18:00,424.2,423.933841915,423.948574395,-0.103857447846,0.0147324800814,BUY
2014-06-26 10:19:00,423.85,423.927631402,423.933409103,-0.0819304181192,0.00577770078871,BUY
2014-06-26 10:20:00,424.25,423.951510558,423.982115395,-0.0594233670491,0.0306048372314,BUY
