DATE,CLOSE,EMA SLOW, EMA FAST, EMA 9, MACD
2014-06-26 09:16:00,398.9,0,0,0,0,BUY
2014-06-26 09:17:00,398.8,0,0,0,0,BUY
2014-06-26 09:18:00,398.5,0,0,0,0,BUY
2014-06-26 09:19:00,398.15,0,0,0,0,BUY
2014-06-26 09:20:00,396.85,0,0,0,0,BUY
2014-06-26 09:21:00,397.0,0,0,0,0,BUY
2014-06-26 09:22:00,397.6,0,0,0,0,BUY
2014-06-26 09:23:00,398.55,0,0,0,0,BUY
2014-06-26 09:24:00,398.85,0,0,0,0,BUY
2014-06-26 09:25:00,397.65,0,0,0,0,BUY
2014-06-26 09:26:00,398.65,0,0,0,0,BUY
2014-06-26 09:27:00,400.9,0,398.366666667,0,398.366666667,BUY
2014-06-26 09:28:00,402.5,0,399.002564103,0,399.002564103,BUY
2014-06-26 09:29:00,402.8,0,399.58678501,0,399.58678501,BUY
2014-06-26 09:30:00,402.0,0,399.958048854,0,399.958048854,BUY
2014-06-26 09:31:00,401.4,0,400.179887492,0,400.179887492,BUY
2014-06-26 09:32:00,400.95,0,400.29836634,0,400.29836634,BUY
2014-06-26 09:33:00,400.95,0,400.398617672,0,400.398617672,BUY
2014-06-26 09:34:00,401.05,0,400.498830338,0,400.498830338,BUY
2014-06-26 09:35:00,401.6,0,400.668241055,0,400.668241055,BUY
2014-06-26 09:36:00,401.95,0,400.865434739,0,400.865434739,BUY
2014-06-26 09:37:00,401.6,0,400.978444779,0,400.978444779,BUY
2014-06-26 09:38:00,401.15,0,401.00483789,0,401.00483789,BUY
2014-06-26 09:39:00,401.7,0,401.111785907,0,401.111785907,BUY
2014-06-26 09:40:00,401.95,0,401.240741921,0,401.240741921,BUY
2014-06-26 09:41:00,400.3,400.088461538,401.096012395,0,1.00755085643,BUY
2014-06-26 09:42:00,399.45,400.041168091,400.842779719,0,0.801611627589,BUY
2014-06-26 09:43:00,399.95,400.034414899,400.705428993,0,0.671014093565,BUY
2014-06-26 09:44:00,400.05,400.035569351,400.604593763,0,0.569024411995,BUY
2014-06-26 09:45:00,399.1,399.966267918,400.3731178,0,0.406849881854,BUY
2014-06-26 09:46:00,398.85,399.883581405,400.138791984,0,0.255210578958,BUY
2014-06-26 09:47:00,399.0,399.818130931,399.963593217,0,0.145462286616,BUY
2014-06-26 09:48:00,398.5,399.720491603,399.73842503,0,0.0179334275264,BUY
2014-06-26 09:49:00,398.2,399.607862595,399.501744256,0.418726536199,-0.106118338741,Sell
2014-06-26 09:50:00,398.45,399.522094995,399.339937448,0.298549719406,-0.182157547768,Sell
2014-06-26 09:51:00,398.9,399.476013885,399.272254763,0.198087951275,-0.203759121248,Sell
2014-06-26 09:52:00,398.8,399.425938782,399.199600184,0.113202641487,-0.226338597664,Sell
2014-06-26 09:53:00,399.0,399.394387761,399.168892464,0.0454630537007,-0.225495297446,Sell
2014-06-26 09:54:00,399.2,399.379988668,399.173678239,-0.00489164288214,-0.206310429214,Sell
2014-06-26 09:55:00,399.1,399.359248766,399.162343125,-0.0432944426096,-0.196905641519,Sell
2014-06-26 09:56:00,398.85,399.321526636,399.114290336,-0.0760828139117,-0.20723629912,Sell
2014-06-26 09:57:00,398.9,399.29030244,399.081322592,-0.102662220722,-0.208979847963,Sell
2014-06-26 09:58:00,398.4,399.224354111,398.976503732,-0.131699852461,-0.247850379416,Sell
2014-06-26 09:59:00,398.05,399.137364918,398.833964696,-0.166039926303,-0.303400221671,Sell
2014-06-26 10:00:00,398.5,399.090152702,398.782585512,-0.194345378957,-0.307567189574,Sell
2014-06-26 10:01:00,398.35,399.035326576,398.716033895,-0.219334839322,-0.319292680784,Sell
2014-06-26 10:02:00,398.45,398.991969052,398.675105603,-0.238840561096,-0.316863448191,Sell
2014-06-26 10:03:00,398.35,398.944415789,398.625089357,-0.254937735235,-0.319326431792,Sell
2014-06-26 10:04:00,398.35,398.900384989,398.582767917,-0.267473602617,-0.317617072143,Sell
2014-06-26 10:05:00,398.05,398.837393509,398.500803622,-0.281296859375,-0.33658988641,Sell
2014-06-26 10:06:00,397.65,398.749438434,398.369910757,-0.300943022833,-0.379527676661,Sell
2014-06-26 10:07:00,397.9,398.686517069,398.297616795,-0.318534473035,-0.388900273847,Sell
2014-06-26 10:08:00,397.9,398.628256545,398.23644498,-0.333189891392,-0.391811564818,Sell
2014-06-26 10:09:00,397.85,398.570607912,398.176991906,-0.345275114258,-0.393616005723,Sell
