DATE,CLOSE,EMA SLOW, EMA FAST, EMA 9, MACD
2014-06-26 09:16:00,1419.25,0,0,0,0,BUY
2014-06-26 09:17:00,1420.4,0,0,0,0,BUY
2014-06-26 09:18:00,1423.65,0,0,0,0,BUY
2014-06-26 09:19:00,1422.9,0,0,0,0,BUY
2014-06-26 09:20:00,1423.75,0,0,0,0,BUY
2014-06-26 09:21:00,1423.6,0,0,0,0,BUY
2014-06-26 09:22:00,1421.5,0,0,0,0,BUY
2014-06-26 09:23:00,1422.1,0,0,0,0,BUY
2014-06-26 09:24:00,1423.15,0,0,0,0,BUY
2014-06-26 09:25:00,1423.7,0,0,0,0,BUY
2014-06-26 09:26:00,1423.7,0,0,0,0,BUY
2014-06-26 09:27:00,1424.65,0,1422.69583333,0,1422.69583333,BUY
2014-06-26 09:28:00,1424.15,0,1422.91955128,0,1422.91955128,BUY
2014-06-26 09:29:00,1424.3,0,1423.13192801,0,1423.13192801,BUY
2014-06-26 09:30:00,1424.4,0,1423.32701601,0,1423.32701601,BUY
2014-06-26 09:31:00,1422.55,0,1423.20747508,0,1423.20747508,BUY
2014-06-26 09:32:00,1424.0,0,1423.32940199,0,1423.32940199,BUY
2014-06-26 09:33:00,1424.65,0,1423.53257092,0,1423.53257092,BUY
2014-06-26 09:34:00,1423.6,0,1423.54294462,0,1423.54294462,BUY
2014-06-26 09:35:00,1424.1,0,1423.62864545,0,1423.62864545,BUY
2014-06-26 09:36:00,1424.2,0,1423.71654615,0,1423.71654615,BUY
2014-06-26 09:37:00,1423.7,0,1423.71400059,0,1423.71400059,BUY
2014-06-26 09:38:00,1423.1,0,1423.61953896,0,1423.61953896,BUY
2014-06-26 09:39:00,1422.8,0,1423.49345604,0,1423.49345604,BUY
2014-06-26 09:40:00,1422.7,0,1423.37138588,0,1423.37138588,BUY
2014-06-26 09:41:00,1420.05,1423.10192308,1422.86040344,0,-0.241519638293,Sell
2014-06-26 09:42:00,1419.4,1422.82770655,1422.32803368,0,-0.499672873866,Sell
2014-06-26 09:43:00,1422.6,1422.8108394,1422.36987465,0,-0.440964749328,Sell
2014-06-26 09:44:00,1420.75,1422.65818463,1422.12066317,0,-0.537521463728,Sell
2014-06-26 09:45:00,1420.45,1422.4946154,1421.86363806,0,-0.630977334398,Sell
2014-06-26 09:46:00,1421.95,1422.45427352,1421.87692452,0,-0.577349001341,Sell
2014-06-26 09:47:00,1421.25,1422.36506807,1421.78047459,0,-0.584593481123,Sell
2014-06-26 09:48:00,1423.3,1422.43432229,1422.01424773,0,-0.420074558092,Sell
2014-06-26 09:49:00,1421.5,1422.36511323,1421.93513269,-0.484739292809,-0.429980535111,BUY
2014-06-26 09:50:00,1423.9,1422.47880855,1422.23741997,-0.436069148984,-0.241388573686,BUY
2014-06-26 09:51:00,1424.85,1422.65445236,1422.63935536,-0.351874718434,-0.0150969962317,BUY
2014-06-26 09:52:00,1424.95,1422.82449292,1422.99483915,-0.247430529102,0.170346228227,BUY
2014-06-26 09:53:00,1426.95,1423.13008604,1423.60332544,-0.103296544124,0.473239395786,BUY
2014-06-26 09:54:00,1427.0,1423.41674633,1424.12589075,0.0591916486985,0.709144419989,BUY
2014-06-26 09:55:00,1426.75,1423.66365401,1424.52959987,0.220542490123,0.865945855819,BUY
2014-06-26 09:56:00,1425.9,1423.82930927,1424.74043066,0.35865826949,0.911121386958,BUY
2014-06-26 09:57:00,1426.25,1424.0086197,1424.9726721,0.479737095556,0.964052399822,BUY
2014-06-26 09:58:00,1427.65,1424.27835157,1425.3845687,0.605033101673,1.10621712614,BUY
2014-06-26 09:59:00,1425.6,1424.37625145,1425.41771197,0.692318585333,1.04146051997,BUY
2014-06-26 10:00:00,1425.7,1424.4743069,1425.4611409,0.751221668114,0.986833999237,BUY
2014-06-26 10:01:00,1425.95,1424.5836175,1425.53634999,0.791523832801,0.952732491549,BUY
2014-06-26 10:02:00,1430.85,1425.04779398,1426.35383461,0.89442719157,1.30604062665,BUY
2014-06-26 10:03:00,1429.6,1425.38499443,1426.85324467,1.00919180146,1.46825024102,BUY
