DATE,CLOSE,EMA SLOW, EMA FAST, EMA 9, MACD
2014-06-26 09:16:00,2661.65,0,0,0,0,BUY
2014-06-26 09:17:00,2652.0,0,0,0,0,BUY
2014-06-26 09:18:00,2660.0,0,0,0,0,BUY
2014-06-26 09:19:00,2661.6,0,0,0,0,BUY
2014-06-26 09:20:00,2661.8,0,0,0,0,BUY
2014-06-26 09:21:00,2662.9,0,0,0,0,BUY
2014-06-26 09:22:00,2653.75,0,0,0,0,BUY
2014-06-26 09:23:00,2655.95,0,0,0,0,BUY
2014-06-26 09:24:00,2656.8,0,0,0,0,BUY
2014-06-26 09:25:00,2655.7,0,0,0,0,BUY
2014-06-26 09:26:00,2655.95,0,0,0,0,BUY
2014-06-26 09:27:00,2652.0,0,2657.50833333,0,2657.50833333,BUY
2014-06-26 09:28:00,2652.65,0,2656.76089744,0,2656.76089744,BUY
2014-06-26 09:29:00,2652.35,0,2656.08229783,0,2656.08229783,BUY
2014-06-26 09:30:00,2652.45,0,2655.52348278,0,2655.52348278,BUY
2014-06-26 09:31:00,2652.35,0,2655.03525466,0,2655.03525466,BUY
2014-06-26 09:32:00,2651.25,0,2654.45290779,0,2654.45290779,BUY
2014-06-26 09:33:00,2653.0,0,2654.22938351,0,2654.22938351,BUY
2014-06-26 09:34:00,2652.5,0,2653.96332451,0,2653.96332451,BUY
2014-06-26 09:35:00,2652.0,0,2653.66127459,0,2653.66127459,BUY
2014-06-26 09:36:00,2652.4,0,2653.46723234,0,2653.46723234,BUY
2014-06-26 09:37:00,2652.25,0,2653.27996583,0,2653.27996583,BUY
2014-06-26 09:38:00,2645.0,0,2652.00612493,0,2652.00612493,BUY
2014-06-26 09:39:00,2646.05,0,2651.08979802,0,2651.08979802,BUY
2014-06-26 09:40:00,2647.0,0,2650.46059832,0,2650.46059832,BUY
2014-06-26 09:41:00,2642.7,2653.61730769,2649.26666012,0,-4.35064757211,Sell
2014-06-26 09:42:00,2631.35,2651.96787749,2646.51025087,0,-5.45762662194,Sell
2014-06-26 09:43:00,2634.6,2650.68136805,2644.67790458,0,-6.00346346586,Sell
2014-06-26 09:44:00,2643.15,2650.12348893,2644.44284234,0,-5.68064659467,Sell
2014-06-26 09:45:00,2638.0,2649.22545272,2643.45163583,0,-5.7738168911,Sell
2014-06-26 09:46:00,2637.0,2648.31986363,2642.45907647,0,-5.86078715877,Sell
2014-06-26 09:47:00,2638.0,2647.55542928,2641.7730647,0,-5.78236458036,Sell
2014-06-26 09:48:00,2641.2,2647.08465674,2641.6849009,0,-5.39975584136,Sell
2014-06-26 09:49:00,2641.3,2646.65616365,2641.62568538,-5.48217633321,-5.03047827273,BUY
2014-06-26 09:50:00,2642.0,2646.31126264,2641.68327224,-5.31133914592,-4.62799039677,BUY
2014-06-26 09:51:00,2643.0,2646.06598393,2641.88584575,-5.08509895308,-4.18013818173,BUY
2014-06-26 09:52:00,2643.25,2645.85739252,2642.09571563,-4.82041454134,-3.76167689438,BUY
2014-06-26 09:53:00,2643.65,2645.69388197,2642.3348363,-4.52814076602,-3.35904566475,BUY
2014-06-26 09:54:00,2643.15,2645.50544627,2642.4602461,-4.23155264559,-3.04520016387,BUY
2014-06-26 09:55:00,2642.55,2645.28652432,2642.47405439,-3.94773610173,-2.81246992627,BUY
2014-06-26 09:56:00,2647.65,2645.46159659,2643.27035372,-3.59643745636,-2.19124287487,BUY
2014-06-26 09:57:00,2648.5,2645.68666351,2644.07491468,-3.19949973058,-1.61174882747,BUY
2014-06-26 09:58:00,2646.75,2645.76542918,2644.48646627,-2.81539236571,-1.27896290626,BUY
2014-06-26 09:59:00,2642.3,2645.50873072,2644.15008685,-2.52404266758,-1.35864387504,BUY
2014-06-26 10:00:00,2642.2,2645.26363956,2643.85007348,-2.30194734834,-1.41356607138,BUY
2014-06-26 10:01:00,2642.7,2645.07374033,2643.6731391,-2.12167812412,-1.40060122724,BUY
2014-06-26 10:02:00,2643.3,2644.94235216,2643.61573309,-1.96266631338,-1.32661907042,BUY
2014-06-26 10:03:00,2642.3,2644.74662237,2643.41331261,-1.83679500188,-1.33330975586,BUY
2014-06-26 10:04:00,2641.5,2644.50613182,2643.11895683,-1.74687100081,-1.38717499652,BUY
2014-06-26 10:05:00,2641.8,2644.30567761,2642.91604039,-1.67542424508,-1.38963722216,BUY
2014-06-26 10:06:00,2641.9,2644.12747927,2642.75972648,-1.6138899534,-1.36775278671,BUY
2014-06-26 10:07:00,2641.95,2643.96618451,2642.63515318,-1.55731822896,-1.33103133118,BUY
2014-06-26 10:08:00,2642.5,2643.85757825,2642.61436038,-1.49449815675,-1.24321786794,BUY
2014-06-26 10:09:00,2642.75,2643.77553542,2642.63522802,-1.42366000562,-1.14030740109,BUY
2014-06-26 10:10:00,2647.0,2644.01438465,2643.3067314,-1.28045865395,-0.707653247284,BUY
2014-06-26 10:11:00,2647.0,2644.23554134,2643.87492657,-1.0964898773,-0.360614770684,BUY
2014-06-26 10:12:00,2649.1,2644.59587161,2644.67878402,-0.860609419995,0.0829124092243,BUY
2014-06-26 10:13:00,2652.0,2645.14432556,2645.80512494,-0.556327661081,0.660799374574,BUY
2014-06-26 10:14:00,2653.5,2645.76326441,2646.98895187,-0.199924636872,1.22568745997,BUY
2014-06-26 10:15:00,2654.9,2646.44005964,2648.2060362,0.193255602236,1.76597655866,BUY
2014-06-26 10:16:00,2655.05,2647.077833,2649.25895371,0.590828623098,2.18112070655,BUY
2014-06-26 10:17:00,2657.0,2647.81280833,2650.44988391,1.00007801292,2.6370755722,BUY
2014-06-26 10:18:00,2658.25,2648.58593364,2651.64990177,1.41285603518,3.06396812423,BUY
2014-06-26 10:19:00,2656.15,2649.14623485,2652.34222457,1.76948277169,3.19598971771,BUY
2014-06-26 10:20:00,2654.95,2649.57614338,2652.74342079,2.04904169898,3.16727740813,BUY
2014-06-26 10:21:00,2656.3,2650.07420684,2653.29058682,2.28250935661,3.21637998714,BUY
2014-06-26 10:22:00,2658.0,2650.66130263,2654.01511193,2.49676934555,3.35380930133,BUY
2014-06-26 10:23:00,2657.85,2651.19379873,2654.60509471,2.67967467243,3.41129597995,BUY
2014-06-26 10:24:00,2657.5,2651.66092475,2655.05046475,2.82164773889,3.38954000474,BUY
2014-06-26 10:25:00,2654.65,2651.88233773,2654.98885479,2.87862160334,3.10651706114,BUY
2014-06-26 10:26:00,2654.8,2652.09846086,2654.95980021,2.87516515204,2.8613393468,Sell
2014-06-26 10:27:00,2654.55,2652.28005635,2654.89675402,2.82347165547,2.61669766922,Sell
2014-06-26 10:28:00,2653.8,2652.39264477,2654.72802263,2.72585289696,2.33537786292,Sell
2014-06-26 10:29:00,2651.75,2652.34504145,2654.26986531,2.56564708777,1.924823851,Sell
2014-06-26 10:30:00,2650.8,2652.23059394,2653.73603987,2.35360685712,1.50544593453,Sell
2014-06-26 10:31:00,2649.0,2651.99129068,2653.00741835,2.08611101974,1.01612767023,Sell
2014-06-26 10:32:00,2649.0,2651.7697136,2652.39089245,1.79312458724,0.62117885723,Sell
2014-06-26 10:33:00,2652.0,2651.78677185,2652.33075515,1.5432963307,0.543983304513,Sell
2014-06-26 10:34:00,2652.95,2651.8729369,2652.42602359,1.3452544034,0.553086694214,Sell
2014-06-26 10:35:00,2653.8,2652.01568231,2652.63740458,1.20054797574,0.621722265127,Sell
2014-06-26 10:36:00,2653.2,2652.10340955,2652.72395772,1.08454801478,0.620548170941,Sell
2014-06-26 10:37:00,2652.0,2652.09574958,2652.61257961,0.971004417192,0.516830026825,Sell
2014-06-26 10:38:00,2648.7,2651.84421258,2652.01064428,0.81008987545,0.166431708479,Sell
2014-06-26 10:39:00,2649.85,2651.69649313,2651.67823747,0.644420769475,-0.0182556544241,Sell
2014-06-26 10:40:00,2648.7,2651.47453067,2651.22004709,0.464639899407,-0.254483580864,Sell
2014-06-26 10:41:00,2649.7,2651.34308396,2650.98619369,0.300333866915,-0.356890263051,Sell
2014-06-26 10:42:00,2648.95,2651.16581848,2650.67293312,0.141690022945,-0.492885352935,Sell
2014-06-26 10:43:00,2648.95,2651.00168378,2650.40786649,-0.00541143873031,-0.593817285432,Sell
2014-06-26 10:44:00,2648.85,2650.84229979,2650.16819472,-0.139150164934,-0.674105069748,Sell
2014-06-26 10:45:00,2648.0,2650.63175907,2649.8346263,-0.270746684591,-0.797132763218,Sell
2014-06-26 10:46:00,2648.0,2650.43681395,2649.5523761,-0.393484917212,-0.884437847695,Sell
2014-06-26 10:47:00,2646.85,2650.17112403,2649.13662593,-0.52168755279,-1.0344980951,Sell
2014-06-26 10:48:00,2647.0,2649.93622595,2648.80791425,-0.643012382425,-1.12831170096,Sell
2014-06-26 10:49:00,2650.9,2650.00761662,2649.1297736,-0.68997851098,-0.877843025201,Sell
2014-06-26 10:50:00,2650.85,2650.07001539,2649.39442381,-0.687101124402,-0.675591578092,BUY
2014-06-26 10:51:00,2649.3,2650.01297721,2649.37989707,-0.676296927809,-0.633080141433,BUY
2014-06-26 10:52:00,2647.7,2649.84164557,2649.12145137,-0.685076382131,-0.720194199419,Sell
2014-06-26 10:53:00,2648.6,2649.74967182,2649.04122808,-0.689749853935,-0.708443741152,Sell
2014-06-26 10:54:00,2646.15,2649.48302947,2648.59642376,-0.729121023978,-0.88660570415,Sell
2014-06-26 10:55:00,2647.6,2649.3435458,2648.4431278,-0.763380419846,-0.900418003317,Sell
2014-06-26 10:56:00,2650.0,2649.39217204,2648.6826466,-0.752609423866,-0.709525439948,BUY
2014-06-26 10:57:00,2648.65,2649.33719633,2648.67762404,-0.734001996492,-0.659572286996,BUY
2014-06-26 10:58:00,2649.1,2649.31962623,2648.74260496,-0.702605851624,-0.577021272154,BUY
2014-06-26 10:59:00,2647.9,2649.21446873,2648.61297343,-0.682383742471,-0.601495305856,BUY
2014-06-26 11:00:00,2647.7,2649.10228587,2648.47251598,-0.671860971413,-0.62976988718,BUY
2014-06-26 11:01:00,2646.95,2648.94285728,2648.23828275,-0.678403683521,-0.704574531954,Sell
2014-06-26 11:02:00,2646.95,2648.79523822,2648.0400854,-0.693753510863,-0.75515282023,Sell
2014-06-26 11:03:00,2647.8,2648.72151687,2648.00314919,-0.698676345953,-0.718367686312,Sell
2014-06-26 11:04:00,2648.85,2648.73103414,2648.13343393,-0.678461119681,-0.597600214596,BUY
2014-06-26 11:05:00,2648.1,2648.68429087,2648.12829025,-0.653969020955,-0.556000626048,BUY
2014-06-26 11:06:00,2648.95,2648.70397303,2648.25470713,-0.613028396472,-0.449265898541,BUY
2014-06-26 11:07:00,2648.05,2648.65553058,2648.22321373,-0.576886088533,-0.432316856778,BUY
2014-06-26 11:08:00,2647.55,2648.57363943,2648.11964238,-0.552308279839,-0.453997045064,BUY
2014-06-26 11:09:00,2646.25,2648.40151799,2647.83200509,-0.555749203026,-0.569512895772,Sell
2014-06-26 11:10:00,2646.75,2648.27918332,2647.66554277,-0.567327472835,-0.613640552072,Sell
2014-06-26 11:11:00,2644.6,2648.00665123,2647.19392081,-0.616408062058,-0.812730418951,Sell
2014-06-26 11:12:00,2644.85,2647.77282521,2646.83331761,-0.681027970312,-0.939507603326,Sell
2014-06-26 11:13:00,2643.15,2647.43039371,2646.26665336,-0.777570446937,-1.16374035344,Sell
2014-06-26 11:14:00,2644.75,2647.23184603,2646.03332207,-0.86176114896,-1.19852395705,Sell
2014-06-26 11:15:00,2645.1,2647.07393151,2645.88973406,-0.926248408678,-1.18419744755,Sell
2014-06-26 11:16:00,2642.0,2646.69808473,2645.29131344,-1.02235298574,-1.40677129398,Sell
2014-06-26 11:17:00,2642.3,2646.37230068,2644.83111137,-1.12612025,-1.54118930706,Sell
2014-06-26 11:18:00,2644.4,2646.22620433,2644.76478654,-1.19317975735,-1.46141778675,Sell
2014-06-26 11:19:00,2645.2,2646.15018919,2644.83174246,-1.21823315284,-1.3184467348,Sell
2014-06-26 11:20:00,2644.85,2646.05387888,2644.83455131,-1.21845203663,-1.21932757177,Sell
2014-06-26 11:21:00,2646.85,2646.11285082,2645.14462034,-1.16840772478,-0.968230477404,BUY
2014-06-26 11:22:00,2651.85,2646.53782483,2646.17621721,-1.00704770388,-0.361607620255,BUY
2014-06-26 11:23:00,2652.0,2646.9424304,2647.07218379,-0.779687484191,0.129753394551,BUY
2014-06-26 11:24:00,2652.25,2647.3355837,2647.8687709,-0.517112547478,0.533187199375,BUY
2014-06-26 11:25:00,2650.85,2647.59591084,2648.32742153,-0.26738789866,0.73151069661,BUY
2014-06-26 11:26:00,2652.0,2647.92213966,2648.89243361,-0.0198515306299,0.970293941491,BUY
2014-06-26 11:27:00,2651.15,2648.16124043,2649.23975151,0.199820992043,1.07851108273,BUY
2014-06-26 11:28:00,2651.8,2648.43077818,2649.63363589,0.400428337537,1.20285771952,BUY
2014-06-26 11:29:00,2650.1,2648.55442424,2649.70538422,0.55053466649,1.1509599823,BUY
2014-06-26 11:30:00,2651.15,2648.74668911,2649.9276328,0.676616471724,1.18094369266,BUY
2014-06-26 11:31:00,2654.85,2649.19878621,2650.68492006,0.83851994758,1.486133851,BUY
