DATE,CLOSE,DELTA,GAIN,LOSS, AVG GAIN, AVG LOSS, RS, RSI, Signal
2014-04-15,1361.0,0,0,0,0,0,0.0,30.7852965748,
2014-04-16,1335.2,-25.8,0,25.8,0,0,0.0,30.7852965748,
2014-04-17,1357.8,22.6,22.6,0,0,0,0.0,30.7852965748,
2014-04-21,1351.2,-6.6,0,6.6,0,0,0.0,30.7852965748,
2014-04-22,1334.3,-16.9,0,16.9,0,0,0.0,30.7852965748,
2014-04-23,1355.55,21.25,21.25,0,0,0,0.0,30.7852965748,
2014-04-25,1307.0,-48.55,0,48.55,0,0,0.0,30.7852965748,
2014-04-28,1287.0,-20.0,0,20.0,0,0,0.0,30.7852965748,
2014-04-29,1299.3,12.3,12.3,0,0,0,0.0,30.7852965748,
2014-04-30,1306.9,7.6,7.6,0,0,0,0.0,30.7852965748,
2014-05-02,1284.95,-21.95,0,21.95,0,0,0.0,30.7852965748,
2014-05-05,1280.05,-4.9,0,4.9,0,0,0.0,30.7852965748,
2014-05-06,1290.0,9.95,9.95,0,0,0,0.0,30.7852965748,
2014-05-07,1272.0,-18.0,0,18.0,0,0,0.0,30.7852965748,
2014-05-08,1269.0,-3.0,0,3.0,5.26428571429,11.8357142857,0.44477972239,30.7852965748,
2014-05-09,1340.0,71.0,71.0,0,9.95969387755,10.9903061224,0.906225337728,47.5403049048,
2014-05-12,1362.0,22.0,22.0,0,10.8197157434,10.2052842566,1.06020718987,51.4611925966,
2014-05-13,1388.55,26.55,26.55,0,11.9433074761,9.47633538109,1.26032975784,55.7586676664,
2014-05-14,1390.0,1.45,1.45,0,11.1937855135,8.79945428244,1.27209996827,55.9878520327,
2014-05-15,1378.0,-12.0,0,12.0,10.3942294054,9.02806469084,1.15132420528,53.5170014102,
2014-05-16,1447.0,69.0,69.0,0,14.5803558764,8.38320292721,1.7392345149,63.4934506498,
2014-05-19,1435.0,-12.0,0,12.0,13.5389018852,8.64154557526,1.56672226829,61.0398050326,
2014-05-20,1425.0,-10.0,0,10.0,12.5718374649,8.73857803417,1.43865940382,58.9938636599,
2014-05-21,1389.0,-36.0,0,36.0,11.6738490745,10.6858224603,1.09246144767,52.2093942943,
2014-05-22,1387.95,-1.05,0,1.05,10.8400027121,9.99754942743,1.08426597845,52.0214785283,
2014-05-23,1377.05,-10.9,0,10.9,10.0657168041,10.0620101826,1.00036837783,50.0092077497,
2014-05-26,1346.7,-30.35,0,30.35,9.34673703233,11.5111523124,0.811972318553,44.811518931,
2014-05-27,1332.75,-13.95,0,13.95,8.6791129586,11.6853557187,0.742734168094,42.6189020501,
2014-05-28,1388.0,55.25,55.25,0,12.0056048901,10.8506874531,1.10643725958,52.5264759037,
2014-05-29,1359.5,-28.5,0,28.5,11.1480616837,12.111352635,0.920463801168,47.9292450401,
2014-05-30,1341.0,-18.5,0,18.5,10.3517715634,12.5676845896,0.823681680551,45.1658690952,
2014-06-02,1382.45,41.45,41.45,0,12.5730735946,11.6699928332,1.07738485998,51.862554731,
2014-06-03,1419.0,36.55,36.55,0,14.285711195,10.8364219166,1.31830518459,56.865040606,
2014-06-04,1420.35,1.35,1.35,0,13.3617318239,10.0623917797,1.32788825127,57.0426114976,
2014-06-05,1434.35,14.0,14.0,0,13.4073224079,9.34364950969,1.43491281367,58.9307676897,
2014-06-06,1443.45,9.1,9.1,0,13.0996565216,8.67624597329,1.50983000735,60.1566641139,
2014-06-09,1503.0,59.55,59.55,0,16.4175381987,8.05651411805,2.03779673915,67.0814051805,
2014-06-10,1497.0,-6.0,0,6.0,15.2448568988,7.90962025248,1.92738164566,65.8397803552,
2014-06-11,1478.0,-19.0,0,19.0,14.1559385489,8.70179023444,1.62678462333,61.9306436044,
2014-06-12,1480.1,2.1,2.1,0,13.2948000811,8.08023378912,1.64534844264,62.1977965593,
2014-06-13,1475.0,-5.1,0,5.1,12.3451715039,7.86735994704,1.56916317379,61.076820258,
2014-06-16,1484.1,9.1,9.1,0,12.1133735393,7.30540566511,1.65813838335,62.3796862397,
2014-06-17,1501.1,17.0,17.0,0,12.4624182865,6.78359097475,1.83714176354,64.7532593242,
2014-06-18,1473.0,-28.1,0,28.1,11.5722455517,8.30619161941,1.3932071498,58.2150671711,
2014-06-19,1448.2,-24.8,0,24.8,10.7456565838,9.48432078945,1.1329916841,53.1174918564,
2014-06-20,1436.2,-12.0,0,12.0,9.97810968492,9.66401216163,1.03250177235,50.7995508982,
2014-06-23,1475.0,38.8,38.8,0,12.036816136,8.97372557866,1.34133989618,57.289413569,
2014-06-24,1475.0,0.0,0.0,0,11.1770435549,8.33274518018,1.34133989618,57.289413569,
2014-06-25,1469.2,-5.8,0,5.8,10.3786833009,8.15183481017,1.27317144454,56.0085974861,
2014-06-26,1456.0,-13.2,0,13.2,9.63734877944,8.51241803802,1.13215172662,53.0990225735,
