DATE,CLOSE,DELTA,GAIN,LOSS, AVG GAIN, AVG LOSS, RS, RSI, Signal
2014-04-15,214.0,0,0,0,0,0,0.0,32.4212271973,
2014-04-16,208.0,-6.0,0,6.0,0,0,0.0,32.4212271973,
2014-04-17,216.0,8.0,8.0,0,0,0,0.0,32.4212271973,
2014-04-21,215.35,-0.65,0,0.65,0,0,0.0,32.4212271973,
2014-04-22,215.2,-0.15,0,0.15,0,0,0.0,32.4212271973,
2014-04-23,220.0,4.8,4.8,0,0,0,0.0,32.4212271973,
2014-04-25,208.1,-11.9,0,11.9,0,0,0.0,32.4212271973,
2014-04-28,200.15,-7.95,0,7.95,0,0,0.0,32.4212271973,
2014-04-29,203.0,2.85,2.85,0,0,0,0.0,32.4212271973,
2014-04-30,198.8,-4.2,0,4.2,0,0,0.0,32.4212271973,
2014-05-02,201.1,2.3,2.3,0,0,0,0.0,32.4212271973,
2014-05-05,202.7,1.6,1.6,0,0,0,0.0,32.4212271973,
2014-05-06,198.8,-3.9,0,3.9,0,0,0.0,32.4212271973,
2014-05-07,194.6,-4.2,0,4.2,0,0,0.0,32.4212271973,
2014-05-08,192.8,-1.8,0,1.8,1.39642857143,2.91071428571,0.479754601227,32.4212271973,
2014-05-09,206.0,13.2,13.2,0,2.23954081633,2.70280612245,0.82859839547,45.3133064932,
2014-05-12,211.8,5.8,5.8,0,2.49385932945,2.50974854227,0.993669002069,49.8412224415,
2014-05-13,221.8,10.0,10.0,0,3.03001223449,2.33048078925,1.3001661496,56.5248797278,
2014-05-14,224.4,2.6,2.6,0,2.99929707488,2.16401787574,1.38598535091,58.0885943152,
2014-05-15,219.0,-5.4,0,5.4,2.78506156953,2.39515945604,1.16278753905,53.7633733345,
2014-05-16,224.85,5.85,5.85,0,3.00398574314,2.22407663775,1.35066647082,57.4588733699,
2014-05-19,219.75,-5.1,0,5.1,2.78941533291,2.42949973506,1.14814391319,53.4481840878,
2014-05-20,216.55,-3.2,0,3.2,2.59017138056,2.48453546827,1.0425173694,51.0408080254,
2014-05-21,214.05,-2.5,0,2.5,2.40515913909,2.48564007768,0.967621644298,49.1772209917,
2014-05-22,213.8,-0.25,0,0.25,2.23336205773,2.3259515007,0.96019287464,48.9846120278,
2014-05-23,214.25,0.45,0.45,0,2.10597905361,2.15981210779,0.975075121585,49.3690144202,
2014-05-26,211.5,-2.75,0,2.75,1.95555197835,2.20196838581,0.888092667884,47.0364978897,
2014-05-27,208.15,-3.35,0,3.35,1.81586969418,2.28397064396,0.795049489353,44.2912295214,
2014-05-28,219.9,11.75,11.75,0,2.52545043031,2.12082988368,1.19078406512,54.3542416652,
2014-05-29,212.9,-7.0,0,7.0,2.34506111386,2.46934203485,0.949670430733,48.7092800795,
2014-05-30,217.4,4.5,4.5,0,2.49898532001,2.29296046093,1.08985102997,52.1496993967,
2014-06-02,222.25,4.85,4.85,0,2.66691494001,2.12917757086,1.25255637506,55.6059945459,
2014-06-03,230.95,8.7,8.7,0,3.09784958715,1.97709345866,1.56687058651,61.0420562199,
2014-06-04,228.75,-2.2,0,2.2,2.87657461664,1.99301535447,1.44332787512,59.072214164,
2014-06-05,230.25,1.5,1.5,0,2.77824785831,1.85065711486,1.50122236907,60.019548347,
2014-06-06,231.5,1.25,1.25,0,2.669087297,1.71846732094,1.55317896621,60.8331412237,
2014-06-09,236.4,4.9,4.9,0,2.82843820436,1.59571965516,1.77251573935,63.9316745507,
2014-06-10,229.6,-6.8,0,6.8,2.62640690405,1.96745396551,1.33492673785,57.1721037843,
2014-06-11,226.8,-2.8,0,2.8,2.4388064109,2.0269215394,1.20320711162,54.6116207266,
2014-06-12,226.0,-0.8,0,0.8,2.26460595298,1.93928428659,1.16775346897,53.8692930578,
2014-06-13,222.8,-3.2,0,3.2,2.10284838491,2.02933540897,1.0362251482,50.8895172578,
2014-06-16,222.8,0.0,0.0,0,1.95264492885,1.88438287976,1.0362251482,50.8895172578,
2014-06-17,226.0,3.2,3.2,0,2.04174171964,1.74978410263,1.16685350871,53.8501335701,
2014-06-18,220.2,-5.8,0,5.8,1.89590302538,2.03908523816,0.929781153775,48.180652607,
2014-06-19,218.6,-1.6,0,1.6,1.76048138071,2.00772200686,0.876855149614,46.7193832084,
2014-06-20,217.7,-0.9,0,0.9,1.63473271066,1.92859900637,0.847627062577,45.876523447,
2014-06-23,223.05,5.35,5.35,0,1.90010894561,1.79084193449,1.06101432461,51.4802013719,
2014-06-24,222.65,-0.4,0,0.4,1.76438687807,1.69149608203,1.04309250067,51.0545900554,
2014-06-25,220.4,-2.25,0,2.25,1.63835924392,1.73138921902,0.946268595138,48.6196302762,
2014-06-26,219.5,-0.9,0,0.9,1.52133358364,1.67200427481,0.909886180654,47.6408589093,
