DATE,CLOSE,DELTA,GAIN,LOSS, AVG GAIN, AVG LOSS, RS, RSI, Signal
2014-04-15,1445.0,0,0,0,0,0,0.0,73.4741784038,,Sell
2014-04-16,1431.1,-13.9,0,13.9,0,0,0.0,73.4741784038,,Sell
2014-04-17,1468.75,37.65,37.65,0,0,0,0.0,73.4741784038,,Sell
2014-04-21,1505.55,36.8,36.8,0,0,0,0.0,73.4741784038,,Sell
2014-04-22,1502.0,-3.55,0,3.55,0,0,0.0,73.4741784038,,Sell
2014-04-23,1518.3,16.3,16.3,0,0,0,0.0,73.4741784038,,Sell
2014-04-25,1543.6,25.3,25.3,0,0,0,0.0,73.4741784038,,Sell
2014-04-28,1535.0,-8.6,0,8.6,0,0,0.0,73.4741784038,,Sell
2014-04-29,1525.95,-9.05,0,9.05,0,0,0.0,73.4741784038,,Sell
2014-04-30,1520.1,-5.85,0,5.85,0,0,0.0,73.4741784038,,Sell
2014-05-02,1534.5,14.4,14.4,0,0,0,0.0,73.4741784038,,Sell
2014-05-05,1553.0,18.5,18.5,0,0,0,0.0,73.4741784038,,Sell
2014-05-06,1531.8,-21.2,0,21.2,0,0,0.0,73.4741784038,,Sell
2014-05-07,1539.0,7.2,7.2,0,0,0,0.0,73.4741784038,,Sell
2014-05-08,1555.0,16.0,16.0,0,12.2964285714,4.43928571429,2.76991150442,73.4741784038,,Sell
2014-05-09,1650.0,95.0,95.0,0,18.2038265306,4.12219387755,4.41605297358,81.5363696611,,Sell
2014-05-12,1644.0,-6.0,0,6.0,16.903553207,4.2563228863,3.97139823706,79.8849347343,,Sell
2014-05-13,1642.05,-1.95,0,1.95,15.6961565494,4.09158553728,3.83620393766,79.3226254953,,Sell
2014-05-14,1632.0,-10.05,0,10.05,14.5750025101,4.51718657033,3.22656642209,76.3401328612,,Sell
2014-05-15,1660.0,28.0,28.0,0,15.5339309022,4.19453038673,3.70337784449,78.7386845568,,Sell
2014-05-16,1759.75,99.75,99.75,0,21.5493644092,3.89492107339,5.53268320543,84.6923542968,,Sell
2014-05-19,1861.0,101.25,101.25,0,27.2422669514,3.6167124253,7.53232874168,88.2798702409,,Sell
2014-05-20,1850.0,-11.0,0,11.0,25.2963907406,4.1440901092,6.10420866198,85.923836875,,Sell
2014-05-21,1814.0,-36.0,0,36.0,23.4895056877,6.41951224426,3.65907950541,78.5365328315,,Sell
2014-05-22,1840.0,26.0,26.0,0,23.66882671,5.96097565538,3.970629655,79.8818244487,,Sell
2014-05-23,1869.0,29.0,29.0,0,24.0496248022,5.53519168,4.34485853291,81.2904309096,,Sell
2014-05-26,1870.0,1.0,1.0,0,22.4032230306,5.13982084571,4.35875562652,81.3389512474,,Sell
2014-05-27,1849.0,-21.0,0,21.0,20.8029928141,6.27269078531,3.31643843545,76.832751933,,Sell
2014-05-28,1870.3,21.3,21.3,0,20.8384933274,5.8246414435,3.57764396822,78.1547012624,,Sell
2014-05-29,1861.0,-9.3,0,9.3,19.3500295183,6.07288134039,3.18630126849,76.1125648666,,Sell
2014-05-30,1828.0,-33.0,0,33.0,17.9678845527,7.99624695893,2.24703972313,69.2027173897,
2014-06-02,1901.35,73.35,73.35,0,21.9237499418,7.42508646187,2.95265921203,74.7005763372,,Sell
2014-06-03,1898.0,-3.35,0,3.35,20.3577678031,7.13400885745,2.85362244565,74.0503898837,,Sell
2014-06-04,1932.8,34.8,34.8,0,21.3893558172,6.6244367962,3.22885650134,76.3529455378,,Sell
2014-06-05,1947.6,14.8,14.8,0,20.9186875445,6.15126273933,3.40071436239,77.2764165622,,Sell
2014-06-06,1974.0,26.4,26.4,0,21.3102098627,5.71188682938,3.73085295618,78.8621627165,,Sell
2014-06-09,1966.0,-8.0,0,8.0,19.7880520154,5.87532348442,3.36799362076,77.106193671,,Sell
2014-06-10,1939.0,-27.0,0,27.0,18.3746197286,7.38422894982,2.48835997007,71.3332337093,,Sell
2014-06-11,1933.1,-5.9,0,5.9,17.0621468908,7.27821259626,2.34427706874,70.0981713104,,Sell
2014-06-12,1904.75,-28.35,0,28.35,15.8434221129,8.78334026796,1.80380375001,64.3341656848,
2014-06-13,1814.9,-89.85,0,89.85,14.7117491049,14.5738159631,1.00946444926,50.2354968078,
2014-06-16,1771.9,-43.0,0,43.0,13.6609098831,16.60425768,0.822735357782,45.1374004608,
2014-06-17,1843.8,71.9,71.9,0,17.8208448914,15.4182392743,1.15582879305,53.6141272803,
2014-06-18,1846.35,2.55,2.55,0,16.7300702563,14.316936469,1.16855098802,53.8862583577,
2014-06-19,1841.0,-5.35,0,5.35,15.535065238,13.6764410069,1.13589970009,53.1813221398,
2014-06-20,1865.05,24.05,24.05,0,16.1432748639,12.6995523636,1.27116880987,55.9698074553,
2014-06-23,1885.3,20.25,20.25,0,16.4366123736,11.7924414805,1.39382607078,58.2258706175,
2014-06-24,1927.95,42.65,42.65,0,18.3089972041,10.9501242319,1.67203556931,62.5753484914,
2014-06-25,1912.75,-15.2,0,15.2,17.0012116895,11.2536867867,1.51072373096,60.1708468491,
2014-06-26,1925.0,12.25,12.25,0,16.6618394259,10.4498520162,1.59445697413,61.4562889279,
