DATE,CLOSE,DELTA,GAIN,LOSS, AVG GAIN, AVG LOSS, RS, RSI, Signal
2014-04-15,180.25,0,0,0,0,0,0.0,55.5555555556,
2014-04-16,175.45,-4.8,0,4.8,0,0,0.0,55.5555555556,
2014-04-17,180.9,5.45,5.45,0,0,0,0.0,55.5555555556,
2014-04-21,186.0,5.1,5.1,0,0,0,0.0,55.5555555556,
2014-04-22,186.8,0.8,0.8,0,0,0,0.0,55.5555555556,
2014-04-23,189.45,2.65,2.65,0,0,0,0.0,55.5555555556,
2014-04-25,191.45,2.0,2.0,0,0,0,0.0,55.5555555556,
2014-04-28,186.5,-4.95,0,4.95,0,0,0.0,55.5555555556,
2014-04-29,186.5,0.0,0.0,0,0,0,0.0,55.5555555556,
2014-04-30,181.05,-5.45,0,5.45,0,0,0.0,55.5555555556,
2014-05-02,179.5,-1.55,0,1.55,0,0,0.0,55.5555555556,
2014-05-05,177.3,-2.2,0,2.2,0,0,0.0,55.5555555556,
2014-05-06,178.55,1.25,1.25,0,0,0,0.0,55.5555555556,
2014-05-07,178.1,-0.45,0,0.45,0,0,0.0,55.5555555556,
2014-05-08,185.1,7.0,7.0,0,1.73214285714,1.38571428571,1.25,55.5555555556,
2014-05-09,194.1,9.0,9.0,0,2.2512755102,1.28673469388,1.74960348929,63.6311197635,
2014-05-12,198.3,4.2,4.2,0,2.39047011662,1.19482507289,2.00068626853,66.6742901286,
2014-05-13,219.25,20.95,20.95,0,3.71615082257,1.10948042482,3.34945145442,77.0085949808,,Sell
2014-05-14,216.0,-3.25,0,3.25,3.4507114781,1.26237468019,2.73350815114,73.2155399287,,Sell
2014-05-15,217.7,1.7,1.7,0,3.32566065824,1.17220506018,2.83709802254,73.938638155,,Sell
2014-05-16,230.5,12.8,12.8,0,4.00239918265,1.08847612731,3.67706657246,78.6190770538,,Sell
2014-05-19,265.0,34.5,34.5,0,6.18079924103,1.0107278325,6.11519643793,85.9455742547,,Sell
2014-05-20,276.25,11.25,11.25,0,6.54288500953,0.938532987323,6.97139588902,87.4551456994,,Sell
2014-05-21,269.3,-6.95,0,6.95,6.07553608028,1.36792348823,4.44142975288,81.6224770802,,Sell
2014-05-22,265.35,-3.95,0,3.95,5.6415692174,1.55235752478,3.63419452499,78.4212769963,,Sell
2014-05-23,272.15,6.8,6.8,0,5.7243142733,1.44147484444,3.9711510023,79.8839343336,,Sell
2014-05-26,256.25,-15.9,0,15.9,5.31543468235,2.47422664127,2.14832165886,68.2370447382,
2014-05-27,245.5,-10.75,0,10.75,4.93576077647,3.06535330975,1.61017679782,61.6884189287,
2014-05-28,249.0,3.5,3.5,0,4.83320643529,2.84639950191,1.6980070549,62.9356047018,
2014-05-29,244.5,-4.5,0,4.5,4.4879774042,2.9645138232,1.51389997546,60.2211699049,
2014-05-30,241.35,-3.15,0,3.15,4.16740758961,2.97776283583,1.39950957124,58.3248172048,
2014-06-02,248.5,7.15,7.15,0,4.38044990464,2.76506549041,1.58421199058,61.3034842479,
2014-06-03,257.6,9.1,9.1,0,4.71756062574,2.56756081253,1.83737055135,64.7561014009,
2014-06-04,257.1,-0.5,0,0.5,4.38059200961,2.41987789735,1.81025332494,64.4160193273,
2014-06-05,259.5,2.4,2.4,0,4.23912115179,2.24702947611,1.88654452327,65.3565017987,
2014-06-06,261.65,2.15,2.15,0,4.08989821237,2.08652737067,1.96014596782,66.2178821291,
2014-06-09,261.95,0.3,0.3,0,3.8191911972,1.93748970134,1.97120593445,66.3436321122,
2014-06-10,254.85,-7.1,0,7.1,3.54639182597,2.30624043696,1.5377372494,60.5948172831,
2014-06-11,246.0,-8.85,0,8.85,3.29307812412,2.77365183432,1.1872716263,54.2809412431,
2014-06-12,245.05,-0.95,0,0.95,3.05785825811,2.64339098901,1.15679378148,53.6348811562,
2014-06-13,236.5,-8.55,0,8.55,2.8394398111,3.06529163265,0.926319630034,48.0875351936,
2014-06-16,241.15,4.65,4.65,0,2.96876553888,2.84634223032,1.04301074806,51.0526314681,
2014-06-17,248.05,6.9,6.9,0,3.24956800039,2.64303207101,1.229484892,55.1465899775,
2014-06-18,240.25,-7.8,0,7.8,3.01745600036,3.01138692308,1.00201537612,50.0503336823,
2014-06-19,240.05,-0.2,0,0.2,2.80192342891,2.81057357143,0.996922285681,49.9229385555,
2014-06-20,238.75,-1.3,0,1.3,2.60178604113,2.70267545919,0.962670539034,49.0490135704,
2014-06-23,245.4,6.65,6.65,0,2.89094418105,2.5096272121,1.15194167767,53.5303391177,
2014-06-24,251.5,6.1,6.1,0,3.12016245383,2.33036812552,1.33891397658,57.2451141848,
2014-06-25,249.65,-1.85,0,1.85,2.89729370713,2.29605611656,1.26185666205,55.7885335187,
2014-06-26,250.65,1.0,1.0,0,2.76177272805,2.13205210823,1.29535892551,56.4338287626,
