DATE,CLOSE,DELTA,GAIN,LOSS, AVG GAIN, AVG LOSS, RS, RSI, Signal
2014-04-15,443.05,0,0,0,0,0,0.0,59.0013140604,
2014-04-16,437.0,-6.05,0,6.05,0,0,0.0,59.0013140604,
2014-04-17,449.75,12.75,12.75,0,0,0,0.0,59.0013140604,
2014-04-21,463.05,13.3,13.3,0,0,0,0.0,59.0013140604,
2014-04-22,484.1,21.05,21.05,0,0,0,0.0,59.0013140604,
2014-04-23,477.0,-7.1,0,7.1,0,0,0.0,59.0013140604,
2014-04-25,458.0,-19.0,0,19.0,0,0,0.0,59.0013140604,
2014-04-28,456.5,-1.5,0,1.5,0,0,0.0,59.0013140604,
2014-04-29,461.45,4.95,4.95,0,0,0,0.0,59.0013140604,
2014-04-30,454.7,-6.75,0,6.75,0,0,0.0,59.0013140604,
2014-05-02,463.25,8.55,8.55,0,0,0,0.0,59.0013140604,
2014-05-05,468.0,4.75,4.75,0,0,0,0.0,59.0013140604,
2014-05-06,469.0,1.0,1.0,0,0,0,0.0,59.0013140604,
2014-05-07,470.0,1.0,1.0,0,0,0,0.0,59.0013140604,
2014-05-08,463.6,-6.4,0,6.4,4.81071428571,3.34285714286,1.4391025641,59.0013140604,
2014-05-09,486.05,22.45,22.45,0,6.07066326531,3.10408163265,1.95570348455,66.1671069095,
2014-05-12,503.6,17.55,17.55,0,6.89061588921,2.88236151603,2.39061472715,70.5068230846,,Sell
2014-05-13,509.8,6.2,6.2,0,6.84128618284,2.6764785506,2.55607734323,71.8791268164,,Sell
2014-05-14,520.0,10.2,10.2,0,7.08119431264,2.48530151128,2.84922947196,74.0207746178,,Sell
2014-05-15,517.0,-3.0,0,3.0,6.57539471888,2.52206568904,2.60714649402,72.2772556741,,Sell
2014-05-16,551.7,34.7,34.7,0,8.5842950961,2.34191813982,3.665497504,78.566058622,,Sell
2014-05-19,574.0,22.3,22.3,0,9.56398830352,2.17463827269,4.39796743376,81.4745084651,,Sell
2014-05-20,558.25,-15.75,0,15.75,8.88084628184,3.1443069675,2.82442088945,73.8522503431,,Sell
2014-05-21,558.0,-0.25,0,0.25,8.24650011885,2.93757075554,2.80725157115,73.734333513,,Sell
2014-05-22,558.3,0.3,0.3,0,7.67889296751,2.727744273,2.81510735574,73.7884178149,,Sell
2014-05-23,553.75,-4.55,0,4.55,7.13040061268,2.85790539636,2.49497433392,71.3874865891,,Sell
2014-05-26,557.5,3.75,3.75,0,6.88894342606,2.65376929662,2.59590893408,72.1906194419,,Sell
2014-05-27,551.0,-6.5,0,6.5,6.39687603849,2.92850006114,2.18435236638,68.596440188,
2014-05-28,542.5,-8.5,0,8.5,5.93995632145,3.32646434249,1.78566661472,64.1019497913,
2014-05-29,536.9,-5.6,0,5.6,5.51567372706,3.4888597466,1.58093879596,61.2544086065,
2014-05-30,518.95,-17.95,0,17.95,5.12169703227,4.52179833613,1.13266816686,53.1103799672,
2014-06-02,556.0,37.05,37.05,0,7.4022901014,4.19881274069,1.76294837578,63.8067794257,
2014-06-03,573.9,17.9,17.9,0,8.15212652273,3.89889754493,2.09087990356,67.6467533129,
2014-06-04,575.5,1.6,1.6,0,7.68411748539,3.62040486315,2.12244701238,67.973836032,
2014-06-05,617.0,41.5,41.5,0,10.099537665,3.36180451578,3.00420135008,75.0262308867,,Sell
2014-06-06,626.15,9.15,9.15,0,10.0317135461,3.12167562179,3.21356693054,76.267138591,,Sell
2014-06-09,614.5,-11.65,0,11.65,9.3151625785,3.73084164881,2.49679923603,71.4024188265,,Sell
2014-06-10,612.9,-1.6,0,1.6,8.64979382289,3.57863867389,2.41706263502,70.7350989194,,Sell
2014-06-11,602.65,-10.25,0,10.25,8.03195140697,4.0551644829,1.98067216283,66.4505203735,
2014-06-12,600.35,-2.3,0,2.3,7.45824059219,3.92979559127,1.89786985582,65.4918940548,
2014-06-13,569.0,-31.35,0,31.35,6.92550912132,5.88838162046,1.17613116264,54.0468875604,
2014-06-16,588.5,19.5,19.5,0,7.82368704122,5.46778293328,1.43087008696,58.8624663504,
2014-06-17,605.0,16.5,16.5,0,8.44342368113,5.07722700948,1.66299904758,62.4483530737,
2014-06-18,590.1,-14.9,0,14.9,7.84032198963,5.77885365166,1.35672617135,57.5682566708,
2014-06-19,562.25,-27.85,0,27.85,7.28029899037,7.35536410511,0.989794507291,49.7435541039,
2014-06-20,550.4,-11.85,0,11.85,6.76027763391,7.67640952618,0.880656198821,46.8270702201,
2014-06-23,557.2,6.8,6.8,0,6.76311494577,7.12809456002,0.948797029673,48.6862928887,
2014-06-24,582.8,25.6,25.6,0,8.10860673536,6.61894494859,1.2250603077,55.0573979258,
2014-06-25,579.15,-3.65,0,3.65,7.52942053998,6.40687745226,1.17520907745,54.0274077389,
2014-06-26,568.2,-10.95,0,10.95,6.99160478712,6.73138620567,1.03865750285,50.9481117549,
