DATE,CLOSE,DELTA,GAIN,LOSS, AVG GAIN, AVG LOSS, RS, RSI, Signal
2014-04-15,359.0,0,0,0,0,0,0.0,24.9478079332,,Buy
2014-04-16,362.25,3.25,3.25,0,0,0,0.0,24.9478079332,,Buy
2014-04-17,368.45,6.2,6.2,0,0,0,0.0,24.9478079332,,Buy
2014-04-21,362.4,-6.05,0,6.05,0,0,0.0,24.9478079332,,Buy
2014-04-22,363.0,0.6,0.6,0,0,0,0.0,24.9478079332,,Buy
2014-04-23,354.0,-9.0,0,9.0,0,0,0.0,24.9478079332,,Buy
2014-04-25,335.05,-18.95,0,18.95,0,0,0.0,24.9478079332,,Buy
2014-04-28,335.95,0.9,0.9,0,0,0,0.0,24.9478079332,,Buy
2014-04-29,335.0,-0.95,0,0.95,0,0,0.0,24.9478079332,,Buy
2014-04-30,335.0,0.0,0.0,0,0,0,0.0,24.9478079332,,Buy
2014-05-02,334.2,-0.8,0,0.8,0,0,0.0,24.9478079332,,Buy
2014-05-05,335.2,1.0,1.0,0,0,0,0.0,24.9478079332,,Buy
2014-05-06,335.05,-0.15,0,0.15,0,0,0.0,24.9478079332,,Buy
2014-05-07,335.0,-0.05,0,0.05,0,0,0.0,24.9478079332,,Buy
2014-05-08,335.0,0.0,0.0,0,0.853571428571,2.56785714286,0.332406119611,24.9478079332,,Buy
2014-05-09,336.6,1.6,1.6,0,0.906887755102,2.38443877551,0.380335936664,27.5538676174,,Buy
2014-05-12,340.45,3.85,3.85,0,1.11711005831,2.21412172012,0.504538683741,33.5344440919,
2014-05-13,335.85,-4.6,0,4.6,1.03731648272,2.38454159725,0.435017147074,30.3144215357,
2014-05-14,339.5,3.65,3.65,0,1.22393673395,2.21421719745,0.55276272597,35.5986601639,
2014-05-15,335.8,-3.7,0,3.7,1.13651268153,2.32034454049,0.489803415697,32.8770501219,
2014-05-16,341.7,5.9,5.9,0,1.4767617757,2.15460564474,0.685397710392,40.6668233952,
2014-05-19,353.6,11.9,11.9,0,2.22127879172,2.00070524154,1.11024789939,52.6122025621,
2014-05-20,352.1,-1.5,0,1.5,2.06261602089,1.96494058143,1.0497091059,51.212589283,
2014-05-21,347.6,-4.5,0,4.5,1.91528630511,2.14601625419,0.892484528657,47.1594095034,
2014-05-22,346.45,-1.15,0,1.15,1.77848014046,2.07487223603,0.857151640267,46.1541008113,
2014-05-23,348.35,1.9,1.9,0,1.78716013042,1.92666707631,0.927591565972,48.1217900279,
2014-05-26,352.0,3.65,3.65,0,1.92022012111,1.78904799943,1.07331950943,51.7681671614,
2014-05-27,347.6,-4.4,0,4.4,1.78306154103,1.9755445709,0.902567103416,47.4394360018,
2014-05-28,350.6,3.0,3.0,0,1.86998571667,1.83443424441,1.01938007447,50.4798520772,
2014-05-29,342.0,-8.6,0,8.6,1.73641530834,2.31768894124,0.749201188063,42.8310472904,
2014-05-30,339.1,-2.9,0,2.9,1.61238564346,2.35928258829,0.683422007799,40.5971886213,
2014-06-02,344.8,5.7,5.7,0,1.90435809749,2.19076240341,0.86926729002,46.5031028286,
2014-06-03,354.25,9.45,9.45,0,2.4433325191,2.0342793746,1.20108012184,54.5677601611,
2014-06-04,351.4,-2.85,0,2.85,2.26880876774,2.09254513356,1.08423408956,52.0207444542,
2014-06-05,367.9,16.5,16.5,0,3.28532242718,1.94307762402,1.69078290367,62.8360950771,
2014-06-06,377.55,9.65,9.65,0,3.73994225381,1.80428636516,2.07280968589,67.4564941463,
2014-06-09,372.6,-4.95,0,4.95,3.4728035214,2.02898019622,1.71160050151,63.1214111576,
2014-06-10,381.95,9.35,9.35,0,3.89260326987,1.88405303935,2.06607945136,67.3850591329,
2014-06-11,368.2,-13.75,0,13.75,3.61456017917,2.73162067939,1.32322917542,56.9564634183,
2014-06-12,370.3,2.1,2.1,0,3.50637730923,2.53650491658,1.38236566636,58.0249155652,
2014-06-13,366.0,-4.3,0,4.3,3.25592178714,2.66246885111,1.2228957292,55.0136343839,
2014-06-16,366.25,0.25,0.25,0,3.04121308806,2.4722925046,1.23011863782,55.1593362326,
2014-06-17,372.75,6.5,6.5,0,3.28826929605,2.29570018284,1.43236007935,58.887665996,
2014-06-18,371.5,-1.25,0,1.25,3.05339291776,2.22100731264,1.37477841716,57.890808137,
2014-06-19,366.1,-5.4,0,5.4,2.83529342364,2.44807821888,1.15817109183,53.664470635,
2014-06-20,371.75,5.65,5.65,0,3.03634389338,2.27321548896,1.33570438356,57.186362836,
2014-06-23,375.2,3.45,3.45,0,3.06589075814,2.11084295403,1.45244853592,59.2244246778,
2014-06-24,373.5,-1.7,0,1.7,2.84689856113,2.08149702875,1.36771685081,57.7652201251,
2014-06-25,369.95,-3.55,0,3.55,2.6435486639,2.18639009812,1.20909286324,54.7325503314,
2014-06-26,364.55,-5.4,0,5.4,2.45472375934,2.41593366254,1.0160559445,50.398201859,
