DATE,CLOSE,DELTA,GAIN,LOSS, AVG GAIN, AVG LOSS, RS, RSI, Signal
2014-04-15,291.25,0,0,0,0,0,0.0,55.1401869159,
2014-04-16,291.45,0.2,0.2,0,0,0,0.0,55.1401869159,
2014-04-17,290.5,-0.95,0,0.95,0,0,0.0,55.1401869159,
2014-04-21,297.0,6.5,6.5,0,0,0,0.0,55.1401869159,
2014-04-22,299.6,2.6,2.6,0,0,0,0.0,55.1401869159,
2014-04-23,302.0,2.4,2.4,0,0,0,0.0,55.1401869159,
2014-04-25,299.5,-2.5,0,2.5,0,0,0.0,55.1401869159,
2014-04-28,295.75,-3.75,0,3.75,0,0,0.0,55.1401869159,
2014-04-29,296.85,1.1,1.1,0,0,0,0.0,55.1401869159,
2014-04-30,295.0,-1.85,0,1.85,0,0,0.0,55.1401869159,
2014-05-02,295.05,0.05,0.05,0,0,0,0.0,55.1401869159,
2014-05-05,296.55,1.5,1.5,0,0,0,0.0,55.1401869159,
2014-05-06,296.55,0.0,0.0,0,0,0,0.0,55.1401869159,
2014-05-07,293.6,-2.95,0,2.95,0,0,0.0,55.1401869159,
2014-05-08,294.0,0.4,0.4,0,1.05357142857,0.857142857143,1.22916666667,55.1401869159,
2014-05-09,308.6,14.6,14.6,0,2.02117346939,0.795918367347,2.53942307692,71.7468079326,,Sell
2014-05-12,327.5,18.9,18.9,0,3.22680393586,0.739067055394,4.36605029586,81.3643192877,,Sell
2014-05-13,335.0,7.5,7.5,0,3.53203222616,0.686276551437,5.14666021848,83.7310024557,,Sell
2014-05-14,343.15,8.15,8.15,0,3.86188706714,0.637256797763,6.06017398434,85.8360431029,,Sell
2014-05-15,345.0,1.85,1.85,0,3.71818084806,0.591738455065,6.28348692946,86.2703124247,,Sell
2014-05-16,344.7,-0.3,0,0.3,3.45259650177,0.570899993989,6.04763800687,85.810848982,,Sell
2014-05-19,391.0,46.3,46.3,0,6.51312532307,0.53012142299,12.2861009584,92.4733373385,,Sell
2014-05-20,364.0,-27.0,0,27.0,6.04790208571,2.42082703563,2.49827930566,71.4145180352,,Sell
2014-05-21,372.5,8.5,8.5,0,6.22305193673,2.2479108188,2.76837136272,73.4633372419,,Sell
2014-05-22,390.8,18.3,18.3,0,7.08569108411,2.08734576032,3.39459385159,77.2447686004,,Sell
2014-05-23,399.85,9.05,9.05,0,7.22599886382,1.93824963458,3.72810536625,78.8498791263,,Sell
2014-05-26,403.9,4.05,4.05,0,6.99914180211,1.79980323211,3.88883722245,79.5452383768,,Sell
2014-05-27,391.0,-12.9,0,12.9,6.49920310196,2.59267442982,2.50675635445,71.4836190792,,Sell
2014-05-28,381.0,-10.0,0,10.0,6.03497430897,3.1217691134,1.93319047301,65.9074305197,
2014-05-29,372.1,-8.9,0,8.9,5.60390471547,3.53449989102,1.58548730747,61.3225716827,
2014-05-30,370.6,-1.5,0,1.5,5.20362580722,3.38917847023,1.53536494255,60.557946384,
2014-06-02,373.55,2.95,2.95,0,5.04265253528,3.14709429378,1.60232012915,61.572752376,
2014-06-03,394.4,20.85,20.85,0,6.17174878276,2.92230184423,2.11194774248,67.8657843013,
2014-06-04,389.5,-4.9,0,4.9,5.73090958399,3.06356599821,1.8706662717,65.1648814125,
2014-06-05,392.0,2.5,2.5,0,5.50013032799,2.84473985548,1.93343877029,65.9103162429,
2014-06-06,389.9,-2.1,0,2.1,5.10726387599,2.79154415152,1.82954794865,64.6586656898,
2014-06-09,411.4,21.5,21.5,0,6.27817359913,2.5921481407,2.42199645173,70.7772929018,,Sell
2014-06-10,420.0,8.6,8.6,0,6.44401834205,2.40699470207,2.67720503768,72.8054326655,,Sell
2014-06-11,402.8,-17.2,0,17.2,5.98373131762,3.46363793764,1.72758568458,63.3375403876,
2014-06-12,397.0,-5.8,0,5.8,5.55632193779,3.6305209421,1.53044756563,60.4812992933,
2014-06-13,388.5,-8.5,0,8.5,5.15944179938,3.9783408748,1.2968827865,56.4627326272,
2014-06-16,388.7,0.2,0.2,0,4.80519595656,3.69417366946,1.30074987981,56.5359099321,
2014-06-17,400.4,11.7,11.7,0,5.29768195967,3.43030412164,1.54437675839,60.6976444545,
2014-06-18,393.0,-7.4,0,7.4,4.9192761054,3.71385382724,1.32457450784,56.9813745859,
2014-06-19,384.6,-8.4,0,8.4,4.56789924073,4.04857855386,1.1282723504,53.0135323229,
2014-06-20,387.55,2.95,2.95,0,4.45233500925,3.75939437145,1.18432241189,54.219212578,
2014-06-23,386.5,-1.05,0,1.05,4.13431108002,3.56586620206,1.15941284551,53.6911155233,
2014-06-24,392.25,5.75,5.75,0,4.24971743145,3.31116147334,1.28345218609,56.2066591062,
2014-06-25,397.05,4.8,4.8,0,4.2890233292,3.07464993953,1.39496313842,58.2457039127,
2014-06-26,388.75,-8.3,0,8.3,3.98266451997,3.44788922956,1.15510222481,53.5984888101,
