DATE,CLOSE,DELTA,GAIN,LOSS, AVG GAIN, AVG LOSS, RS, RSI, Signal
2014-04-15,2575.0,0,0,0,0,0,0.0,72.9263341067,,Sell
2014-04-16,2537.0,-38.0,0,38.0,0,0,0.0,72.9263341067,,Sell
2014-04-17,2546.85,9.85,9.85,0,0,0,0.0,72.9263341067,,Sell
2014-04-21,2552.0,5.15,5.15,0,0,0,0.0,72.9263341067,,Sell
2014-04-22,2549.9,-2.1,0,2.1,0,0,0.0,72.9263341067,,Sell
2014-04-23,2565.0,15.1,15.1,0,0,0,0.0,72.9263341067,,Sell
2014-04-25,2627.05,62.05,62.05,0,0,0,0.0,72.9263341067,,Sell
2014-04-28,2680.0,52.95,52.95,0,0,0,0.0,72.9263341067,,Sell
2014-04-29,2665.0,-15.0,0,15.0,0,0,0.0,72.9263341067,,Sell
2014-04-30,2703.0,38.0,38.0,0,0,0,0.0,72.9263341067,,Sell
2014-05-02,2740.0,37.0,37.0,0,0,0,0.0,72.9263341067,,Sell
2014-05-05,2720.2,-19.8,0,19.8,0,0,0.0,72.9263341067,,Sell
2014-05-06,2751.55,31.35,31.35,0,0,0,0.0,72.9263341067,,Sell
2014-05-07,2737.05,-14.5,0,14.5,0,0,0.0,72.9263341067,,Sell
2014-05-08,2733.1,-3.95,0,3.95,17.9607142857,6.66785714286,2.69362613819,72.9263341067,,Sell
2014-05-09,2710.0,-23.1,0,23.1,16.6778061224,7.84158163265,2.12684212239,68.0188522202,
2014-05-12,2731.95,21.95,21.95,0,17.0543913994,7.28146865889,2.34216367581,70.0792631062,,Sell
2014-05-13,2603.4,-128.55,0,128.55,15.8362205852,15.9435066118,0.993270863853,49.8312036696,
2014-05-14,2520.0,-83.4,0,83.4,14.7050619719,20.7618275681,0.708273966908,41.461380354,
2014-05-15,2480.0,-40.0,0,40.0,13.6547004025,22.1359827418,0.616855396111,38.1515500765,
2014-05-16,2405.0,-75.0,0,75.0,12.6793646595,25.9119839746,0.489324347836,32.8554588224,
2014-05-19,2275.0,-130.0,0,130.0,11.7736957552,33.3468422621,0.35306778563,26.0938727076,,Buy
2014-05-20,2315.0,40.0,40.0,0,13.7898603441,30.9649249577,0.445338083751,30.8120355201,
2014-05-21,2300.0,-15.0,0,15.0,12.8048703196,29.824573175,0.429339600082,30.0376201749,
2014-05-22,2297.45,-2.55,0,2.55,11.8902367253,27.8763893768,0.426534317792,29.9000390297,,Buy
2014-05-23,2305.0,7.55,7.55,0,11.5802198164,25.885218707,0.447368049984,30.9090731959,
2014-05-26,2301.0,-4.0,0,4.0,10.753061258,24.3219887993,0.442112746074,30.6572941178,
2014-05-27,2313.0,12.0,12.0,0,10.842128311,22.5847038851,0.480065108057,32.4354047294,
2014-05-28,2348.25,35.25,35.25,0,12.5855477174,20.9715107505,0.600125945487,37.5049193583,
2014-05-29,2385.0,36.75,36.75,0,14.3115800233,19.4735456969,0.734924201586,42.3605942504,
2014-05-30,2455.05,70.05,70.05,0,18.2928957359,18.0825781471,1.01163095147,50.2890925758,
2014-06-02,2415.0,-40.05,0,40.05,16.9862603262,19.651679708,0.864366841848,46.3624873843,
2014-06-03,2339.0,-76.0,0,76.0,15.7729560172,23.6765597289,0.666184454069,39.9826353224,
2014-06-04,2320.0,-19.0,0,19.0,14.6463163017,23.3425197482,0.627452239932,38.5542644224,
2014-06-05,2310.55,-9.45,0,9.45,13.6001508516,22.3501969091,0.60850250702,37.8303735533,
2014-06-06,2346.9,36.35,36.35,0,15.2251400765,20.7537542727,0.733608959439,42.316864795,
2014-06-09,2355.05,8.15,8.15,0,14.7197729281,19.2713432532,0.763816654331,43.304764838,
2014-06-10,2390.0,34.95,34.95,0,16.1647891476,17.8948187351,0.903322318421,47.4602913904,
2014-06-11,2426.75,36.75,36.75,0,17.6351613513,16.6166173969,1.06129670859,51.4868482625,
2014-06-12,2439.0,12.25,12.25,0,17.2505069691,15.4297161543,1.11800546404,52.7857686404,
2014-06-13,2442.1,3.1,3.1,0,16.2397564713,14.3275935718,1.13346015783,53.1277865055,
2014-06-16,2428.0,-14.1,0,14.1,15.0797738662,14.3113368881,1.05369428335,51.3072608662,
2014-06-17,2411.85,-16.15,0,16.15,14.0026471615,14.4426699675,0.96953313985,49.226546141,
2014-06-18,2420.0,8.15,8.15,0,13.5846009356,13.4110506841,1.01294083928,50.3214411231,
2014-06-19,2442.1,22.1,22.1,0,14.1928437259,12.4531184924,1.13970197381,53.2645194406,
2014-06-20,2440.0,-2.1,0,2.1,13.1790691741,11.7136100287,1.1251073872,52.9435544753,
2014-06-23,2456.0,16.0,16.0,0,13.3805642331,10.8769235981,1.23017911383,55.1605521818,
2014-06-24,2459.85,3.85,3.85,0,12.699809645,10.1000004839,1.2574068353,55.7013833589,
2014-06-25,2484.0,24.15,24.15,0,13.5176803847,9.37857187792,1.44133675794,59.0388340836,
2014-06-26,2506.0,22.0,22.0,0,14.1235603572,8.70867388664,1.62178082921,61.8579864167,
