DATE,CLOSE,DELTA,GAIN,LOSS, AVG GAIN, AVG LOSS, RS, RSI, Signal
2014-04-15,366.0,0,0,0,0,0,0.0,50.0,
2014-04-16,369.0,3.0,3.0,0,0,0,0.0,50.0,
2014-04-17,373.7,4.7,4.7,0,0,0,0.0,50.0,
2014-04-21,373.9,0.2,0.2,0,0,0,0.0,50.0,
2014-04-22,380.0,6.1,6.1,0,0,0,0.0,50.0,
2014-04-23,384.25,4.25,4.25,0,0,0,0.0,50.0,
2014-04-25,380.0,-4.25,0,4.25,0,0,0.0,50.0,
2014-04-28,371.6,-8.4,0,8.4,0,0,0.0,50.0,
2014-04-29,369.0,-2.6,0,2.6,0,0,0.0,50.0,
2014-04-30,370.0,1.0,1.0,0,0,0,0.0,50.0,
2014-05-02,372.05,2.05,2.05,0,0,0,0.0,50.0,
2014-05-05,373.4,1.35,1.35,0,0,0,0.0,50.0,
2014-05-06,371.2,-2.2,0,2.2,0,0,0.0,50.0,
2014-05-07,361.6,-9.6,0,9.6,0,0,0.0,50.0,
2014-05-08,366.0,4.4,4.4,0,1.93214285714,1.93214285714,1.0,50.0,
2014-05-09,372.0,6.0,6.0,0,2.22270408163,1.79413265306,1.23887388028,55.3346881748,
2014-05-12,384.0,12.0,12.0,0,2.92108236152,1.6659803207,1.75337146857,63.6808904496,
2014-05-13,395.0,11.0,11.0,0,3.49814790712,1.54698172636,2.26127293394,69.3371263229,
2014-05-14,395.0,0.0,0.0,0,3.24828019947,1.43648303162,2.26127293394,69.3371263229,
2014-05-15,405.8,10.8,10.8,0,3.78768875665,1.33387710079,2.83960850246,73.95567805,,Sell
2014-05-16,409.85,4.05,4.05,0,3.80642527403,1.23860016502,3.07316709744,75.449079891,,Sell
2014-05-19,431.0,21.15,21.15,0,5.04525204017,1.15012872466,4.3866846658,81.4357055955,,Sell
2014-05-20,420.7,-10.3,0,10.3,4.68487689445,1.80369095862,2.59738336663,72.2020174642,,Sell
2014-05-21,412.15,-8.55,0,8.55,4.35024283056,2.28557017586,1.90335124098,65.5570436712,
2014-05-22,426.5,14.35,14.35,0,5.0645111998,2.1223151633,2.38631438317,70.4693691475,,Sell
2014-05-23,426.2,-0.3,0,0.3,4.70276039982,1.99214979449,2.36064597794,70.2438160233,,Sell
2014-05-26,409.0,-17.2,0,17.2,4.36684894269,3.07842480917,1.41853357265,58.6526310278,
2014-05-27,379.0,-30.0,0,30.0,4.05493116107,5.00139446566,0.810760116786,44.7745733557,
2014-05-28,371.0,-8.0,0,8.0,3.76529322099,5.21558057525,0.721931751732,41.9256890411,
2014-05-29,370.0,-1.0,0,1.0,3.49634370521,4.91446767702,0.711438946186,41.5696363444,
2014-05-30,379.0,9.0,9.0,0,3.88946201198,4.56343427152,0.852310295396,46.0133649051,
2014-06-02,388.05,9.05,9.05,0,4.25807186826,4.2374746807,1.00486072227,50.1212234401,
2014-06-03,382.5,-5.55,0,5.55,3.95392387767,4.33122648922,0.912887813075,47.7230189264,
2014-06-04,381.05,-1.45,0,1.45,3.67150074355,4.12542459713,0.889969179441,47.0890842624,
2014-06-05,393.0,11.95,11.95,0,4.26282211901,3.83075141162,1.11279006674,52.6692208686,
2014-06-06,421.0,28.0,28.0,0,5.9583348248,3.55712631079,1.67504167809,62.6174048729,
2014-06-09,431.0,10.0,10.0,0,6.24702519446,3.30304586002,1.89129229784,65.4133896892,
2014-06-10,426.1,-4.9,0,4.9,5.80080910914,3.41711401288,1.69757552346,62.9296755067,
2014-06-11,428.3,2.2,2.2,0,5.54360845849,3.17303444053,1.74709999604,63.597975995,
2014-06-12,432.25,3.95,3.95,0,5.42977928288,2.94638912335,1.84285885386,64.824141774,
2014-06-13,415.6,-16.65,0,16.65,5.04193790553,3.92521847168,1.2844986698,56.2267199705,
2014-06-16,435.25,19.65,19.65,0,6.08537091228,3.6448457237,1.66958257594,62.5409601856,
2014-06-17,446.25,11.0,11.0,0,6.43641584712,3.38449960058,1.90173337471,65.5378399437,
2014-06-18,453.0,6.75,6.75,0,6.45881471518,3.14274962911,2.05514771376,67.2683584006,
2014-06-19,444.0,-9.0,0,9.0,5.99747080695,3.5611246556,1.6841507633,62.7442685533,
2014-06-20,440.45,-3.55,0,3.55,5.56908003503,3.56033003735,1.56420331166,61.0015323102,
2014-06-23,439.95,-0.5,0,0.5,5.17128860395,3.34173503468,1.54748612631,60.7456154648,
2014-06-24,460.0,20.05,20.05,0,6.23405370367,3.10303967506,2.0090151453,66.7665348391,
2014-06-25,467.0,7.0,7.0,0,6.28876415341,2.88139398398,2.18254226543,68.578579117,
2014-06-26,460.0,-7.0,0,7.0,5.83956671388,3.17558012798,1.83889761194,64.775059312,
