DATE,CLOSE,DELTA,GAIN,LOSS, AVG GAIN, AVG LOSS, RS, RSI, Signal
2014-04-15,2780.0,0,0,0,0,0,0.0,32.5229666144,
2014-04-16,2737.35,-42.65,0,42.65,0,0,0.0,32.5229666144,
2014-04-17,2765.0,27.65,27.65,0,0,0,0.0,32.5229666144,
2014-04-21,2800.0,35.0,35.0,0,0,0,0.0,32.5229666144,
2014-04-22,2773.0,-27.0,0,27.0,0,0,0.0,32.5229666144,
2014-04-23,2764.85,-8.15,0,8.15,0,0,0.0,32.5229666144,
2014-04-25,2675.65,-89.2,0,89.2,0,0,0.0,32.5229666144,
2014-04-28,2636.0,-39.65,0,39.65,0,0,0.0,32.5229666144,
2014-04-29,2680.0,44.0,44.0,0,0,0,0.0,32.5229666144,
2014-04-30,2634.0,-46.0,0,46.0,0,0,0.0,32.5229666144,
2014-05-02,2622.0,-12.0,0,12.0,0,0,0.0,32.5229666144,
2014-05-05,2646.55,24.55,24.55,0,0,0,0.0,32.5229666144,
2014-05-06,2622.25,-24.3,0,24.3,0,0,0.0,32.5229666144,
2014-05-07,2610.05,-12.2,0,12.2,0,0,0.0,32.5229666144,
2014-05-08,2624.0,13.95,13.95,0,10.3678571429,21.5107142857,0.481985721401,32.5229666144,
2014-05-09,2716.0,92.0,92.0,0,16.1987244898,19.9742346939,0.810980983154,44.7813086221,
2014-05-12,2851.6,135.6,135.6,0,24.7273870262,18.5475036443,1.33319219127,57.1402645809,
2014-05-13,2930.0,78.4,78.4,0,28.5611450958,17.2226819554,1.65834480191,62.38260743,
2014-05-14,2970.2,40.2,40.2,0,29.3924918747,15.9924903872,1.83789335889,64.7625941662,
2014-05-15,2932.25,-37.95,0,37.95,27.2930281693,17.560883931,1.55419444013,60.8487128354,
2014-05-16,3060.0,127.75,127.75,0,34.4685261572,16.3065350788,2.11378603675,67.884755465,
2014-05-19,3007.25,-52.75,0,52.75,32.0064885746,18.909639716,1.69260171295,62.861198699,
2014-05-20,3045.85,38.6,38.6,0,32.4774536764,17.5589511648,1.84962378285,64.9076483002,
2014-05-21,2945.0,-100.85,0,100.85,30.1576355567,23.5083117959,1.28284990511,56.1951051726,
2014-05-22,2930.35,-14.65,0,14.65,28.0035187312,22.8755752391,1.22416675596,55.0393423821,
2014-05-23,2985.0,54.65,54.65,0,29.9068388218,21.2416055791,1.40793682993,58.4706713412,
2014-05-26,3068.0,83.0,83.0,0,33.6992074774,19.7243480378,1.70850805374,63.0793049104,
2014-05-27,3093.0,25.0,25.0,0,33.0778355147,18.3154660351,1.80600567037,64.3621532714,
2014-05-28,3200.0,107.0,107.0,0,38.3579901208,17.0072184611,2.25539468482,69.2817585326,
2014-05-29,3170.0,-30.0,0,30.0,35.6181336836,17.9352742853,1.98592634364,66.509555665,
2014-05-30,3195.0,25.0,25.0,0,34.8596955634,16.654183265,2.09314951137,67.6704926056,
2014-06-02,3161.1,-33.9,0,33.9,32.3697173088,17.8860273175,1.80977680143,64.4099844695,
2014-06-03,3323.4,162.3,162.3,0,41.6504517868,16.6084539376,2.50778621196,71.4919912567,,Sell
2014-06-04,3339.95,16.55,16.55,0,39.8575623734,15.4221357992,2.58443855587,72.1016280677,,Sell
2014-06-05,3330.0,-9.95,0,9.95,37.0105936325,15.0312689564,2.46224013021,71.1169658258,,Sell
2014-06-06,3310.3,-19.7,0,19.7,34.3669798016,15.3647497453,2.23674191714,69.1047347734,
2014-06-09,3693.1,382.8,382.8,0,59.2550526729,14.2672676206,4.1532165968,80.5946445057,,Sell
2014-06-10,3573.0,-120.1,0,120.1,55.0225489105,21.8267485048,2.5208770284,71.5979856174,,Sell
2014-06-11,3529.3,-43.7,0,43.7,51.0923668455,23.3891236116,2.18444981923,68.5974012227,
2014-06-12,3560.0,30.7,30.7,0,49.6357692137,21.7184719251,2.28541719624,69.562465274,
2014-06-13,3542.5,-17.5,0,17.5,46.090357127,21.4171525019,2.15203011338,68.2744147731,
2014-06-16,3569.25,26.75,26.75,0,44.7089030465,19.8873558946,2.24810695215,69.2128364388,
2014-06-17,3572.1,2.85,2.85,0,41.7189814003,18.4668304736,2.25913057793,69.3169703978,
2014-06-18,3542.8,-29.3,0,29.3,38.7390541574,19.2406282969,2.01339860423,66.8148781049,
2014-06-19,3529.65,-13.15,0,13.15,35.9719788605,18.8055834185,1.91283503733,65.669185272,
2014-06-20,3494.4,-35.25,0,35.25,33.402551799,19.9801846029,1.67178394308,62.5718238711,
2014-06-23,3499.0,4.6,4.6,0,31.3452266705,18.5530285599,1.68949379717,62.8182819736,
2014-06-24,3513.75,14.75,14.75,0,30.1598533369,17.2278122341,1.75064906252,63.644944256,
2014-06-25,3482.0,-31.75,0,31.75,28.0055780986,18.2651113603,1.53328263629,60.5255258266,
2014-06-26,3410.0,-72.0,0,72.0,26.0051796629,22.1033176917,1.17652833958,54.0552731698,
