DATE,CLOSE,DELTA,GAIN,LOSS, AVG GAIN, AVG LOSS, RS, RSI, Signal
2014-04-15,1425.0,0,0,0,0,0,0.0,36.1062869052,
2014-04-16,1410.0,-15.0,0,15.0,0,0,0.0,36.1062869052,
2014-04-17,1421.5,11.5,11.5,0,0,0,0.0,36.1062869052,
2014-04-21,1440.0,18.5,18.5,0,0,0,0.0,36.1062869052,
2014-04-22,1448.0,8.0,8.0,0,0,0,0.0,36.1062869052,
2014-04-23,1438.0,-10.0,0,10.0,0,0,0.0,36.1062869052,
2014-04-25,1450.0,12.0,12.0,0,0,0,0.0,36.1062869052,
2014-04-28,1420.45,-29.55,0,29.55,0,0,0.0,36.1062869052,
2014-04-29,1413.8,-6.65,0,6.65,0,0,0.0,36.1062869052,
2014-04-30,1406.0,-7.8,0,7.8,0,0,0.0,36.1062869052,
2014-05-02,1430.05,24.05,24.05,0,0,0,0.0,36.1062869052,
2014-05-05,1379.0,-51.05,0,51.05,0,0,0.0,36.1062869052,
2014-05-06,1384.1,5.1,5.1,0,0,0,0.0,36.1062869052,
2014-05-07,1320.2,-63.9,0,63.9,0,0,0.0,36.1062869052,
2014-05-08,1345.0,24.8,24.8,0,7.425,13.1392857143,0.565099211742,36.1062869052,
2014-05-09,1373.0,28.0,28.0,0,8.89464285714,12.2007653061,0.729023355009,42.1638812973,
2014-05-12,1396.0,23.0,23.0,0,9.90216836735,11.32928207,0.874033174052,46.6391516518,
2014-05-13,1433.5,37.5,37.5,0,11.8734420554,10.5200476364,1.12864907705,53.0218479514,
2014-05-14,1414.95,-18.55,0,18.55,11.0253390514,11.0936156624,0.993845414064,49.8456604034,
2014-05-15,1403.0,-11.95,0,11.95,10.2378148335,11.1547859722,0.917795720957,47.8568030436,
2014-05-16,1364.1,-38.9,0,38.9,9.50654234537,13.1365869742,0.723669120758,41.9842249329,
2014-05-19,1309.0,-55.1,0,55.1,8.82750360642,16.1339736189,0.547137600131,35.3645079846,
2014-05-20,1300.1,-8.9,0,8.9,8.19696763453,15.6172612175,0.524865885276,34.420462176,
2014-05-21,1336.1,36.0,36.0,0,10.1828985178,14.5017425591,0.702184477227,41.2519610313,
2014-05-22,1322.4,-13.7,0,13.7,9.45554862365,14.4444752335,0.654613509373,39.5629254605,
2014-05-23,1347.0,24.6,24.6,0,10.5372951505,13.4127270025,0.785619147288,43.9970163,
2014-05-26,1393.8,46.8,46.8,0,13.1274883541,12.4546750738,1.05402094204,51.3150046559,
2014-05-27,1382.3,-11.5,0,11.5,12.1898106145,12.3864839971,0.984121936246,49.5998717754,
2014-05-28,1440.9,58.6,58.6,0,15.504824142,11.5017351401,1.3480421826,57.4113273003,
2014-05-29,1398.4,-42.5,0,42.5,14.3973367033,13.7158969158,1.04968248097,51.211955545,
2014-05-30,1426.6,28.2,28.2,0,15.3832412245,12.7361899933,1.20783697735,54.7068008074,
2014-06-02,1385.9,-40.7,0,40.7,14.2844382799,14.7336049938,0.96951413357,49.2260561651,
2014-06-03,1349.15,-36.75,0,36.75,13.2641212599,16.3062046371,0.81344013246,44.8561889582,
2014-06-04,1313.85,-35.3,0,35.3,12.3166840271,17.6629043058,0.697319297765,41.0835662261,
2014-06-05,1332.65,18.8,18.8,0,12.7797780251,16.401268284,0.779194499098,43.7947902544,
2014-06-06,1327.45,-5.2,0,5.2,11.8669367376,15.6011776923,0.76064364958,43.2025895621,
2014-06-09,1362.0,34.55,34.55,0,13.4871555421,14.4868078571,0.930995680697,48.2132451151,
2014-06-10,1393.5,31.5,31.5,0,14.7737872891,13.4520358673,1.0982566085,52.3413868471,
2014-06-11,1401.0,7.5,7.5,0,14.2542310541,12.4911761625,1.14114402588,53.2959956028,
2014-06-12,1396.95,-4.05,0,4.05,13.2360716931,11.8882350081,1.11337567639,52.6823360762,
2014-06-13,1434.8,37.85,37.85,0,14.9942094293,11.0390753646,1.35828490467,57.5963023798,
2014-06-16,1418.8,-16.0,0,16.0,13.9231944701,11.3934271243,1.22203743599,54.9962577676,
2014-06-17,1445.0,26.2,26.2,0,14.8001091508,10.5796109011,1.39892754933,58.3147060744,
2014-06-18,1431.3,-13.7,0,13.7,13.7429584972,10.8024958368,1.27220215632,55.9898313969,
2014-06-19,1456.0,24.7,24.7,0,14.5256043188,10.0308889913,1.44808743586,59.1517857838,
2014-06-20,1441.0,-15.0,0,15.0,13.4880611532,10.3858254919,1.29869899737,56.4971315886,
2014-06-23,1414.0,-27.0,0,27.0,12.5246282137,11.5725522425,1.08227018131,51.9754924708,
2014-06-24,1416.8,2.8,2.8,0,11.8300119127,10.745941368,1.10088185926,52.4009407957,
2014-06-25,1418.0,1.2,1.2,0,11.0707253475,9.97837412745,1.10947186446,52.5947694849,
2014-06-26,1435.0,17.0,17.0,0,11.4942449655,9.26563311834,1.24052450801,55.3675937744,
