DATE,CLOSE,DELTA,GAIN,LOSS, AVG GAIN, AVG LOSS, RS, RSI, Signal
2014-04-15,724.65,0,0,0,0,0,0.0,46.1181923523,
2014-04-16,726.3,1.65,1.65,0,0,0,0.0,46.1181923523,
2014-04-17,718.0,-8.3,0,8.3,0,0,0.0,46.1181923523,
2014-04-21,715.1,-2.9,0,2.9,0,0,0.0,46.1181923523,
2014-04-22,728.7,13.6,13.6,0,0,0,0.0,46.1181923523,
2014-04-23,737.9,9.2,9.2,0,0,0,0.0,46.1181923523,
2014-04-25,725.5,-12.4,0,12.4,0,0,0.0,46.1181923523,
2014-04-28,726.4,0.9,0.9,0,0,0,0.0,46.1181923523,
2014-04-29,717.05,-9.35,0,9.35,0,0,0.0,46.1181923523,
2014-04-30,724.9,7.85,7.85,0,0,0,0.0,46.1181923523,
2014-05-02,716.5,-8.4,0,8.4,0,0,0.0,46.1181923523,
2014-05-05,717.5,1.0,1.0,0,0,0,0.0,46.1181923523,
2014-05-06,720.15,2.65,2.65,0,0,0,0.0,46.1181923523,
2014-05-07,715.0,-5.15,0,5.15,0,0,0.0,46.1181923523,
2014-05-08,717.95,2.95,2.95,0,2.84285714286,3.32142857143,0.855913978495,46.1181923523,
2014-05-09,758.55,40.6,40.6,0,5.53979591837,3.08418367347,1.79619520265,64.2371176714,
2014-05-12,791.9,33.35,33.35,0,7.52623906706,2.86388483965,2.6279824394,72.4364707739,,Sell
2014-05-13,786.1,-5.8,0,5.8,6.98865056227,3.0736073511,2.27376166307,69.4540988954,
2014-05-14,774.7,-11.4,0,11.4,6.48946123639,3.66834968317,1.76904106666,63.8864149745,
2014-05-15,788.0,13.3,13.3,0,6.97592829093,3.4063247058,2.04793403255,67.1908909668,
2014-05-16,803.15,15.15,15.15,0,7.55979055587,3.16301579824,2.39005779234,70.5019778052,,Sell
2014-05-19,809.85,6.7,6.7,0,7.49837694473,2.93708609837,2.55299868427,71.8547601938,,Sell
2014-05-20,817.0,7.15,7.15,0,7.47349287725,2.7272942342,2.74025911232,73.2638844003,,Sell
2014-05-21,808.8,-8.2,0,8.2,6.93967195745,3.1182017889,2.22553651985,68.9974057387,
2014-05-22,800.55,-8.25,0,8.25,6.44398110335,3.48475880398,1.84918999157,64.9023054637,
2014-05-23,790.0,-10.55,0,10.55,5.98369673882,3.98941888941,1.499891815,59.9982689651,
2014-05-26,800.0,10.0,10.0,0,6.27057554319,3.70446039731,1.69270956379,62.8626862158,
2014-05-27,804.8,4.8,4.8,0,6.16553443296,3.43985608321,1.79238150778,64.1882745171,
2014-05-28,821.35,16.55,16.55,0,6.90728197347,3.19415207727,2.16247749211,68.3792215914,
2014-05-29,810.05,-11.3,0,11.3,6.41390468965,3.77314121461,1.69988461201,62.9613800696,
2014-05-30,793.0,-17.05,0,17.05,5.95576864039,4.72148827071,1.26141765031,55.7799506931,
2014-06-02,818.5,25.5,25.5,0,7.35178516607,4.38423910851,1.67686683689,62.6428933177,
2014-06-03,823.25,4.75,4.75,0,7.1659433685,4.07107917219,1.76020732229,63.7708373597,
2014-06-04,818.0,-5.25,0,5.25,6.65409027075,4.15528780275,1.60135484872,61.5584932408,
2014-06-05,806.75,-11.25,0,11.25,6.17879810855,4.6620529597,1.32533846397,56.9955077295,
2014-06-06,816.1,9.35,9.35,0,6.40531252937,4.32904917686,1.47961186572,59.671107651,
2014-06-09,818.55,2.45,2.45,0,6.12279020584,4.01983137851,1.5231460301,60.3669392072,
2014-06-10,816.0,-2.55,0,2.55,5.68544804828,3.9148434229,1.45227980639,59.2216191076,
2014-06-11,820.3,4.3,4.3,0,5.5864874734,3.63521174984,1.53677085624,60.5798057187,
2014-06-12,840.9,20.6,20.6,0,6.6588812253,3.37555376771,1.97267816884,66.3603006043,
2014-06-13,838.0,-2.9,0,2.9,6.18324685207,3.34158564144,1.85039305154,64.9171190809,
2014-06-16,838.0,0.0,0.0,0,5.74158636263,3.10290095277,1.85039305154,64.9171190809,
2014-06-17,848.5,10.5,10.5,0,6.08147305102,2.88126517043,2.11069536863,67.8528469845,
2014-06-18,835.15,-13.35,0,13.35,5.6470821188,3.62903194397,1.55608498519,60.8776701169,
2014-06-19,827.15,-8.0,0,8.0,5.24371911032,3.94124394797,1.33047311446,57.0902580341,
2014-06-20,825.25,-1.9,0,1.9,4.86916774529,3.79544080883,1.28289913887,56.1960498836,
2014-06-23,822.7,-2.55,0,2.55,4.5213700492,3.70648075106,1.21985526241,54.9520179566,
2014-06-24,828.7,6.0,6.0,0,4.62698647426,3.44173212598,1.34437728007,57.3447495631,
2014-06-25,824.9,-3.8,0,3.8,4.29648744038,3.46732268841,1.23913688643,55.3399345052,
2014-06-26,814.05,-10.85,0,10.85,3.98959548036,3.9946567821,0.998732982077,49.9683044725,
