DATE,CLOSE,DELTA,GAIN,LOSS, AVG GAIN, AVG LOSS, RS, RSI, Signal
2014-04-15,2226.0,0,0,0,0,0,0.0,39.0667267809,
2014-04-16,2167.95,-58.05,0,58.05,0,0,0.0,39.0667267809,
2014-04-17,2216.05,48.1,48.1,0,0,0,0.0,39.0667267809,
2014-04-21,2246.8,30.75,30.75,0,0,0,0.0,39.0667267809,
2014-04-22,2265.0,18.2,18.2,0,0,0,0.0,39.0667267809,
2014-04-23,2255.05,-9.95,0,9.95,0,0,0.0,39.0667267809,
2014-04-25,2205.0,-50.05,0,50.05,0,0,0.0,39.0667267809,
2014-04-28,2162.5,-42.5,0,42.5,0,0,0.0,39.0667267809,
2014-04-29,2148.0,-14.5,0,14.5,0,0,0.0,39.0667267809,
2014-04-30,2215.4,67.4,67.4,0,0,0,0.0,39.0667267809,
2014-05-02,2195.1,-20.3,0,20.3,0,0,0.0,39.0667267809,
2014-05-05,2203.95,8.85,8.85,0,0,0,0.0,39.0667267809,
2014-05-06,2184.85,-19.1,0,19.1,0,0,0.0,39.0667267809,
2014-05-07,2165.55,-19.3,0,19.3,0,0,0.0,39.0667267809,
2014-05-08,2129.0,-36.55,0,36.55,12.3785714286,19.3071428571,0.641139474658,39.0667267809,
2014-05-09,2225.65,96.65,96.65,0,18.3979591837,17.9280612245,1.0262101938,50.6467787469,
2014-05-12,2309.1,83.45,83.45,0,23.0445335277,16.6474854227,1.38426512729,58.058355652,
2014-05-13,2441.4,132.3,132.3,0,30.8484954186,15.4583793211,1.99558406336,66.6175283735,
2014-05-14,2434.0,-7.4,0,7.4,28.6450314601,14.8827807982,1.92470962574,65.8085715178,
2014-05-15,2440.0,6.0,6.0,0,27.027529213,13.8197250269,1.95572119998,66.1673096905,
2014-05-16,2383.0,-57.0,0,57.0,25.096991412,16.9040303821,1.48467500618,59.7532877534,
2014-05-19,2432.75,49.75,49.75,0,26.8579205969,15.6965996405,1.71106616796,63.114142627,
2014-05-20,2357.0,-75.75,0,75.75,24.9394976971,19.9861282376,1.24784037211,55.512855254,
2014-05-21,2340.1,-16.9,0,16.9,23.1581050045,19.7656905064,1.17163146903,53.9516711625,
2014-05-22,2313.9,-26.2,0,26.2,21.503954647,20.2252840416,1.06322139174,51.5321039223,
2014-05-23,2350.1,36.2,36.2,0,22.5536721722,18.7806208958,1.20090130658,54.5640689563,
2014-05-26,2305.0,-45.1,0,45.1,20.9426955885,20.6605765461,1.01365494529,50.3390587181,
2014-05-27,2310.5,5.5,5.5,0,19.8396459036,19.1848210785,1.03413244368,50.8389926573,
2014-05-28,2345.0,34.5,34.5,0,20.8868140533,17.8144767158,1.17246295732,53.969295696,
2014-05-29,2337.4,-7.6,0,7.6,19.3948987638,17.0848712361,1.13520895158,53.1661761132,
2014-05-30,2344.05,6.65,6.65,0,18.4845488521,15.8645232906,1.16514997101,53.8138229041,
2014-06-02,2390.95,46.9,46.9,0,20.5142239341,14.7313430556,1.39255625619,58.2036996031,
2014-06-03,2458.05,67.1,67.1,0,23.8417793674,13.6791042659,1.74293425241,63.5426915858,
2014-06-04,2527.0,68.95,68.95,0,27.0637951269,12.7020253898,2.13066769246,68.0579321016,
2014-06-05,2584.0,57.0,57.0,0,29.2020954749,11.7947378619,2.47585794757,71.2301246172,,Sell
2014-06-06,2689.85,105.85,105.85,0,34.6769457982,10.9522565861,3.16619187339,75.9972648791,,Sell
2014-06-09,2715.0,25.15,25.15,0,33.9964496697,10.1699525442,3.34283267517,76.9735544794,,Sell
2014-06-10,2664.15,-50.85,0,50.85,31.5681318362,13.0756702196,2.41426491384,70.711118638,,Sell
2014-06-11,2705.0,40.85,40.85,0,32.2311224193,12.1416937754,2.65458205549,72.6370899649,,Sell
2014-06-12,2710.0,5.0,5.0,0,30.2860422465,11.2744299343,2.68625929852,72.8722284837,,Sell
2014-06-13,2584.55,-125.45,0,125.45,28.1227535146,19.4298277961,1.44740106859,59.1403300083,
2014-06-16,2607.15,22.6,22.6,0,27.7282711207,18.0419829535,1.53687492068,60.5814227636,
2014-06-17,2590.0,-17.15,0,17.15,25.7476803264,17.9782698854,1.43215562401,58.8842099523,
2014-06-18,2535.05,-54.95,0,54.95,23.908560303,20.6191077507,1.15953418509,53.69371752,
2014-06-19,2539.45,4.4,4.4,0,22.51509171,19.14631434,1.175949131,54.0430432976,
2014-06-20,2520.0,-19.45,0,19.45,20.9068708735,19.1680061728,1.09071703572,52.1695196952,
2014-06-23,2579.95,59.95,59.95,0,23.6956658112,17.7988628748,1.33130222857,57.1055186348,
2014-06-24,2610.0,30.05,30.05,0,24.1495468246,16.5275155266,1.46117223643,59.3689549558,
2014-06-25,2657.85,47.85,47.85,0,25.8424363372,15.3469787033,1.68387777405,62.7404791056,
2014-06-26,2640.05,-17.8,0,17.8,23.9965480274,15.5221945102,1.545950736,60.7219422647,
