DATE,CLOSE,DELTA,GAIN,LOSS, AVG GAIN, AVG LOSS, RS, RSI, Signal
2014-04-15,133.3,0,0,0,0,0,0.0,55.1351351351,
2014-04-16,135.9,2.6,2.6,0,0,0,0.0,55.1351351351,
2014-04-17,141.5,5.6,5.6,0,0,0,0.0,55.1351351351,
2014-04-21,143.55,2.05,2.05,0,0,0,0.0,55.1351351351,
2014-04-22,144.45,0.9,0.9,0,0,0,0.0,55.1351351351,
2014-04-23,144.65,0.2,0.2,0,0,0,0.0,55.1351351351,
2014-04-25,143.5,-1.15,0,1.15,0,0,0.0,55.1351351351,
2014-04-28,141.25,-2.25,0,2.25,0,0,0.0,55.1351351351,
2014-04-29,137.4,-3.85,0,3.85,0,0,0.0,55.1351351351,
2014-04-30,135.95,-1.45,0,1.45,0,0,0.0,55.1351351351,
2014-05-02,131.5,-4.45,0,4.45,0,0,0.0,55.1351351351,
2014-05-05,138.4,6.9,6.9,0,0,0,0.0,55.1351351351,
2014-05-06,138.6,0.2,0.2,0,0,0,0.0,55.1351351351,
2014-05-07,135.15,-3.45,0,3.45,0,0,0.0,55.1351351351,
2014-05-08,137.1,1.95,1.95,0,1.45714285714,1.18571428571,1.22891566265,55.1351351351,
2014-05-09,144.15,7.05,7.05,0,1.85663265306,1.10102040816,1.68628359592,62.7738485423,
2014-05-12,142.65,-1.5,0,1.5,1.72401603499,1.12951895044,1.52632767632,60.4168529138,
2014-05-13,141.8,-0.85,0,0.85,1.60087203249,1.10955331112,1.44280767444,59.0634985119,
2014-05-14,141.35,-0.45,0,0.45,1.48652403017,1.06244236033,1.39915734319,58.3186987365,
2014-05-15,137.8,-3.55,0,3.55,1.3803437423,1.24012504887,1.11306818901,52.675450551,
2014-05-16,140.9,3.1,3.1,0,1.50317633213,1.15154468824,1.30535648984,56.622760757,
2014-05-19,151.55,10.65,10.65,0,2.15652087984,1.06929149622,2.01677548868,66.852024496,
2014-05-20,155.8,4.25,4.25,0,2.30605510271,0.992913532207,2.32251351996,69.9023045658,
2014-05-21,160.25,4.45,4.45,0,2.45919402394,0.92199113705,2.66726427741,72.7317170415,,Sell
2014-05-22,155.6,-4.65,0,4.65,2.28353730795,1.1882774844,1.92172058961,65.7735923292,
2014-05-23,152.8,-2.8,0,2.8,2.12042750024,1.30340052123,1.6268426057,61.9314839104,
2014-05-26,147.25,-5.55,0,5.55,1.96896839308,1.60672905543,1.22545141412,55.0652962515,
2014-05-27,148.5,1.25,1.25,0,1.91761350786,1.49196269433,1.2852958825,56.2419900347,
2014-05-28,147.0,-1.5,0,1.5,1.78064111444,1.49253678759,1.193029967,54.4009879003,
2014-05-29,149.65,2.65,2.65,0,1.84273817769,1.38592701705,1.32960693819,57.0743036687,
2014-05-30,147.3,-2.35,0,2.35,1.71111402214,1.45478937297,1.1761936497,54.0482070547,
2014-06-02,150.15,2.85,2.85,0,1.79246302056,1.35087584633,1.32688953276,57.024173863,
2014-06-03,154.75,4.6,4.6,0,1.99300137624,1.25438471445,1.58882785582,61.372479914,
2014-06-04,159.45,4.7,4.7,0,2.18635842079,1.16478580628,1.87704761597,65.2421463431,
2014-06-05,170.5,11.05,11.05,0,2.81947567645,1.08158682011,2.60679551934,72.2745579937,,Sell
2014-06-06,168.3,-2.2,0,2.2,2.6180845567,1.16147347582,2.25410619459,69.2695953912,
2014-06-09,168.9,0.6,0.6,0,2.47393565979,1.07851108469,2.29384351715,69.6403306717,
2014-06-10,169.65,0.75,0.75,0,2.35079739838,1.00147457864,2.34733606675,70.1254974088,,Sell
2014-06-11,162.15,-7.5,0,7.5,2.1828832985,1.46565496588,1.4893568741,59.8289819189,
2014-06-12,169.3,7.15,7.15,0,2.5376773486,1.36096532546,1.86461572615,65.0913038398,
2014-06-13,162.4,-6.9,0,6.9,2.35641468085,1.75661065936,1.34145530103,57.2915186739,
2014-06-16,160.8,-1.6,0,1.6,2.1880993465,1.74542418369,1.25362039036,55.6269545538,
2014-06-17,162.6,1.8,1.8,0,2.16037796461,1.62075102771,1.33294869333,57.1357911618,
2014-06-18,166.5,3.9,3.9,0,2.28463668142,1.50498309716,1.51804806694,60.2866993236,
2014-06-19,167.9,1.4,1.4,0,2.22144834703,1.3974843045,1.58960522123,61.3840753872,
2014-06-20,163.5,-4.4,0,4.4,2.0627734651,1.61194971133,1.27967606595,56.1341185735,
2014-06-23,165.4,1.9,1.9,0,2.05114678902,1.49681044623,1.37034505217,57.8120493855,
2014-06-24,166.85,1.45,1.45,0,2.00820773267,1.38989541436,1.44486247808,59.0979039122,
2014-06-25,166.5,-0.35,0,0.35,1.86476432319,1.31561717047,1.41740649563,58.6333534799,
2014-06-26,164.9,-1.6,0,1.6,1.73156687153,1.33593022973,1.29615067689,56.4488511113,
